en 1. start:10 paragraphs:1, tables:0, lists:0
am 1. start:11 paragraphs:1, tables:0, lists:0
en 1.1. start:15 paragraphs:2, tables:0, lists:1
am 1.1. start:18 paragraphs:2, tables:0, lists:1
en 1.2. start:33 paragraphs:1, tables:0, lists:0
am 1.2. start:36 paragraphs:1, tables:0, lists:0
en 1.3. start:37 paragraphs:3, tables:0, lists:0
am 1.3. start:41 paragraphs:2, tables:0, lists:0
en 1.4. start:44 paragraphs:2, tables:0, lists:0
am 1.4. start:48 paragraphs:1, tables:0, lists:0
en 1.5. start:50 paragraphs:2, tables:0, lists:0
am 1.5. start:54 paragraphs:2, tables:0, lists:0
en 2. start:58 paragraphs:0, tables:0, lists:1
am 2. start:65 paragraphs:0, tables:0, lists:1
en 3. start:65 paragraphs:6, tables:0, lists:0
am 3. start:73 paragraphs:1, tables:0, lists:0
en 3.1. start:84 paragraphs:2, tables:0, lists:0
am 3.1. start:86 paragraphs:1, tables:0, lists:0
en 3.1.1. start:94 paragraphs:1, tables:0, lists:0
am 3.1.1. start:96 paragraphs:1, tables:0, lists:0
en 3.1.2. start:98 paragraphs:1, tables:0, lists:0
am 3.1.2. start:101 paragraphs:1, tables:0, lists:0
en 3.1.3. start:102 paragraphs:1, tables:0, lists:0
am 3.1.3. start:107 paragraphs:1, tables:0, lists:0
en 3.2. start:107 paragraphs:2, tables:0, lists:0
am 3.2. start:113 paragraphs:1, tables:0, lists:0
en 4. start:119 paragraphs:0, tables:0, lists:0
am 4. start:121 paragraphs:0, tables:0, lists:0
en 4.1. start:121 paragraphs:5, tables:0, lists:0
am 4.1. start:123 paragraphs:1, tables:0, lists:0
en 4.2. start:139 paragraphs:0, tables:0, lists:0
am 4.2. start:138 paragraphs:0, tables:0, lists:0
en 4.2.1. start:141 paragraphs:4, tables:0, lists:0
am 4.2.1. start:140 paragraphs:1, tables:0, lists:0
en 4.2.2. start:151 paragraphs:2, tables:0, lists:0
am 4.2.2. start:148 paragraphs:1, tables:0, lists:0
en 4.2.3. start:159 paragraphs:2, tables:0, lists:0
am 4.2.3. start:156 paragraphs:1, tables:0, lists:0
en 4.3. start:168 paragraphs:2, tables:0, lists:0
am 4.3. start:166 paragraphs:1, tables:0, lists:0
en 5. start:197 paragraphs:1, tables:0, lists:0
am 5. start:197 paragraphs:8, tables:3, lists:0
en 5.1. start:200 paragraphs:1, tables:0, lists:0
am 5.1. start:244 paragraphs:4, tables:1, lists:0
en 5.2. start:204 paragraphs:3, tables:1, lists:0
am 5.2. start:277 paragraphs:0, tables:0, lists:0
en 5.3. start:220 paragraphs:4, tables:2, lists:0
