# Structural comparison of an/userGuide.t2t against an/userGuide-newRevisions/13702/userGuide.t2t
en 8.2. start:679 paragraphs:3, tables:0, lists:0
an 8.2. start:668 paragraphs:3, tables:0, lists:0
en 9. start:694 paragraphs:3, tables:0, lists:0
an 9. start:682 paragraphs:3, tables:0, lists:0
en 9.1. start:708 paragraphs:3, tables:0, lists:0
an 9.1. start:696 paragraphs:3, tables:0, lists:0
en 10. start:719 paragraphs:1, tables:0, lists:0
an 10. start:707 paragraphs:1, tables:0, lists:0
en 10.1. start:722 paragraphs:0, tables:0, lists:0
an 10.1. start:710 paragraphs:0, tables:0, lists:0
en 10.1.1. start:724 paragraphs:2, tables:1, lists:0
an 10.1.1. start:712 paragraphs:2, tables:1, lists:0
en 10.1.2. start:737 paragraphs:1, tables:0, lists:0
an 10.1.2. start:725 paragraphs:1, tables:0, lists:0
en 10.1.2.1. start:744 paragraphs:1, tables:0, lists:0
an 10.1.2.1. start:732 paragraphs:1, tables:0, lists:0
en 10.1.3. start:750 paragraphs:1, tables:0, lists:0
an 10.1.3. start:738 paragraphs:1, tables:0, lists:0
en 10.2. start:756 paragraphs:0, tables:0, lists:0
an 10.2. start:744 paragraphs:0, tables:0, lists:0
en 10.2.1. start:758 paragraphs:2, tables:1, lists:0
an 10.2.1. start:746 paragraphs:2, tables:1, lists:0
en 10.2.2. start:771 paragraphs:1, tables:0, lists:1
an 10.2.2. start:759 paragraphs:1, tables:0, lists:1
en 10.2.3. start:793 paragraphs:1, tables:0, lists:0
an 10.2.3. start:781 paragraphs:1, tables:0, lists:0
en 10.2.4. start:799 paragraphs:1, tables:0, lists:0
an 10.2.4. start:787 paragraphs:1, tables:0, lists:0
en 10.2.5. start:805 paragraphs:1, tables:0, lists:0
an 10.2.5. start:793 paragraphs:1, tables:0, lists:0
en 10.3. start:811 paragraphs:0, tables:1, lists:0
an 10.3. start:799 paragraphs:0, tables:1, lists:0
en 10.4. start:817 paragraphs:1, tables:1, lists:0
an 10.4. start:805 paragraphs:1, tables:1, lists:0
en 10.5. start:825 paragraphs:0, tables:1, lists:0
