# Structural comparison of ar/userGuide.t2t against ar/userGuide-newRevisions/12228/userGuide.t2t
en 1. start:10 paragraphs:1, tables:0, lists:0
ar 1. start:11 paragraphs:1, tables:0, lists:0
en 1.1. start:15 paragraphs:2, tables:0, lists:1
ar 1.1. start:16 paragraphs:2, tables:0, lists:1
en 1.2. start:33 paragraphs:1, tables:0, lists:0
ar 1.2. start:34 paragraphs:1, tables:0, lists:0
en 1.3. start:37 paragraphs:3, tables:0, lists:0
ar 1.3. start:38 paragraphs:3, tables:0, lists:0
en 1.4. start:44 paragraphs:2, tables:0, lists:0
ar 1.4. start:45 paragraphs:2, tables:0, lists:0
en 1.5. start:50 paragraphs:2, tables:0, lists:0
ar 1.5. start:51 paragraphs:2, tables:0, lists:0
en 2. start:58 paragraphs:0, tables:0, lists:1
ar 2. start:59 paragraphs:0, tables:0, lists:1
en 3. start:69 paragraphs:6, tables:0, lists:0
ar 3. start:70 paragraphs:6, tables:0, lists:0
en 3.1. start:88 paragraphs:1, tables:0, lists:1
ar 3.1. start:89 paragraphs:1, tables:0, lists:1
en 3.2. start:96 paragraphs:2, tables:0, lists:0
ar 3.2. start:97 paragraphs:2, tables:0, lists:0
en 3.2.1. start:106 paragraphs:1, tables:0, lists:0
ar 3.2.1. start:107 paragraphs:1, tables:0, lists:0
en 3.2.2. start:110 paragraphs:1, tables:0, lists:0
ar 3.2.2. start:111 paragraphs:1, tables:0, lists:0
en 3.2.3. start:114 paragraphs:1, tables:0, lists:0
ar 3.2.3. start:115 paragraphs:1, tables:0, lists:0
en 3.3. start:119 paragraphs:2, tables:0, lists:0
ar 3.3. start:120 paragraphs:2, tables:0, lists:0
en 4. start:131 paragraphs:0, tables:0, lists:0
ar 4. start:132 paragraphs:0, tables:0, lists:0
en 4.1. start:133 paragraphs:5, tables:0, lists:0
ar 4.1. start:134 paragraphs:5, tables:0, lists:0
en 4.2. start:154 paragraphs:0, tables:0, lists:0
ar 4.2. start:155 paragraphs:0, tables:0, lists:0
en 4.2.1. start:156 paragraphs:3, tables:0, lists:0
ar 4.2.1. start:157 paragraphs:3, tables:0, lists:0
en 4.2.2. start:165 paragraphs:2, tables:0, lists:0
ar 4.2.2. start:166 paragraphs:2, tables:0, lists:0
en 4.3. start:173 paragraphs:1, tables:0, lists:0
ar 4.3. start:174 paragraphs:1, tables:0, lists:0
en 4.3.1. start:178 paragraphs:1, tables:0, lists:0
ar 4.3.1. start:179 paragraphs:1, tables:0, lists:0
en 4.3.2. start:183 paragraphs:7, tables:0, lists:0
ar 4.3.2. start:184 paragraphs:7, tables:0, lists:0
en 4.3.3. start:206 paragraphs:2, tables:0, lists:0
ar 4.3.3. start:207 paragraphs:2, tables:0, lists:0
en 4.4. start:217 paragraphs:2, tables:0, lists:0
ar 4.4. start:218 paragraphs:2, tables:0, lists:0
en 4.5. start:225 paragraphs:2, tables:0, lists:0
ar 4.5. start:226 paragraphs:2, tables:0, lists:0
en 4.6. start:233 paragraphs:0, tables:1, lists:0
ar 4.6. start:234 paragraphs:0, tables:1, lists:0
en 4.7. start:246 paragraphs:0, tables:1, lists:0
ar 4.7. start:247 paragraphs:0, tables:1, lists:0
en 5. start:254 paragraphs:1, tables:0, lists:0
ar 5. start:255 paragraphs:1, tables:0, lists:0
en 5.1. start:257 paragraphs:1, tables:0, lists:0
ar 5.1. start:258 paragraphs:1, tables:0, lists:0
en 5.2. start:261 paragraphs:3, tables:1, lists:0
ar 5.2. start:262 paragraphs:3, tables:1, lists:0
en 5.3. start:277 paragraphs:4, tables:2, lists:0
ar 5.3. start:278 paragraphs:4, tables:2, lists:0
en 5.4. start:302 paragraphs:7, tables:1, lists:0
ar 5.4. start:303 paragraphs:7, tables:1, lists:0
en 5.5. start:344 paragraphs:6, tables:2, lists:0
ar 5.5. start:345 paragraphs:6, tables:2, lists:0
en 5.6. start:386 paragraphs:2, tables:1, lists:0
ar 5.6. start:387 paragraphs:2, tables:1, lists:0
en 5.6.1. start:397 paragraphs:1, tables:0, lists:0
ar 5.6.1. start:398 paragraphs:1, tables:0, lists:0
en 5.6.2. start:402 paragraphs:3, tables:0, lists:0
ar 5.6.2. start:403 paragraphs:3, tables:0, lists:0
en 5.6.3. start:411 paragraphs:3, tables:0, lists:0
ar 5.6.3. start:412 paragraphs:3, tables:0, lists:0
en 5.7. start:420 paragraphs:5, tables:1, lists:0
ar 5.7. start:421 paragraphs:5, tables:1, lists:0
en 6. start:445 paragraphs:3, tables:1, lists:0
ar 6. start:446 paragraphs:3, tables:1, lists:0
en 6.1. start:475 paragraphs:4, tables:1, lists:1
ar 6.1. start:476 paragraphs:4, tables:1, lists:1
en 6.2. start:516 paragraphs:1, tables:1, lists:0
ar 6.2. start:518 paragraphs:1, tables:1, lists:0
en 6.3. start:527 paragraphs:1, tables:1, lists:0
ar 6.3. start:529 paragraphs:1, tables:1, lists:0
en 7. start:538 paragraphs:3, tables:0, lists:1
ar 7. start:540 paragraphs:3, tables:0, lists:1
en 7.1. start:552 paragraphs:5, tables:1, lists:1
ar 7.1. start:554 paragraphs:5, tables:1, lists:1
en 8. start:574 paragraphs:1, tables:0, lists:0
ar 8. start:576 paragraphs:1, tables:0, lists:0
en 8.1. start:577 paragraphs:0, tables:0, lists:0
ar 8.1. start:579 paragraphs:0, tables:0, lists:0
en 8.1.1. start:579 paragraphs:2, tables:1, lists:0
ar 8.1.1. start:581 paragraphs:2, tables:1, lists:0
en 8.1.2. start:592 paragraphs:1, tables:0, lists:0
ar 8.1.2. start:594 paragraphs:1, tables:0, lists:0
en 8.1.2.1. start:599 paragraphs:1, tables:0, lists:0
ar 8.1.2.1. start:601 paragraphs:1, tables:0, lists:0
en 8.1.3. start:605 paragraphs:1, tables:0, lists:0
ar 8.1.3. start:607 paragraphs:1, tables:0, lists:0
en 8.2. start:611 paragraphs:0, tables:0, lists:0
ar 8.2. start:613 paragraphs:0, tables:0, lists:0
en 8.2.1. start:613 paragraphs:2, tables:1, lists:0
ar 8.2.1. start:615 paragraphs:2, tables:1, lists:0
en 8.2.2. start:626 paragraphs:1, tables:0, lists:1
ar 8.2.2. start:628 paragraphs:1, tables:0, lists:1
en 8.2.3. start:645 paragraphs:1, tables:0, lists:0
ar 8.2.3. start:647 paragraphs:1, tables:0, lists:0
en 8.2.4. start:651 paragraphs:1, tables:0, lists:0
ar 8.2.4. start:653 paragraphs:1, tables:0, lists:0
en 8.3. start:657 paragraphs:0, tables:1, lists:0
ar 8.3. start:659 paragraphs:0, tables:1, lists:0
en 8.4. start:663 paragraphs:1, tables:1, lists:0
ar 8.4. start:665 paragraphs:1, tables:1, lists:0
en 8.5. start:671 paragraphs:0, tables:1, lists:0
ar 8.5. start:673 paragraphs:0, tables:1, lists:0
en 8.6. start:677 paragraphs:0, tables:1, lists:0
ar 8.6. start:679 paragraphs:0, tables:1, lists:0
en 8.7. start:684 paragraphs:1, tables:1, lists:0
ar 8.7. start:686 paragraphs:1, tables:1, lists:0
en 9. start:691 paragraphs:0, tables:0, lists:0
ar 9. start:693 paragraphs:0, tables:0, lists:0
en 9.1. start:693 paragraphs:2, tables:0, lists:0
ar 9.1. start:695 paragraphs:2, tables:0, lists:0
en 9.1.1. start:703 paragraphs:11, tables:0, lists:0
ar 9.1.1. start:705 paragraphs:11, tables:0, lists:0
en 9.1.2. start:749 paragraphs:7, tables:0, lists:1
ar 9.1.2. start:751 paragraphs:7, tables:0, lists:1
en 9.1.3. start:775 paragraphs:18, tables:0, lists:0
ar 9.1.3. start:777 paragraphs:18, tables:0, lists:0
en 9.1.4. start:850 paragraphs:1, tables:1, lists:0
ar 9.1.4. start:852 paragraphs:1, tables:1, lists:0
en 9.1.5. start:860 paragraphs:22, tables:0, lists:0
ar 9.1.5. start:862 paragraphs:22, tables:0, lists:0
en 9.1.6. start:942 paragraphs:18, tables:0, lists:0
ar 9.1.6. start:944 paragraphs:18, tables:0, lists:0
en 9.1.7. start:1002 paragraphs:8, tables:0, lists:0
ar 9.1.7. start:1004 paragraphs:8, tables:0, lists:0
en 9.1.8. start:1032 paragraphs:7, tables:0, lists:0
ar 9.1.8. start:1034 paragraphs:7, tables:0, lists:0
en 9.1.9. start:1054 paragraphs:14, tables:0, lists:1
ar 9.1.9. start:1056 paragraphs:14, tables:0, lists:1
en 9.1.10. start:1104 paragraphs:6, tables:0, lists:0
ar 9.1.10. start:1106 paragraphs:6, tables:0, lists:0
en 9.1.11. start:1135 paragraphs:13, tables:0, lists:0
ar 9.1.11. start:1137 paragraphs:13, tables:0, lists:0
en 9.1.12. start:1181 paragraphs:7, tables:0, lists:1
ar 9.1.12. start:1183 paragraphs:7, tables:0, lists:1
en 9.1.13. start:1224 paragraphs:8, tables:0, lists:1
ar 9.1.13. start:1226 paragraphs:8, tables:0, lists:1
en 9.1.14. start:1258 paragraphs:6, tables:0, lists:1
ar 9.1.14. start:1260 paragraphs:6, tables:0, lists:1
en 9.1.15. start:1287 paragraphs:6, tables:0, lists:0
ar 9.1.15. start:1289 paragraphs:6, tables:0, lists:0
en 9.2. start:1307 paragraphs:3, tables:1, lists:0
ar 9.2. start:1309 paragraphs:3, tables:1, lists:0
en 9.3. start:1322 paragraphs:3, tables:0, lists:0
ar 9.3. start:1324 paragraphs:3, tables:0, lists:0
en 9.3.1. start:1333 paragraphs:4, tables:0, lists:1
ar 9.3.1. start:1335 paragraphs:4, tables:0, lists:1
en 9.3.2. start:1349 paragraphs:3, tables:0, lists:0
ar 9.3.2. start:1351 paragraphs:3, tables:0, lists:0
en 9.3.3. start:1361 paragraphs:1, tables:0, lists:0
ar 9.3.3. start:1363 paragraphs:1, tables:0, lists:0
en 9.3.4. start:1369 paragraphs:4, tables:0, lists:1
ar 9.3.4. start:1371 paragraphs:4, tables:0, lists:1
en 9.3.5. start:1382 paragraphs:2, tables:0, lists:0
ar 9.3.5. start:1384 paragraphs:2, tables:0, lists:0
en 9.3.6. start:1390 paragraphs:1, tables:0, lists:0
ar 9.3.6. start:1392 paragraphs:1, tables:0, lists:0
en 9.4. start:1395 paragraphs:3, tables:0, lists:0
ar 9.4. start:1397 paragraphs:3, tables:0, lists:0
en 10. start:1406 paragraphs:0, tables:0, lists:0
ar 10. start:1408 paragraphs:0, tables:0, lists:0
en 10.1. start:1408 paragraphs:2, tables:0, lists:0
ar 10.1. start:1410 paragraphs:2, tables:0, lists:0
en 10.2. start:1414 paragraphs:4, tables:0, lists:0
ar 10.2. start:1416 paragraphs:4, tables:0, lists:0
en 10.3. start:1425 paragraphs:9, tables:0, lists:0
ar 10.3. start:1427 paragraphs:9, tables:0, lists:0
en 10.4. start:1461 paragraphs:1, tables:0, lists:0
ar 10.4. start:1463 paragraphs:1, tables:0, lists:0
en 10.5. start:1465 paragraphs:1, tables:0, lists:0
ar 10.5. start:1467 paragraphs:1, tables:0, lists:0
en 11. start:1468 paragraphs:1, tables:0, lists:0
ar 11. start:1470 paragraphs:1, tables:0, lists:0
en 11.1. start:1472 paragraphs:3, tables:0, lists:0
ar 11.1. start:1474 paragraphs:3, tables:0, lists:0
en 11.2. start:1482 paragraphs:2, tables:0, lists:0
ar 11.2. start:1484 paragraphs:2, tables:0, lists:0
en 11.3. start:1489 paragraphs:1, tables:0, lists:0
ar 11.3. start:1491 paragraphs:1, tables:0, lists:0
en 11.4. start:1494 paragraphs:2, tables:0, lists:1
ar 11.4. start:1496 paragraphs:2, tables:0, lists:1
en 11.5. start:1507 paragraphs:2, tables:0, lists:0
ar 11.5. start:1509 paragraphs:2, tables:0, lists:0
en 11.6. start:1514 paragraphs:2, tables:0, lists:0
ar 11.6. start:1516 paragraphs:2, tables:0, lists:0
en 12. start:1522 paragraphs:1, tables:0, lists:0
ar 12. start:1524 paragraphs:1, tables:0, lists:0
en 12.1. start:1525 paragraphs:5, tables:3, lists:0
ar 12.1. start:1527 paragraphs:5, tables:3, lists:0
en 12.2. start:1586 paragraphs:3, tables:1, lists:0
ar 12.2. start:1588 paragraphs:3, tables:1, lists:0
en 12.3. start:1618 paragraphs:3, tables:1, lists:0
ar 12.3. start:1620 paragraphs:3, tables:1, lists:0
en 12.4. start:1644 paragraphs:2, tables:1, lists:0
ar 12.4. start:1646 paragraphs:2, tables:1, lists:0
en 12.5. start:1664 paragraphs:5, tables:2, lists:1
ar 12.5. start:1666 paragraphs:5, tables:2, lists:1
en 12.6. start:1694 paragraphs:2, tables:1, lists:0
ar 12.6. start:1696 paragraphs:2, tables:1, lists:0
en 12.7. start:1711 paragraphs:2, tables:1, lists:0
ar 12.7. start:1713 paragraphs:2, tables:1, lists:0
en 12.8. start:1728 paragraphs:2, tables:1, lists:0
ar 12.8. start:1730 paragraphs:2, tables:1, lists:0
en 12.9. start:1759 paragraphs:2, tables:1, lists:0
ar 12.9. start:1761 paragraphs:2, tables:1, lists:0
en 12.10. start:1820 paragraphs:2, tables:1, lists:0
ar 12.10. start:1822 paragraphs:2, tables:1, lists:0
en 12.11. start:1833 paragraphs:2, tables:1, lists:0
ar 12.11. start:1835 paragraphs:2, tables:1, lists:0
en 12.12. start:1855 paragraphs:8, tables:3, lists:2
ar 12.12. start:1857 paragraphs:8, tables:3, lists:2
en 12.13. start:1938 paragraphs:8, tables:4, lists:1
ar 12.13. start:1940 paragraphs:8, tables:4, lists:1
en 12.14. start:2021 paragraphs:4, tables:1, lists:1
ar 12.14. start:2023 paragraphs:4, tables:1, lists:1
en 12.15. start:2069 paragraphs:3, tables:1, lists:1
ar 12.15. start:2071 paragraphs:3, tables:1, lists:1
en 12.16. start:2104 paragraphs:3, tables:1, lists:0
ar 12.16. start:2106 paragraphs:3, tables:1, lists:0
en 13. start:2124 paragraphs:2, tables:2, lists:0
ar 13. start:2126 paragraphs:2, tables:2, lists:0
en 14. start:2161 paragraphs:0, tables:0, lists:0
ar 14. start:2163 paragraphs:0, tables:0, lists:0
en 14.1. start:2163 paragraphs:6, tables:3, lists:0
ar 14.1. start:2165 paragraphs:6, tables:3, lists:0
en 15. start:2203 paragraphs:1, tables:0, lists:0
ar 15. start:2205 paragraphs:1, tables:0, lists:0
# end of comparison
