# Structural comparison of bg/userGuide.t2t against bg/userGuide-newRevisions/10720/userGuide.t2t
en 5.4. start:298 paragraphs:7, tables:1, lists:0
bg 5.4. start:300 paragraphs:7, tables:1, lists:0
en 5.5. start:340 paragraphs:6, tables:2, lists:0
bg 5.5. start:342 paragraphs:6, tables:2, lists:0
en 5.6. start:382 paragraphs:2, tables:1, lists:0
bg 5.6. start:384 paragraphs:2, tables:1, lists:0
en 5.6.1. start:393 paragraphs:1, tables:0, lists:0
bg 5.6.1. start:395 paragraphs:1, tables:0, lists:0
en 5.6.2. start:398 paragraphs:3, tables:0, lists:0
bg 5.6.2. start:400 paragraphs:3, tables:0, lists:0
en 5.6.3. start:407 paragraphs:3, tables:0, lists:0
bg 5.6.3. start:409 paragraphs:3, tables:0, lists:0
en 5.7. start:416 paragraphs:5, tables:1, lists:0
bg 5.7. start:418 paragraphs:5, tables:1, lists:0
en 6. start:441 paragraphs:3, tables:1, lists:0
bg 6. start:443 paragraphs:3, tables:1, lists:0
en 6.1. start:471 paragraphs:3, tables:1, lists:1
bg 6.1. start:473 paragraphs:3, tables:1, lists:1
en 6.2. start:505 paragraphs:1, tables:1, lists:0
bg 6.2. start:508 paragraphs:1, tables:1, lists:0
en 6.3. start:515 paragraphs:1, tables:1, lists:0
bg 6.3. start:519 paragraphs:1, tables:1, lists:0
en 7. start:526 paragraphs:1, tables:0, lists:0
bg 7. start:530 paragraphs:3, tables:0, lists:1
en 7.1. start:529 paragraphs:0, tables:1, lists:0
bg 7.1. start:544 paragraphs:5, tables:1, lists:1
en 7.2. start:537 paragraphs:0, tables:1, lists:0
en 7.3. start:545 paragraphs:0, tables:1, lists:0
en 7.4. start:551 paragraphs:1, tables:1, lists:0
en 7.5. start:559 paragraphs:0, tables:1, lists:0
en 7.6. start:565 paragraphs:0, tables:1, lists:0
en 7.7. start:572 paragraphs:1, tables:1, lists:0
bg 8. start:566 paragraphs:1, tables:0, lists:0
en 8. start:579 paragraphs:0, tables:0, lists:0
bg 8.1. start:569 paragraphs:0, tables:1, lists:0
en 8.1. start:581 paragraphs:1, tables:0, lists:0
en 8.1.1. start:588 paragraphs:11, tables:0, lists:0
en 8.1.2. start:634 paragraphs:5, tables:0, lists:0
en 8.1.3. start:650 paragraphs:18, tables:0, lists:0
en 8.1.4. start:725 paragraphs:1, tables:1, lists:0
en 8.1.5. start:735 paragraphs:17, tables:0, lists:0
en 8.1.6. start:797 paragraphs:17, tables:0, lists:0
en 8.1.7. start:853 paragraphs:8, tables:0, lists:0
en 8.1.8. start:883 paragraphs:7, tables:0, lists:0
en 8.1.9. start:905 paragraphs:14, tables:0, lists:1
en 8.1.10. start:955 paragraphs:6, tables:0, lists:0
en 8.1.11. start:986 paragraphs:13, tables:0, lists:0
en 8.1.12. start:1032 paragraphs:6, tables:0, lists:1
en 8.1.13. start:1069 paragraphs:7, tables:0, lists:1
en 8.1.14. start:1101 paragraphs:5, tables:0, lists:0
en 8.1.15. start:1116 paragraphs:6, tables:0, lists:0
bg 8.2. start:577 paragraphs:0, tables:1, lists:0
en 8.2. start:1136 paragraphs:3, tables:1, lists:0
bg 8.3. start:586 paragraphs:0, tables:1, lists:0
en 8.3. start:1151 paragraphs:3, tables:0, lists:0
en 8.3.1. start:1162 paragraphs:4, tables:0, lists:1
en 8.3.2. start:1178 paragraphs:3, tables:0, lists:0
en 8.3.3. start:1190 paragraphs:1, tables:0, lists:0
en 8.3.4. start:1198 paragraphs:4, tables:0, lists:1
en 8.3.5. start:1211 paragraphs:2, tables:0, lists:0
en 8.3.6. start:1219 paragraphs:1, tables:0, lists:0
bg 8.4. start:592 paragraphs:1, tables:1, lists:0
en 8.4. start:1224 paragraphs:3, tables:0, lists:0
bg 8.5. start:600 paragraphs:0, tables:1, lists:0
bg 8.6. start:606 paragraphs:0, tables:1, lists:0
bg 8.7. start:613 paragraphs:1, tables:1, lists:0
bg 9. start:620 paragraphs:0, tables:0, lists:0
en 9. start:1235 paragraphs:0, tables:0, lists:0
bg 9.1. start:622 paragraphs:2, tables:0, lists:0
en 9.1. start:1237 paragraphs:2, tables:0, lists:0
bg 9.1.1. start:632 paragraphs:11, tables:0, lists:0
bg 9.1.2. start:678 paragraphs:5, tables:0, lists:0
bg 9.1.3. start:694 paragraphs:18, tables:0, lists:0
bg 9.1.4. start:769 paragraphs:1, tables:1, lists:0
bg 9.1.5. start:779 paragraphs:20, tables:0, lists:0
bg 9.1.6. start:853 paragraphs:17, tables:0, lists:0
bg 9.1.7. start:909 paragraphs:8, tables:0, lists:0
bg 9.1.8. start:939 paragraphs:7, tables:0, lists:0
bg 9.1.9. start:961 paragraphs:14, tables:0, lists:1
bg 9.1.10. start:1011 paragraphs:6, tables:0, lists:0
bg 9.1.11. start:1042 paragraphs:13, tables:0, lists:0
bg 9.1.12. start:1088 paragraphs:7, tables:0, lists:1
bg 9.1.13. start:1128 paragraphs:8, tables:0, lists:1
bg 9.1.14. start:1162 paragraphs:6, tables:0, lists:0
bg 9.1.15. start:1180 paragraphs:6, tables:0, lists:0
bg 9.2. start:1200 paragraphs:3, tables:1, lists:0
en 9.2. start:1243 paragraphs:3, tables:0, lists:0
bg 9.3. start:1215 paragraphs:3, tables:0, lists:0
en 9.3. start:1252 paragraphs:8, tables:0, lists:0
bg 9.3.1. start:1226 paragraphs:4, tables:0, lists:1
bg 9.3.2. start:1242 paragraphs:3, tables:0, lists:0
bg 9.3.3. start:1254 paragraphs:1, tables:0, lists:0
bg 9.3.4. start:1262 paragraphs:4, tables:0, lists:1
bg 9.3.5. start:1275 paragraphs:2, tables:0, lists:0
bg 9.3.6. start:1283 paragraphs:1, tables:0, lists:0
bg 9.4. start:1288 paragraphs:3, tables:0, lists:0
en 9.4. start:1286 paragraphs:1, tables:0, lists:0
en 9.5. start:1290 paragraphs:1, tables:0, lists:0
bg 10. start:1299 paragraphs:0, tables:0, lists:0
en 10. start:1293 paragraphs:1, tables:0, lists:0
bg 10.1. start:1301 paragraphs:2, tables:0, lists:0
en 10.1. start:1297 paragraphs:3, tables:0, lists:0
bg 10.2. start:1307 paragraphs:4, tables:0, lists:0
en 10.2. start:1307 paragraphs:2, tables:0, lists:0
bg 10.3. start:1318 paragraphs:9, tables:0, lists:0
en 10.3. start:1314 paragraphs:1, tables:0, lists:0
bg 10.4. start:1354 paragraphs:1, tables:0, lists:0
en 10.4. start:1319 paragraphs:2, tables:0, lists:1
bg 10.5. start:1358 paragraphs:1, tables:0, lists:0
en 10.5. start:1332 paragraphs:2, tables:0, lists:0
en 10.6. start:1339 paragraphs:2, tables:0, lists:0
bg 11. start:1361 paragraphs:1, tables:0, lists:0
en 11. start:1347 paragraphs:1, tables:0, lists:0
bg 11.1. start:1365 paragraphs:3, tables:0, lists:0
en 11.1. start:1350 paragraphs:5, tables:3, lists:0
bg 11.2. start:1375 paragraphs:2, tables:0, lists:0
en 11.2. start:1411 paragraphs:3, tables:1, lists:0
bg 11.3. start:1382 paragraphs:1, tables:0, lists:0
en 11.3. start:1443 paragraphs:3, tables:1, lists:0
bg 11.4. start:1387 paragraphs:2, tables:0, lists:1
en 11.4. start:1469 paragraphs:2, tables:1, lists:0
bg 11.5. start:1400 paragraphs:2, tables:0, lists:0
en 11.5. start:1489 paragraphs:5, tables:2, lists:1
bg 11.6. start:1407 paragraphs:2, tables:0, lists:0
en 11.6. start:1520 paragraphs:2, tables:1, lists:0
en 11.7. start:1537 paragraphs:2, tables:1, lists:0
en 11.8. start:1554 paragraphs:2, tables:1, lists:0
en 11.9. start:1584 paragraphs:2, tables:1, lists:0
en 11.10. start:1647 paragraphs:2, tables:1, lists:0
en 11.11. start:1660 paragraphs:2, tables:1, lists:0
en 11.12. start:1682 paragraphs:8, tables:3, lists:2
en 11.13. start:1765 paragraphs:8, tables:4, lists:1
en 11.14. start:1846 paragraphs:4, tables:1, lists:1
en 11.15. start:1894 paragraphs:3, tables:1, lists:0
bg 12. start:1415 paragraphs:1, tables:0, lists:0
en 12. start:1914 paragraphs:2, tables:2, lists:0
bg 12.1. start:1418 paragraphs:5, tables:3, lists:0
bg 12.2. start:1479 paragraphs:3, tables:1, lists:0
bg 12.3. start:1511 paragraphs:3, tables:1, lists:0
bg 12.4. start:1537 paragraphs:2, tables:1, lists:0
bg 12.5. start:1557 paragraphs:5, tables:2, lists:1
bg 12.6. start:1588 paragraphs:2, tables:1, lists:0
bg 12.7. start:1605 paragraphs:2, tables:1, lists:0
bg 12.8. start:1622 paragraphs:2, tables:1, lists:0
bg 12.9. start:1652 paragraphs:2, tables:1, lists:0
bg 12.10. start:1715 paragraphs:2, tables:1, lists:0
bg 12.11. start:1728 paragraphs:2, tables:1, lists:0
bg 12.12. start:1750 paragraphs:8, tables:3, lists:2
bg 12.13. start:1834 paragraphs:8, tables:4, lists:1
bg 12.14. start:1915 paragraphs:4, tables:1, lists:1
bg 12.15. start:1963 paragraphs:3, tables:1, lists:0
en 13. start:1951 paragraphs:0, tables:0, lists:0
bg 13. start:1983 paragraphs:2, tables:2, lists:0
en 13.1. start:1953 paragraphs:6, tables:3, lists:0
en 13.2. start:1993 paragraphs:2, tables:0, lists:0
bg 14. start:2020 paragraphs:0, tables:0, lists:0
en 14. start:2002 paragraphs:1, tables:0, lists:0
bg 14.1. start:2022 paragraphs:6, tables:3, lists:0
bg 14.2. start:2062 paragraphs:2, tables:0, lists:0
bg 15. start:2071 paragraphs:1, tables:0, lists:0
# end of comparison
