# Structural comparison of da/userGuide.t2t against da/userGuide-newRevisions/13702/userGuide.t2t
en 8.1. start:591 paragraphs:3, tables:3, lists:0
da 8.1. start:591 paragraphs:4, tables:4, lists:0
en 9. start:694 paragraphs:3, tables:0, lists:0
da 9. start:694 paragraphs:6, tables:0, lists:0
en 9.1. start:708 paragraphs:3, tables:0, lists:0
en 11.1.13. start:1478 paragraphs:2, tables:0, lists:0
da 11.1.13. start:1478 paragraphs:8, tables:0, lists:1
en 11.1.14. start:1484 paragraphs:8, tables:0, lists:1
da 11.1.14. start:1512 paragraphs:6, tables:0, lists:1
en 11.1.15. start:1518 paragraphs:6, tables:0, lists:1
da 11.1.15. start:1541 paragraphs:6, tables:0, lists:0
en 11.1.16. start:1547 paragraphs:6, tables:0, lists:0
en 11.2. start:1567 paragraphs:3, tables:1, lists:0
da 11.2. start:1561 paragraphs:3, tables:1, lists:0
en 11.3. start:1582 paragraphs:3, tables:0, lists:0
da 11.3. start:1576 paragraphs:3, tables:0, lists:0
en 11.3.1. start:1593 paragraphs:4, tables:0, lists:1
da 11.3.1. start:1587 paragraphs:4, tables:0, lists:1
en 11.3.2. start:1609 paragraphs:3, tables:0, lists:0
da 11.3.2. start:1603 paragraphs:3, tables:0, lists:0
en 11.3.3. start:1621 paragraphs:1, tables:0, lists:0
da 11.3.3. start:1615 paragraphs:1, tables:0, lists:0
en 11.3.4. start:1629 paragraphs:4, tables:0, lists:1
da 11.3.4. start:1623 paragraphs:4, tables:0, lists:1
en 11.3.5. start:1642 paragraphs:2, tables:0, lists:0
da 11.3.5. start:1636 paragraphs:2, tables:0, lists:0
en 11.3.6. start:1650 paragraphs:1, tables:0, lists:0
da 11.3.6. start:1644 paragraphs:1, tables:0, lists:0
en 11.4. start:1655 paragraphs:3, tables:0, lists:0
da 11.4. start:1649 paragraphs:3, tables:0, lists:0
en 12. start:1666 paragraphs:0, tables:0, lists:0
da 12. start:1660 paragraphs:0, tables:0, lists:0
en 12.1. start:1668 paragraphs:2, tables:0, lists:0
da 12.1. start:1662 paragraphs:2, tables:0, lists:0
en 12.2. start:1674 paragraphs:5, tables:0, lists:0
da 12.2. start:1668 paragraphs:5, tables:0, lists:0
en 12.3. start:1689 paragraphs:10, tables:0, lists:0
da 12.3. start:1683 paragraphs:10, tables:0, lists:0
en 12.4. start:1731 paragraphs:1, tables:0, lists:0
da 12.4. start:1725 paragraphs:1, tables:0, lists:0
en 12.5. start:1735 paragraphs:1, tables:0, lists:0
da 12.5. start:1729 paragraphs:1, tables:0, lists:0
en 13. start:1738 paragraphs:1, tables:0, lists:0
da 13. start:1732 paragraphs:1, tables:0, lists:0
en 13.1. start:1742 paragraphs:3, tables:0, lists:0
da 13.1. start:1736 paragraphs:3, tables:0, lists:0
en 13.2. start:1752 paragraphs:2, tables:0, lists:0
da 13.2. start:1746 paragraphs:2, tables:0, lists:0
en 13.3. start:1759 paragraphs:1, tables:0, lists:0
da 13.3. start:1753 paragraphs:1, tables:0, lists:0
en 13.4. start:1764 paragraphs:2, tables:0, lists:1
da 13.4. start:1758 paragraphs:2, tables:0, lists:1
en 13.5. start:1777 paragraphs:3, tables:0, lists:0
da 13.5. start:1771 paragraphs:3, tables:0, lists:0
en 13.6. start:1788 paragraphs:2, tables:0, lists:0
da 13.6. start:1782 paragraphs:2, tables:0, lists:0
en 13.7. start:1795 paragraphs:2, tables:0, lists:0
da 13.7. start:1789 paragraphs:2, tables:0, lists:0
en 14. start:1803 paragraphs:1, tables:0, lists:0
da 14. start:1797 paragraphs:1, tables:0, lists:0
en 14.1. start:1806 paragraphs:5, tables:3, lists:0
da 14.1. start:1800 paragraphs:5, tables:3, lists:0
en 14.2. start:1865 paragraphs:3, tables:1, lists:0
da 14.2. start:1859 paragraphs:3, tables:1, lists:0
en 14.3. start:1909 paragraphs:3, tables:1, lists:0
da 14.3. start:1903 paragraphs:3, tables:1, lists:0
en 14.4. start:1935 paragraphs:2, tables:1, lists:0
da 14.4. start:1929 paragraphs:2, tables:1, lists:0
en 14.5. start:1955 paragraphs:6, tables:2, lists:1
da 14.5. start:1949 paragraphs:6, tables:2, lists:1
en 14.6. start:1991 paragraphs:2, tables:1, lists:0
da 14.6. start:1985 paragraphs:2, tables:1, lists:0
en 14.7. start:2008 paragraphs:2, tables:1, lists:0
da 14.7. start:2002 paragraphs:2, tables:1, lists:0
en 14.8. start:2025 paragraphs:2, tables:1, lists:0
da 14.8. start:2019 paragraphs:2, tables:1, lists:0
en 14.9. start:2056 paragraphs:2, tables:1, lists:0
da 14.9. start:2050 paragraphs:2, tables:1, lists:0
en 14.10. start:2115 paragraphs:2, tables:1, lists:0
da 14.10. start:2109 paragraphs:2, tables:1, lists:0
en 14.11. start:2128 paragraphs:2, tables:1, lists:0
da 14.11. start:2122 paragraphs:2, tables:1, lists:0
en 14.12. start:2150 paragraphs:8, tables:3, lists:2
da 14.12. start:2144 paragraphs:8, tables:3, lists:2
en 14.13. start:2231 paragraphs:8, tables:4, lists:1
da 14.13. start:2225 paragraphs:8, tables:4, lists:1
en 14.14. start:2314 paragraphs:4, tables:1, lists:1
da 14.14. start:2308 paragraphs:4, tables:1, lists:1
en 14.15. start:2362 paragraphs:3, tables:1, lists:1
da 14.15. start:2356 paragraphs:3, tables:1, lists:1
en 14.16. start:2397 paragraphs:1, tables:1, lists:0
da 14.16. start:2391 paragraphs:1, tables:1, lists:0
en 14.17. start:2407 paragraphs:3, tables:1, lists:0
da 14.17. start:2401 paragraphs:3, tables:1, lists:0
en 15. start:2427 paragraphs:0, tables:0, lists:0
da 15. start:2421 paragraphs:0, tables:0, lists:0
en 15.1. start:2429 paragraphs:6, tables:3, lists:0
da 15.1. start:2423 paragraphs:6, tables:3, lists:0
en 15.2. start:2470 paragraphs:2, tables:1, lists:1
da 15.2. start:2464 paragraphs:2, tables:1, lists:1
en 16. start:2482 paragraphs:1, tables:0, lists:0
da 16. start:2476 paragraphs:1, tables:0, lists:0
# end of comparison
