AC	توان دهنده --(شارژر)--
activate	کارا کردن
active	کارا
align center	میان‌چین
align default	پیش‌نمودچین
align justify	دوسو طراز
align left	چپ‌چین
align right	راست‌چین
attachment	پیوست
automatic	خودکار
baseline	پایه
bold	کلفت
browse mode	گشتار خواندنی
browser	گشتارگر
carett	نشانگر
character description	ویژه‌واژه‌ی پیرامون واج
chart	نمودار
clipboard	سپاره‌ی میانجی
comment	بیش‌گویه
composition	نوشتن
copy	روگیری کردن
cursor	نشانگر
deactivate	ناکار کردن
deactive	ناکار
default	پیش‌نمود
dialog	پنجره‌ی گفتگو
direct	بی‌میانجی
document formatting	ریخت دادن به رسانه‌های نوشتاری
drive	سپاره‌ران
driver	برنامه‌ی راه‌اندازنده
dropdown button grid	دکمه‌ی گستراننده‌ی جدول
embedded object	چیز کار گذاشته شده
empty	تهی
error	کژی
first	نخستین/نخست
flatend	تخت
focus	نشان
focus mode	گشتار با نشانگر
footer	پانوشت
format	ریخت
formatting info	داده‌ی پیرامون با ریخت
gesture map file	پرونده‌ی نشان‌های ویژه
glass pane	جای شیشه‌وار
handout	دست‌نویس
header	سرنوشت
heading	سرنوشته
height	بلندا
hierarchy	زنجیره
homepage	تاربرگ نخست
input device	ابزار درون‌گیر
italic	کج‌نویس
keyboard	تخته‌کلید
last	واپسین
layout	چیده‌مان
level	گام
log	گاهنگار
master view	نمایش پایه
mouse	موشواره
navigation quick key	کلید تندپیما
navigator	نشانگر سونما
navigator object	چیز جا‌به‌جا شونده
next	پَس‌تر
no strikethrough	خط‌نخورده
normal view	نمایش هموار
notes page	برگه‌ی یادداشت‌ها
NVDA log viewer	گاه‌نگارنمای ان‌وی‌دی‌ای
object presentation	نمایان‌سازی چیزها
operating system	سامانه‌ی کارگر
option	گزینه
outline	سرگفتار
output device	ابزار برون‌ده
page	برگه
presentation	نمایاندن
previous	پیش‌تر
progress bar	نوار پیشرفت
remaining time	هنگام پس‌مانده
reset	جانشاندن
reside	جای گرفتن
review cursor	نشانگر بازبین
rewind	پیش‌گرد
route	راه گرفتن
screen	برگه‌ی نمایش
settings	سامان‌دهی‌ها
slide master	اسلاید پایه
speech viewer	سخن‌نما
spelling error	نادرستی نوشتاری
start marker	نشانه‌ی آغاز
status	کنونه
status line	نوار چگونگی
stop	ایست
strikethrough	خط‌خورده
style	سبک
subject	گزاره
subtitle	زیرسرنوشته
synthesizer	نوشتار به صدا
system cursor	نشانگر سامانه
system tray	هشدارگاه سامانه
tear off menu	تکه‌ساز منو
text	نوشتار
thumbnail	بند انگشتی
title	سرنوشته
toggle	جایگردان کردن
tooltip	نوشتار راهنما
touch	انگشت‌کشه
track	رسانه‌ی صدایی
translation	برگردان
type	کلیدنویس کردن
underlined	زیرخط‌دار
update	روزامدسازی
url	سرچشمه‌نما
variant	دگرگون‌شونده
vertical	بالا‌به‌پایین
webpage	تاربرگ
website	تارنما
width	پهنا
tether	پایبند شدن
punctuation	نمادگذاری نگارشی
punctuation	نماد نگارشی
shape	ریخت
unit	یکا
block quote	تکه‌گفتاورد
pattern	الگو
case	نمونه
regular expression	واج‌گروه قانون‌مند
port	درگاه
laptop	رایانه‌ی کیفی
no speech	بی‌سخن
long description	بیش‌گویه‌ی گسترده
role	کارکرد
landmark	جانشان
container	درون‌گیر
form field	درون‌گیر
edit field	جای ویرایشی
separator	جداساز
