# Structural comparison of fi/userGuide.t2t against fi/userGuide-newRevisions/13616/userGuide.t2t
en 10.1.6. start:1077 paragraphs:18, tables:0, lists:0
fi 10.1.6. start:1078 paragraphs:18, tables:0, lists:0
en 10.1.7. start:1137 paragraphs:8, tables:0, lists:0
fi 10.1.7. start:1138 paragraphs:8, tables:0, lists:0
en 10.1.8. start:1167 paragraphs:8, tables:0, lists:0
fi 10.1.8. start:1168 paragraphs:8, tables:0, lists:0
en 10.1.9. start:1191 paragraphs:15, tables:0, lists:1
fi 10.1.9. start:1192 paragraphs:15, tables:0, lists:1
en 10.1.10. start:1248 paragraphs:6, tables:0, lists:0
fi 10.1.10. start:1249 paragraphs:6, tables:0, lists:0
en 10.1.11. start:1279 paragraphs:13, tables:0, lists:0
fi 10.1.11. start:1280 paragraphs:13, tables:0, lists:0
en 10.1.12. start:1325 paragraphs:8, tables:0, lists:2
fi 10.1.12. start:1326 paragraphs:8, tables:0, lists:2
en 10.1.13. start:1388 paragraphs:8, tables:0, lists:1
fi 10.1.13. start:1389 paragraphs:8, tables:0, lists:1
en 10.1.14. start:1422 paragraphs:6, tables:0, lists:1
fi 10.1.14. start:1423 paragraphs:6, tables:0, lists:1
en 10.1.15. start:1451 paragraphs:6, tables:0, lists:0
fi 10.1.15. start:1452 paragraphs:6, tables:0, lists:0
en 10.2. start:1471 paragraphs:3, tables:1, lists:0
fi 10.2. start:1472 paragraphs:3, tables:1, lists:0
en 10.3. start:1486 paragraphs:3, tables:0, lists:0
fi 10.3. start:1487 paragraphs:3, tables:0, lists:0
en 10.3.1. start:1497 paragraphs:4, tables:0, lists:1
fi 10.3.1. start:1498 paragraphs:4, tables:0, lists:1
en 10.3.2. start:1513 paragraphs:3, tables:0, lists:0
fi 10.3.2. start:1514 paragraphs:3, tables:0, lists:0
en 10.3.3. start:1525 paragraphs:1, tables:0, lists:0
fi 10.3.3. start:1526 paragraphs:1, tables:0, lists:0
en 10.3.4. start:1533 paragraphs:4, tables:0, lists:1
fi 10.3.4. start:1534 paragraphs:4, tables:0, lists:1
en 10.3.5. start:1546 paragraphs:2, tables:0, lists:0
fi 10.3.5. start:1547 paragraphs:2, tables:0, lists:0
en 10.3.6. start:1554 paragraphs:1, tables:0, lists:0
fi 10.3.6. start:1555 paragraphs:1, tables:0, lists:0
en 10.4. start:1559 paragraphs:3, tables:0, lists:0
fi 10.4. start:1560 paragraphs:3, tables:0, lists:0
en 11. start:1570 paragraphs:0, tables:0, lists:0
fi 11. start:1571 paragraphs:0, tables:0, lists:0
en 11.1. start:1572 paragraphs:2, tables:0, lists:0
fi 11.1. start:1573 paragraphs:2, tables:0, lists:0
en 11.2. start:1578 paragraphs:5, tables:0, lists:0
fi 11.2. start:1579 paragraphs:5, tables:0, lists:0
en 11.3. start:1593 paragraphs:10, tables:0, lists:0
fi 11.3. start:1594 paragraphs:10, tables:0, lists:0
en 11.4. start:1635 paragraphs:1, tables:0, lists:0
fi 11.4. start:1636 paragraphs:1, tables:0, lists:0
en 11.5. start:1639 paragraphs:1, tables:0, lists:0
fi 11.5. start:1640 paragraphs:1, tables:0, lists:0
en 12. start:1642 paragraphs:1, tables:0, lists:0
fi 12. start:1643 paragraphs:1, tables:0, lists:0
en 12.1. start:1646 paragraphs:3, tables:0, lists:0
fi 12.1. start:1647 paragraphs:3, tables:0, lists:0
en 12.2. start:1656 paragraphs:2, tables:0, lists:0
fi 12.2. start:1657 paragraphs:2, tables:0, lists:0
en 12.3. start:1663 paragraphs:1, tables:0, lists:0
fi 12.3. start:1664 paragraphs:1, tables:0, lists:0
en 12.4. start:1668 paragraphs:2, tables:0, lists:1
fi 12.4. start:1669 paragraphs:2, tables:0, lists:1
en 12.5. start:1681 paragraphs:3, tables:0, lists:0
fi 12.5. start:1682 paragraphs:3, tables:0, lists:0
en 12.6. start:1692 paragraphs:2, tables:0, lists:0
fi 12.6. start:1693 paragraphs:2, tables:0, lists:0
en 12.7. start:1699 paragraphs:2, tables:0, lists:0
fi 12.7. start:1700 paragraphs:2, tables:0, lists:0
en 13. start:1707 paragraphs:1, tables:0, lists:0
fi 13. start:1708 paragraphs:1, tables:0, lists:0
en 13.1. start:1710 paragraphs:5, tables:3, lists:0
fi 13.1. start:1711 paragraphs:5, tables:3, lists:0
en 13.2. start:1769 paragraphs:3, tables:1, lists:0
fi 13.2. start:1770 paragraphs:3, tables:1, lists:0
en 13.3. start:1813 paragraphs:3, tables:1, lists:0
fi 13.3. start:1814 paragraphs:3, tables:1, lists:0
en 13.4. start:1839 paragraphs:2, tables:1, lists:0
fi 13.4. start:1840 paragraphs:2, tables:1, lists:0
en 13.5. start:1859 paragraphs:6, tables:2, lists:1
fi 13.5. start:1860 paragraphs:6, tables:2, lists:1
en 13.6. start:1895 paragraphs:2, tables:1, lists:0
fi 13.6. start:1896 paragraphs:2, tables:1, lists:0
en 13.7. start:1912 paragraphs:2, tables:1, lists:0
fi 13.7. start:1913 paragraphs:2, tables:1, lists:0
en 13.8. start:1929 paragraphs:2, tables:1, lists:0
fi 13.8. start:1930 paragraphs:2, tables:1, lists:0
en 13.9. start:1960 paragraphs:2, tables:1, lists:0
fi 13.9. start:1961 paragraphs:2, tables:1, lists:0
en 13.10. start:2019 paragraphs:2, tables:1, lists:0
fi 13.10. start:2020 paragraphs:2, tables:1, lists:0
en 13.11. start:2032 paragraphs:2, tables:1, lists:0
fi 13.11. start:2033 paragraphs:2, tables:1, lists:0
en 13.12. start:2054 paragraphs:8, tables:3, lists:2
fi 13.12. start:2055 paragraphs:8, tables:3, lists:2
en 13.13. start:2135 paragraphs:8, tables:4, lists:1
fi 13.13. start:2136 paragraphs:8, tables:4, lists:1
en 13.14. start:2218 paragraphs:4, tables:1, lists:1
fi 13.14. start:2219 paragraphs:4, tables:1, lists:1
en 13.15. start:2266 paragraphs:3, tables:1, lists:1
fi 13.15. start:2267 paragraphs:3, tables:1, lists:1
en 13.16. start:2301 paragraphs:3, tables:1, lists:0
fi 13.16. start:2302 paragraphs:3, tables:1, lists:0
en 14. start:2321 paragraphs:0, tables:0, lists:0
fi 14. start:2322 paragraphs:0, tables:0, lists:0
en 14.1. start:2323 paragraphs:6, tables:3, lists:0
fi 14.1. start:2324 paragraphs:6, tables:3, lists:0
en 14.2. start:2364 paragraphs:2, tables:1, lists:1
fi 14.2. start:2365 paragraphs:2, tables:1, lists:1
en 15. start:2376 paragraphs:1, tables:0, lists:0
fi 15. start:2377 paragraphs:1, tables:0, lists:0
# end of comparison
