# section number, section starts at line, paragraphs in this section, tables in this section, lists in this section.
1. start:10 paragraphs:1, tables:0, lists:0

1.1. start:15 paragraphs:2, tables:0, lists:1

1.2. start:33 paragraphs:1, tables:0, lists:0

1.3. start:37 paragraphs:3, tables:0, lists:0

1.4. start:44 paragraphs:2, tables:0, lists:0

1.5. start:50 paragraphs:2, tables:0, lists:0

2. start:58 paragraphs:0, tables:0, lists:1

3. start:65 paragraphs:6, tables:0, lists:0

3.1. start:84 paragraphs:1, tables:0, lists:1

3.2. start:92 paragraphs:2, tables:0, lists:0

3.2.1. start:102 paragraphs:1, tables:0, lists:0

3.2.2. start:106 paragraphs:1, tables:0, lists:0

3.2.3. start:110 paragraphs:1, tables:0, lists:0

3.3. start:115 paragraphs:2, tables:0, lists:0

4. start:127 paragraphs:0, tables:0, lists:0

4.1. start:129 paragraphs:5, tables:0, lists:0

4.2. start:149 paragraphs:0, tables:0, lists:0

4.2.1. start:151 paragraphs:4, tables:0, lists:0

4.2.2. start:161 paragraphs:2, tables:0, lists:0

4.3. start:170 paragraphs:1, tables:0, lists:0

4.3.1. start:175 paragraphs:1, tables:0, lists:0

4.3.2. start:180 paragraphs:7, tables:0, lists:0

4.3.3. start:203 paragraphs:2, tables:0, lists:0

4.4. start:214 paragraphs:2, tables:0, lists:0

4.5. start:222 paragraphs:2, tables:0, lists:0

4.6. start:230 paragraphs:0, tables:1, lists:0

4.7. start:243 paragraphs:0, tables:1, lists:0

5. start:251 paragraphs:1, tables:0, lists:0

5.1. start:254 paragraphs:1, tables:0, lists:0

5.2. start:258 paragraphs:3, tables:1, lists:0

5.3. start:274 paragraphs:4, tables:2, lists:0

5.4. start:297 paragraphs:7, tables:1, lists:0

5.5. start:339 paragraphs:6, tables:2, lists:0

5.6. start:381 paragraphs:2, tables:1, lists:0

5.6.1. start:392 paragraphs:1, tables:0, lists:0

5.6.2. start:397 paragraphs:3, tables:0, lists:0

5.6.3. start:406 paragraphs:3, tables:0, lists:0

5.7. start:415 paragraphs:5, tables:1, lists:0

6. start:440 paragraphs:3, tables:1, lists:0

6.1. start:469 paragraphs:3, tables:1, lists:1

6.2. start:502 paragraphs:1, tables:1, lists:0

6.3. start:512 paragraphs:1, tables:1, lists:0

7. start:523 paragraphs:1, tables:0, lists:0

7.1. start:526 paragraphs:0, tables:1, lists:0

7.2. start:533 paragraphs:0, tables:1, lists:0

7.3. start:539 paragraphs:1, tables:1, lists:0

7.4. start:547 paragraphs:0, tables:1, lists:0

7.5. start:553 paragraphs:0, tables:1, lists:0

8. start:560 paragraphs:0, tables:0, lists:0

8.1. start:562 paragraphs:1, tables:0, lists:0

8.1.1. start:569 paragraphs:10, tables:0, lists:0

8.1.2. start:611 paragraphs:5, tables:0, lists:0

8.1.3. start:627 paragraphs:17, tables:0, lists:0

8.1.4. start:697 paragraphs:1, tables:1, lists:0

8.1.5. start:707 paragraphs:17, tables:0, lists:0

8.1.6. start:769 paragraphs:15, tables:0, lists:0

8.1.7. start:817 paragraphs:8, tables:0, lists:0

8.1.8. start:845 paragraphs:7, tables:0, lists:0

8.1.9. start:867 paragraphs:14, tables:0, lists:1

8.1.10. start:917 paragraphs:6, tables:0, lists:0

8.1.11. start:948 paragraphs:12, tables:0, lists:0

8.1.12. start:990 paragraphs:6, tables:0, lists:1

8.1.13. start:1026 paragraphs:5, tables:0, lists:1

8.1.14. start:1054 paragraphs:3, tables:0, lists:0

8.1.15. start:1063 paragraphs:6, tables:0, lists:0

8.2. start:1082 paragraphs:3, tables:1, lists:0

8.3. start:1097 paragraphs:3, tables:0, lists:0

9. start:1108 paragraphs:0, tables:0, lists:0

9.1. start:1110 paragraphs:2, tables:0, lists:0

9.2. start:1116 paragraphs:3, tables:0, lists:0

9.3. start:1125 paragraphs:8, tables:0, lists:0

9.4. start:1158 paragraphs:1, tables:0, lists:0

9.5. start:1162 paragraphs:1, tables:0, lists:0

