# Structural comparison of is/userGuide.t2t against is/userGuide-diffs/10057/userGuide.t2t
is 1. start:10 paragraphs:1, tables:0, lists:0
is 1.1. start:15 paragraphs:2, tables:0, lists:1
is 1.2. start:33 paragraphs:1, tables:0, lists:0
is 1.3. start:37 paragraphs:3, tables:0, lists:0
is 1.4. start:44 paragraphs:2, tables:0, lists:0
is 1.5. start:50 paragraphs:2, tables:0, lists:0
is 2. start:58 paragraphs:0, tables:0, lists:1
is 3. start:65 paragraphs:6, tables:0, lists:0
is 3.1. start:84 paragraphs:1, tables:0, lists:1
is 3.2. start:92 paragraphs:2, tables:0, lists:0
is 3.2.1. start:102 paragraphs:1, tables:0, lists:0
is 3.2.2. start:106 paragraphs:1, tables:0, lists:0
is 3.2.3. start:110 paragraphs:1, tables:0, lists:0
is 3.3. start:115 paragraphs:2, tables:0, lists:0
is 4. start:127 paragraphs:0, tables:0, lists:0
is 4.1. start:129 paragraphs:5, tables:0, lists:0
is 4.2. start:147 paragraphs:0, tables:0, lists:0
is 4.2.1. start:149 paragraphs:4, tables:0, lists:0
is 4.2.2. start:159 paragraphs:2, tables:0, lists:0
is 4.3. start:168 paragraphs:1, tables:0, lists:0
is 4.3.1. start:173 paragraphs:1, tables:0, lists:0
is 4.3.2. start:178 paragraphs:7, tables:0, lists:0
is 4.3.3. start:201 paragraphs:2, tables:0, lists:0
is 4.4. start:212 paragraphs:2, tables:0, lists:0
is 4.5. start:220 paragraphs:2, tables:0, lists:0
is 4.6. start:228 paragraphs:0, tables:1, lists:0
is 4.7. start:241 paragraphs:0, tables:1, lists:0
is 5. start:249 paragraphs:1, tables:0, lists:0
is 5.1. start:252 paragraphs:1, tables:0, lists:0
is 5.2. start:256 paragraphs:3, tables:1, lists:0
is 5.3. start:272 paragraphs:4, tables:2, lists:0
is 5.4. start:295 paragraphs:7, tables:1, lists:0
is 5.5. start:337 paragraphs:6, tables:2, lists:0
is 5.6. start:379 paragraphs:4, tables:1, lists:0
is 5.7. start:401 paragraphs:5, tables:1, lists:0
is 6. start:426 paragraphs:3, tables:1, lists:0
is 6.1. start:455 paragraphs:3, tables:1, lists:1
is 6.2. start:488 paragraphs:1, tables:1, lists:0
is 6.3. start:498 paragraphs:1, tables:1, lists:0
is 7. start:509 paragraphs:1, tables:0, lists:0
is 7.1. start:512 paragraphs:0, tables:1, lists:0
is 7.2. start:519 paragraphs:1, tables:1, lists:0
is 7.3. start:527 paragraphs:0, tables:1, lists:0
is 7.4. start:533 paragraphs:0, tables:1, lists:0
is 8. start:540 paragraphs:0, tables:0, lists:0
is 8.1. start:542 paragraphs:1, tables:0, lists:0
is 8.1.1. start:549 paragraphs:10, tables:0, lists:0
is 8.1.2. start:591 paragraphs:5, tables:0, lists:0
is 8.1.3. start:607 paragraphs:17, tables:0, lists:0
is 8.1.4. start:677 paragraphs:1, tables:1, lists:0
is 8.1.5. start:687 paragraphs:17, tables:0, lists:0
is 8.1.6. start:748 paragraphs:14, tables:0, lists:0
is 8.1.7. start:793 paragraphs:7, tables:1, lists:0
is 8.1.8. start:822 paragraphs:6, tables:1, lists:0
is 8.1.9. start:845 paragraphs:13, tables:1, lists:1
is 8.1.10. start:896 paragraphs:6, tables:0, lists:0
is 8.1.11. start:927 paragraphs:12, tables:0, lists:0
is 8.1.12. start:966 paragraphs:6, tables:0, lists:1
is 8.1.13. start:1001 paragraphs:5, tables:0, lists:1
is 8.1.14. start:1029 paragraphs:3, tables:0, lists:0
is 8.2. start:1038 paragraphs:3, tables:1, lists:0
is 8.3. start:1053 paragraphs:3, tables:0, lists:0
is 9. start:1064 paragraphs:0, tables:0, lists:0
is 9.1. start:1066 paragraphs:2, tables:0, lists:0
is 9.2. start:1072 paragraphs:3, tables:0, lists:0
is 9.3. start:1081 paragraphs:6, tables:0, lists:0
is 9.4. start:1107 paragraphs:1, tables:0, lists:0
is 9.5. start:1111 paragraphs:1, tables:0, lists:0
is 10. start:1114 paragraphs:1, tables:0, lists:0
is 10.1. start:1118 paragraphs:3, tables:0, lists:0
is 10.2. start:1128 paragraphs:2, tables:0, lists:0
is 10.3. start:1135 paragraphs:1, tables:0, lists:0
is 10.4. start:1140 paragraphs:2, tables:0, lists:1
is 10.5. start:1153 paragraphs:2, tables:0, lists:0
is 10.6. start:1160 paragraphs:2, tables:0, lists:0
is 11. start:1166 paragraphs:1, tables:0, lists:0
is 11.1. start:1169 paragraphs:5, tables:3, lists:0
is 11.2. start:1230 paragraphs:3, tables:1, lists:0
is 11.3. start:1262 paragraphs:3, tables:1, lists:0
is 11.4. start:1288 paragraphs:2, tables:1, lists:0
is 11.5. start:1308 paragraphs:5, tables:2, lists:1
is 11.6. start:1339 paragraphs:2, tables:1, lists:0
is 11.7. start:1356 paragraphs:2, tables:1, lists:0
is 11.8. start:1373 paragraphs:2, tables:1, lists:0
is 11.9. start:1403 paragraphs:3, tables:1, lists:0
is 11.10. start:1465 paragraphs:2, tables:1, lists:0
is 11.11. start:1478 paragraphs:2, tables:1, lists:0
is 11.12. start:1500 paragraphs:6, tables:2, lists:1
is 11.13. start:1554 paragraphs:8, tables:4, lists:1
is 11.14. start:1638 paragraphs:4, tables:1, lists:1
is 11.15. start:1686 paragraphs:3, tables:1, lists:0
is 12. start:1706 paragraphs:0, tables:0, lists:0
is 12.1. start:1708 paragraphs:13, tables:0, lists:3
is 12.2. start:1781 paragraphs:2, tables:0, lists:0
is 13. start:1790 paragraphs:1, tables:0, lists:0
# end of comparison
