# Structural comparison of it/userGuide.t2t against it/userGuide-newRevisions/11758/userGuide.t2t
en 8.1.2. start:592 paragraphs:1, tables:0, lists:0
it 8.1.2. start:593 paragraphs:1, tables:0, lists:0
en 8.1.2.1. start:599 paragraphs:1, tables:0, lists:0
it 8.1.2.1. start:600 paragraphs:1, tables:0, lists:0
en 8.1.3. start:605 paragraphs:1, tables:0, lists:0
it 8.1.3. start:606 paragraphs:1, tables:0, lists:0
en 8.2. start:611 paragraphs:0, tables:0, lists:0
it 8.2. start:612 paragraphs:0, tables:0, lists:0
en 8.2.1. start:613 paragraphs:2, tables:1, lists:0
it 8.2.1. start:614 paragraphs:2, tables:1, lists:0
it 8.2.1.1. start:627 paragraphs:1, tables:0, lists:1
en 8.2.2. start:626 paragraphs:1, tables:0, lists:1
it 8.2.2. start:646 paragraphs:1, tables:0, lists:0
en 8.2.3. start:645 paragraphs:1, tables:0, lists:0
it 8.2.3. start:652 paragraphs:1, tables:0, lists:0
en 8.2.4. start:651 paragraphs:1, tables:0, lists:0
en 8.3. start:657 paragraphs:0, tables:1, lists:0
it 8.3. start:658 paragraphs:0, tables:1, lists:0
en 8.4. start:663 paragraphs:1, tables:1, lists:0
it 8.4. start:664 paragraphs:1, tables:1, lists:0
en 8.5. start:671 paragraphs:0, tables:1, lists:0
it 8.5. start:672 paragraphs:0, tables:1, lists:0
en 8.6. start:677 paragraphs:0, tables:1, lists:0
it 8.6. start:678 paragraphs:0, tables:1, lists:0
en 8.7. start:684 paragraphs:1, tables:1, lists:0
it 8.7. start:685 paragraphs:1, tables:1, lists:0
en 9. start:691 paragraphs:0, tables:0, lists:0
it 9. start:692 paragraphs:0, tables:0, lists:0
en 9.1. start:693 paragraphs:2, tables:0, lists:0
it 9.1. start:694 paragraphs:2, tables:0, lists:0
en 9.1.1. start:703 paragraphs:11, tables:0, lists:0
it 9.1.1. start:704 paragraphs:11, tables:0, lists:0
en 9.1.2. start:749 paragraphs:7, tables:0, lists:1
it 9.1.2. start:750 paragraphs:7, tables:0, lists:1
en 9.1.3. start:775 paragraphs:18, tables:0, lists:0
it 9.1.3. start:776 paragraphs:18, tables:0, lists:0
en 9.1.4. start:850 paragraphs:1, tables:1, lists:0
it 9.1.4. start:851 paragraphs:1, tables:1, lists:0
en 9.1.5. start:860 paragraphs:22, tables:0, lists:0
it 9.1.5. start:861 paragraphs:22, tables:0, lists:0
en 9.1.6. start:942 paragraphs:17, tables:0, lists:0
it 9.1.6. start:943 paragraphs:17, tables:0, lists:0
en 9.1.7. start:998 paragraphs:8, tables:0, lists:0
it 9.1.7. start:999 paragraphs:8, tables:0, lists:0
en 9.1.8. start:1028 paragraphs:7, tables:0, lists:0
it 9.1.8. start:1029 paragraphs:7, tables:0, lists:0
en 9.1.9. start:1050 paragraphs:14, tables:0, lists:1
it 9.1.9. start:1051 paragraphs:14, tables:0, lists:1
en 9.1.10. start:1100 paragraphs:6, tables:0, lists:0
it 9.1.10. start:1101 paragraphs:6, tables:0, lists:0
en 9.1.11. start:1131 paragraphs:13, tables:0, lists:0
it 9.1.11. start:1132 paragraphs:13, tables:0, lists:0
en 9.1.12. start:1177 paragraphs:7, tables:0, lists:1
it 9.1.12. start:1178 paragraphs:7, tables:0, lists:1
en 9.1.13. start:1218 paragraphs:8, tables:0, lists:1
it 9.1.13. start:1219 paragraphs:8, tables:0, lists:1
en 9.1.14. start:1252 paragraphs:6, tables:0, lists:1
it 9.1.14. start:1253 paragraphs:7, tables:0, lists:0
en 12.10. start:1814 paragraphs:2, tables:1, lists:0
it 12.10. start:1816 paragraphs:2, tables:1, lists:0
en 12.11. start:1827 paragraphs:2, tables:1, lists:0
it 12.11. start:1829 paragraphs:2, tables:1, lists:0
en 12.12. start:1849 paragraphs:8, tables:3, lists:2
it 12.12. start:1851 paragraphs:8, tables:3, lists:2
en 12.13. start:1932 paragraphs:8, tables:4, lists:1
it 12.13. start:1934 paragraphs:8, tables:4, lists:1
en 12.14. start:2015 paragraphs:4, tables:1, lists:1
it 12.14. start:2017 paragraphs:4, tables:1, lists:1
en 12.15. start:2063 paragraphs:3, tables:1, lists:1
it 12.15. start:2065 paragraphs:4, tables:1, lists:1
en 12.16. start:2098 paragraphs:3, tables:1, lists:0
it 12.16. start:2100 paragraphs:3, tables:1, lists:0
en 13. start:2118 paragraphs:2, tables:2, lists:0
it 13. start:2120 paragraphs:2, tables:2, lists:0
en 14. start:2155 paragraphs:0, tables:0, lists:0
it 14. start:2157 paragraphs:0, tables:0, lists:0
en 14.1. start:2157 paragraphs:6, tables:3, lists:0
it 14.1. start:2159 paragraphs:6, tables:3, lists:0
en 15. start:2197 paragraphs:1, tables:0, lists:0
it 15. start:2200 paragraphs:1, tables:0, lists:0
# end of comparison
