en 8.1.11. start:882 paragraphs:12, tables:0, lists:0
ko 8.1.11. start:880 paragraphs:12, tables:0, lists:0
en 8.1.12. start:921 paragraphs:6, tables:0, lists:1
ko 8.1.12. start:919 paragraphs:6, tables:0, lists:1
en 8.1.13. start:956 paragraphs:5, tables:0, lists:1
ko 8.1.13. start:954 paragraphs:5, tables:0, lists:1
en 8.1.14. start:984 paragraphs:3, tables:0, lists:0
ko 8.1.14. start:982 paragraphs:3, tables:0, lists:0
en 8.2. start:993 paragraphs:3, tables:1, lists:0
ko 8.2. start:991 paragraphs:3, tables:1, lists:0
en 8.3. start:1008 paragraphs:3, tables:0, lists:0
ko 8.3. start:1006 paragraphs:3, tables:0, lists:0
en 9. start:1019 paragraphs:0, tables:0, lists:0
ko 9. start:1017 paragraphs:0, tables:0, lists:0
en 9.1. start:1021 paragraphs:2, tables:0, lists:0
ko 9.1. start:1019 paragraphs:2, tables:0, lists:0
en 9.2. start:1027 paragraphs:3, tables:0, lists:0
ko 9.2. start:1025 paragraphs:3, tables:0, lists:0
en 9.3. start:1036 paragraphs:6, tables:0, lists:0
ko 9.3. start:1034 paragraphs:6, tables:0, lists:0
en 9.4. start:1062 paragraphs:1, tables:0, lists:0
ko 9.4. start:1060 paragraphs:1, tables:0, lists:0
en 9.5. start:1066 paragraphs:1, tables:0, lists:0
ko 9.5. start:1064 paragraphs:1, tables:0, lists:0
en 10. start:1069 paragraphs:1, tables:0, lists:0
ko 10. start:1067 paragraphs:1, tables:0, lists:0
en 10.1. start:1073 paragraphs:3, tables:0, lists:0
ko 10.1. start:1071 paragraphs:3, tables:0, lists:0
en 10.2. start:1083 paragraphs:2, tables:0, lists:0
ko 10.2. start:1081 paragraphs:2, tables:0, lists:0
en 10.3. start:1090 paragraphs:1, tables:0, lists:0
ko 10.3. start:1088 paragraphs:1, tables:0, lists:0
en 10.4. start:1095 paragraphs:2, tables:0, lists:1
ko 10.4. start:1093 paragraphs:2, tables:0, lists:1
en 10.5. start:1108 paragraphs:2, tables:0, lists:0
ko 10.5. start:1106 paragraphs:2, tables:0, lists:0
en 10.6. start:1115 paragraphs:2, tables:0, lists:0
ko 10.6. start:1113 paragraphs:2, tables:0, lists:0
en 11. start:1121 paragraphs:1, tables:0, lists:0
ko 11. start:1119 paragraphs:1, tables:0, lists:0
en 11.1. start:1124 paragraphs:4, tables:3, lists:0
ko 11.1. start:1122 paragraphs:4, tables:3, lists:0
en 11.2. start:1181 paragraphs:2, tables:1, lists:0
ko 11.2. start:1179 paragraphs:2, tables:1, lists:0
en 11.3. start:1210 paragraphs:2, tables:1, lists:0
ko 11.3. start:1208 paragraphs:2, tables:1, lists:0
en 11.4. start:1234 paragraphs:2, tables:1, lists:0
ko 11.4. start:1232 paragraphs:2, tables:1, lists:0
en 11.5. start:1254 paragraphs:5, tables:2, lists:1
ko 11.5. start:1252 paragraphs:5, tables:2, lists:1
en 11.6. start:1285 paragraphs:2, tables:1, lists:0
ko 11.6. start:1283 paragraphs:2, tables:1, lists:0
en 11.7. start:1302 paragraphs:2, tables:1, lists:0
ko 11.7. start:1300 paragraphs:2, tables:1, lists:0
en 11.8. start:1319 paragraphs:2, tables:1, lists:0
ko 11.8. start:1317 paragraphs:2, tables:1, lists:0
en 11.9. start:1349 paragraphs:2, tables:1, lists:0
ko 11.9. start:1347 paragraphs:2, tables:1, lists:0
en 11.10. start:1409 paragraphs:2, tables:1, lists:0
ko 11.10. start:1407 paragraphs:2, tables:1, lists:0
en 11.11. start:1422 paragraphs:2, tables:1, lists:0
ko 11.11. start:1420 paragraphs:2, tables:1, lists:0
en 11.12. start:1444 paragraphs:6, tables:2, lists:1
ko 11.12. start:1442 paragraphs:6, tables:2, lists:1
en 11.13. start:1498 paragraphs:2, tables:1, lists:0
ko 11.13. start:1496 paragraphs:2, tables:1, lists:0
en 12. start:1515 paragraphs:0, tables:0, lists:0
ko 12. start:1513 paragraphs:0, tables:0, lists:0
en 12.1. start:1517 paragraphs:13, tables:0, lists:3
ko 12.1. start:1515 paragraphs:13, tables:0, lists:2
en 12.2. start:1590 paragraphs:2, tables:0, lists:0
ko 12.2. start:1589 paragraphs:2, tables:0, lists:0
en 13. start:1599 paragraphs:1, tables:0, lists:0
ko 13. start:1598 paragraphs:1, tables:0, lists:0
