# Structural comparison of ko/userGuide.t2t against ko/userGuide-newRevisions/14701/userGuide.t2t
en 11.1.6. start:1204 paragraphs:8, tables:0, lists:0
ko 11.1.6. start:1203 paragraphs:8, tables:0, lists:0
en 11.1.13. start:1439 paragraphs:13, tables:0, lists:0
ko 11.1.13. start:1440 paragraphs:13, tables:0, lists:0
en 11.1.14. start:1486 paragraphs:7, tables:0, lists:2
ko 11.1.14. start:1487 paragraphs:7, tables:0, lists:2
en 11.1.15. start:1546 paragraphs:2, tables:0, lists:0
ko 11.1.15. start:1548 paragraphs:2, tables:0, lists:0
ko 11.1.16. start:1555 paragraphs:8, tables:0, lists:1
ko 11.1.17. start:1589 paragraphs:6, tables:0, lists:1
ko 11.1.18. start:1618 paragraphs:6, tables:0, lists:0
en 11.2. start:1553 paragraphs:1, tables:0, lists:0
ko 11.2. start:1638 paragraphs:3, tables:1, lists:0
en 11.2.1. start:1556 paragraphs:8, tables:0, lists:1
en 11.2.2. start:1590 paragraphs:6, tables:0, lists:1
en 11.2.3. start:1619 paragraphs:6, tables:0, lists:0
en 11.3. start:1639 paragraphs:3, tables:1, lists:0
ko 11.3. start:1653 paragraphs:3, tables:0, lists:0
ko 11.3.1. start:1664 paragraphs:4, tables:0, lists:1
ko 11.3.2. start:1680 paragraphs:3, tables:0, lists:0
ko 11.3.3. start:1692 paragraphs:1, tables:0, lists:0
ko 11.3.4. start:1700 paragraphs:4, tables:0, lists:1
ko 11.3.5. start:1713 paragraphs:2, tables:0, lists:0
ko 11.3.6. start:1721 paragraphs:2, tables:0, lists:0
en 11.4. start:1654 paragraphs:3, tables:0, lists:0
ko 11.4. start:1728 paragraphs:3, tables:0, lists:0
en 11.4.1. start:1665 paragraphs:4, tables:0, lists:1
en 11.4.2. start:1681 paragraphs:3, tables:0, lists:0
en 11.4.3. start:1693 paragraphs:1, tables:0, lists:0
en 11.4.4. start:1701 paragraphs:4, tables:0, lists:1
en 11.4.5. start:1714 paragraphs:2, tables:0, lists:0
en 11.4.6. start:1722 paragraphs:2, tables:0, lists:0
en 11.5. start:1729 paragraphs:3, tables:0, lists:0
en 12. start:1740 paragraphs:0, tables:0, lists:0
ko 12. start:1739 paragraphs:0, tables:0, lists:0
en 12.1. start:1742 paragraphs:2, tables:0, lists:0
ko 12.1. start:1741 paragraphs:2, tables:0, lists:0
en 12.2. start:1748 paragraphs:5, tables:0, lists:0
ko 12.2. start:1747 paragraphs:5, tables:0, lists:0
en 12.3. start:1763 paragraphs:10, tables:0, lists:0
ko 12.3. start:1762 paragraphs:10, tables:0, lists:0
en 12.4. start:1806 paragraphs:1, tables:0, lists:0
ko 12.4. start:1805 paragraphs:1, tables:0, lists:0
en 12.5. start:1810 paragraphs:1, tables:0, lists:0
ko 12.5. start:1809 paragraphs:1, tables:0, lists:0
en 13. start:1813 paragraphs:1, tables:0, lists:0
ko 13. start:1812 paragraphs:1, tables:0, lists:0
en 13.1. start:1817 paragraphs:3, tables:0, lists:0
ko 13.1. start:1816 paragraphs:3, tables:0, lists:0
en 13.2. start:1827 paragraphs:2, tables:0, lists:0
ko 13.2. start:1826 paragraphs:2, tables:0, lists:0
en 13.3. start:1834 paragraphs:1, tables:0, lists:0
ko 13.3. start:1833 paragraphs:1, tables:0, lists:0
en 13.4. start:1839 paragraphs:2, tables:0, lists:1
ko 13.4. start:1838 paragraphs:2, tables:0, lists:1
en 13.5. start:1852 paragraphs:3, tables:0, lists:0
ko 13.5. start:1851 paragraphs:3, tables:0, lists:0
en 13.6. start:1863 paragraphs:2, tables:0, lists:0
ko 13.6. start:1862 paragraphs:2, tables:0, lists:0
en 14. start:1870 paragraphs:1, tables:0, lists:0
ko 14. start:1869 paragraphs:1, tables:0, lists:0
en 14.1. start:1873 paragraphs:5, tables:3, lists:0
ko 14.1. start:1872 paragraphs:5, tables:3, lists:0
en 14.2. start:1932 paragraphs:4, tables:1, lists:0
ko 14.2. start:1931 paragraphs:4, tables:1, lists:0
en 14.3. start:1985 paragraphs:3, tables:1, lists:1
ko 14.3. start:1984 paragraphs:3, tables:1, lists:1
en 14.4. start:2019 paragraphs:2, tables:1, lists:0
ko 14.4. start:2018 paragraphs:2, tables:1, lists:0
en 14.5. start:2039 paragraphs:6, tables:2, lists:1
ko 14.5. start:2038 paragraphs:6, tables:2, lists:1
en 14.6. start:2075 paragraphs:2, tables:1, lists:0
ko 14.6. start:2074 paragraphs:2, tables:1, lists:0
