# Structural comparison of ky/userGuide.t2t against ky/userGuide-newRevisions/14310/userGuide.t2t
en 1.1. start:16 paragraphs:2, tables:0, lists:1
ky 1.1. start:16 paragraphs:8, tables:0, lists:1
en 1.2. start:35 paragraphs:1, tables:0, lists:0
ky 1.2. start:53 paragraphs:2, tables:0, lists:0
en 1.3. start:39 paragraphs:3, tables:0, lists:0
en 1.4. start:46 paragraphs:2, tables:0, lists:0
en 1.5. start:53 paragraphs:2, tables:0, lists:0
en 2. start:61 paragraphs:0, tables:0, lists:1
ky 2. start:61 paragraphs:1, tables:0, lists:1
en 3. start:70 paragraphs:6, tables:0, lists:0
ky 3. start:70 paragraphs:7, tables:0, lists:0
en 3.2. start:98 paragraphs:2, tables:0, lists:0
ky 3.2. start:98 paragraphs:3, tables:0, lists:0
en 3.2.1. start:108 paragraphs:1, tables:0, lists:0
en 4.1. start:135 paragraphs:5, tables:0, lists:0
ky 4.1. start:135 paragraphs:75, tables:13, lists:0
en 4.1.1. start:153 paragraphs:1, tables:0, lists:0
en 4.2. start:162 paragraphs:0, tables:0, lists:0
en 4.2.1. start:164 paragraphs:3, tables:0, lists:0
en 4.2.2. start:173 paragraphs:2, tables:0, lists:0
en 4.3. start:181 paragraphs:1, tables:0, lists:0
en 4.3.1. start:186 paragraphs:1, tables:0, lists:0
en 4.3.2. start:191 paragraphs:7, tables:0, lists:0
en 4.3.3. start:214 paragraphs:2, tables:0, lists:0
en 4.3.4. start:225 paragraphs:2, tables:0, lists:0
en 4.4. start:234 paragraphs:2, tables:0, lists:0
en 4.5. start:242 paragraphs:2, tables:0, lists:0
en 4.6. start:250 paragraphs:0, tables:1, lists:0
en 4.7. start:263 paragraphs:0, tables:1, lists:0
en 5. start:271 paragraphs:1, tables:0, lists:0
en 5.1. start:274 paragraphs:1, tables:0, lists:0
en 5.2. start:278 paragraphs:3, tables:1, lists:0
en 5.3. start:294 paragraphs:4, tables:2, lists:0
en 5.4. start:319 paragraphs:7, tables:1, lists:0
en 5.5. start:361 paragraphs:6, tables:2, lists:0
en 5.6. start:403 paragraphs:2, tables:1, lists:0
en 5.6.1. start:414 paragraphs:1, tables:0, lists:0
en 5.6.2. start:419 paragraphs:3, tables:0, lists:0
en 5.6.3. start:428 paragraphs:3, tables:0, lists:0
en 5.7. start:437 paragraphs:5, tables:1, lists:0
en 6. start:462 paragraphs:3, tables:1, lists:0
en 6.1. start:491 paragraphs:4, tables:1, lists:1
en 6.2. start:533 paragraphs:1, tables:1, lists:0
en 6.3. start:544 paragraphs:1, tables:1, lists:0
en 7. start:556 paragraphs:3, tables:0, lists:1
en 7.1. start:573 paragraphs:5, tables:1, lists:1
en 8. start:595 paragraphs:2, tables:0, lists:0
en 8.1. start:602 paragraphs:3, tables:3, lists:0
en 8.2. start:690 paragraphs:3, tables:0, lists:0
en 9. start:705 paragraphs:3, tables:0, lists:0
en 9.1. start:719 paragraphs:3, tables:0, lists:0
en 10. start:730 paragraphs:1, tables:0, lists:0
en 10.1. start:733 paragraphs:0, tables:0, lists:0
en 10.1.1. start:735 paragraphs:2, tables:1, lists:0
en 10.1.2. start:748 paragraphs:1, tables:0, lists:0
en 10.1.2.1. start:755 paragraphs:1, tables:0, lists:0
en 10.1.3. start:761 paragraphs:1, tables:0, lists:0
en 10.2. start:767 paragraphs:0, tables:0, lists:0
en 10.2.1. start:769 paragraphs:2, tables:1, lists:0
en 10.2.2. start:782 paragraphs:1, tables:0, lists:1
en 10.2.3. start:804 paragraphs:1, tables:0, lists:0
en 10.2.4. start:810 paragraphs:1, tables:0, lists:0
en 10.2.5. start:816 paragraphs:1, tables:0, lists:0
en 10.3. start:822 paragraphs:0, tables:1, lists:0
en 10.4. start:828 paragraphs:1, tables:1, lists:0
en 10.5. start:836 paragraphs:0, tables:1, lists:0
en 10.6. start:842 paragraphs:0, tables:1, lists:0
en 10.7. start:849 paragraphs:1, tables:1, lists:0
en 10.8. start:856 paragraphs:4, tables:0, lists:0
en 10.8.1. start:873 paragraphs:1, tables:0, lists:0
en 10.8.2. start:881 paragraphs:3, tables:0, lists:1
en 10.9. start:895 paragraphs:1, tables:1, lists:0
en 11. start:903 paragraphs:0, tables:0, lists:0
en 11.1. start:905 paragraphs:2, tables:0, lists:0
