# Structural comparison of mk/userGuide.t2t against mk/userGuide-newRevisions/13862/userGuide.t2t
en 3. start:70 paragraphs:6, tables:0, lists:0
mk 3. start:71 paragraphs:6, tables:0, lists:0
en 3.1. start:89 paragraphs:1, tables:0, lists:1
mk 3.1. start:90 paragraphs:1, tables:0, lists:1
en 3.2. start:98 paragraphs:2, tables:0, lists:0
mk 3.2. start:99 paragraphs:2, tables:0, lists:0
en 3.2.1. start:108 paragraphs:1, tables:0, lists:0
mk 3.2.1. start:109 paragraphs:1, tables:0, lists:0
en 3.2.2. start:112 paragraphs:1, tables:0, lists:0
mk 3.2.2. start:113 paragraphs:1, tables:0, lists:0
en 3.2.3. start:116 paragraphs:1, tables:0, lists:0
mk 3.2.3. start:117 paragraphs:1, tables:0, lists:0
en 3.3. start:121 paragraphs:2, tables:0, lists:0
mk 3.3. start:122 paragraphs:2, tables:0, lists:0
en 4. start:133 paragraphs:0, tables:0, lists:0
mk 4. start:134 paragraphs:0, tables:0, lists:0
en 4.1. start:135 paragraphs:6, tables:0, lists:0
mk 4.1. start:136 paragraphs:6, tables:0, lists:0
en 4.2. start:161 paragraphs:0, tables:0, lists:0
mk 4.2. start:162 paragraphs:0, tables:0, lists:0
en 4.2.1. start:163 paragraphs:3, tables:0, lists:0
mk 4.2.1. start:164 paragraphs:3, tables:0, lists:0
en 4.2.2. start:172 paragraphs:2, tables:0, lists:0
mk 4.2.2. start:173 paragraphs:2, tables:0, lists:0
en 4.3. start:180 paragraphs:1, tables:0, lists:0
mk 4.3. start:181 paragraphs:1, tables:0, lists:0
en 4.3.1. start:185 paragraphs:1, tables:0, lists:0
mk 4.3.1. start:186 paragraphs:1, tables:0, lists:0
en 4.3.2. start:190 paragraphs:7, tables:0, lists:0
mk 4.3.2. start:191 paragraphs:7, tables:0, lists:0
en 4.3.3. start:213 paragraphs:2, tables:0, lists:0
mk 4.3.3. start:214 paragraphs:2, tables:0, lists:0
en 4.4. start:224 paragraphs:2, tables:0, lists:0
mk 4.4. start:225 paragraphs:2, tables:0, lists:0
en 4.5. start:232 paragraphs:2, tables:0, lists:0
mk 4.5. start:233 paragraphs:2, tables:0, lists:0
en 4.6. start:240 paragraphs:0, tables:1, lists:0
mk 4.6. start:241 paragraphs:0, tables:1, lists:0
en 4.7. start:253 paragraphs:0, tables:1, lists:0
mk 4.7. start:254 paragraphs:0, tables:1, lists:0
en 5. start:261 paragraphs:1, tables:0, lists:0
mk 5. start:262 paragraphs:1, tables:0, lists:0
en 5.1. start:264 paragraphs:1, tables:0, lists:0
mk 5.1. start:265 paragraphs:1, tables:0, lists:0
en 5.2. start:268 paragraphs:3, tables:1, lists:0
mk 5.2. start:269 paragraphs:3, tables:1, lists:0
en 5.3. start:284 paragraphs:4, tables:2, lists:0
mk 5.3. start:285 paragraphs:4, tables:2, lists:0
en 5.4. start:309 paragraphs:7, tables:1, lists:0
mk 5.4. start:310 paragraphs:7, tables:1, lists:0
en 5.5. start:351 paragraphs:6, tables:2, lists:0
mk 5.5. start:352 paragraphs:6, tables:2, lists:0
en 5.6. start:393 paragraphs:2, tables:1, lists:0
mk 5.6. start:394 paragraphs:2, tables:1, lists:0
en 5.6.1. start:404 paragraphs:1, tables:0, lists:0
mk 5.6.1. start:405 paragraphs:1, tables:0, lists:0
en 5.6.2. start:409 paragraphs:3, tables:0, lists:0
mk 5.6.2. start:410 paragraphs:3, tables:0, lists:0
en 5.6.3. start:418 paragraphs:3, tables:0, lists:0
mk 5.6.3. start:419 paragraphs:3, tables:0, lists:0
en 5.7. start:427 paragraphs:5, tables:1, lists:0
mk 5.7. start:428 paragraphs:5, tables:1, lists:0
en 6. start:452 paragraphs:3, tables:1, lists:0
mk 6. start:453 paragraphs:3, tables:1, lists:0
en 6.1. start:482 paragraphs:4, tables:1, lists:1
mk 6.1. start:483 paragraphs:4, tables:1, lists:1
en 6.2. start:524 paragraphs:1, tables:1, lists:0
mk 6.2. start:525 paragraphs:1, tables:1, lists:0
en 6.3. start:535 paragraphs:1, tables:1, lists:0
mk 6.3. start:536 paragraphs:1, tables:1, lists:0
en 7. start:546 paragraphs:3, tables:0, lists:1
mk 7. start:547 paragraphs:3, tables:0, lists:1
en 7.1. start:560 paragraphs:5, tables:1, lists:1
mk 7.1. start:561 paragraphs:5, tables:1, lists:1
en 8. start:582 paragraphs:2, tables:0, lists:0
mk 8. start:583 paragraphs:2, tables:0, lists:0
en 8.1. start:589 paragraphs:3, tables:3, lists:0
mk 8.1. start:590 paragraphs:3, tables:3, lists:0
en 8.2. start:677 paragraphs:3, tables:0, lists:0
mk 8.2. start:678 paragraphs:3, tables:0, lists:0
en 9. start:692 paragraphs:3, tables:0, lists:0
mk 9. start:693 paragraphs:3, tables:0, lists:0
en 9.1. start:706 paragraphs:3, tables:0, lists:0
mk 9.1. start:707 paragraphs:3, tables:0, lists:0
en 10. start:717 paragraphs:1, tables:0, lists:0
mk 10. start:718 paragraphs:1, tables:0, lists:0
en 10.1. start:720 paragraphs:0, tables:0, lists:0
mk 10.1. start:721 paragraphs:0, tables:0, lists:0
en 10.1.1. start:722 paragraphs:2, tables:1, lists:0
mk 10.1.1. start:723 paragraphs:2, tables:1, lists:0
en 10.1.2. start:735 paragraphs:1, tables:0, lists:0
mk 10.1.2. start:736 paragraphs:1, tables:0, lists:0
en 10.1.2.1. start:742 paragraphs:1, tables:0, lists:0
mk 10.1.2.1. start:743 paragraphs:1, tables:0, lists:0
en 10.1.3. start:748 paragraphs:1, tables:0, lists:0
mk 10.1.3. start:749 paragraphs:1, tables:0, lists:0
en 10.2. start:754 paragraphs:0, tables:0, lists:0
mk 10.2. start:755 paragraphs:0, tables:0, lists:0
en 10.2.1. start:756 paragraphs:2, tables:1, lists:0
mk 10.2.1. start:757 paragraphs:2, tables:1, lists:0
en 10.2.2. start:769 paragraphs:1, tables:0, lists:1
mk 10.2.2. start:770 paragraphs:1, tables:0, lists:1
en 10.2.3. start:791 paragraphs:1, tables:0, lists:0
mk 10.2.3. start:792 paragraphs:1, tables:0, lists:0
en 10.2.4. start:797 paragraphs:1, tables:0, lists:0
mk 10.2.4. start:798 paragraphs:1, tables:0, lists:0
en 10.2.5. start:803 paragraphs:1, tables:0, lists:0
mk 10.2.5. start:804 paragraphs:1, tables:0, lists:0
en 10.3. start:809 paragraphs:0, tables:1, lists:0
mk 10.3. start:810 paragraphs:0, tables:1, lists:0
en 10.4. start:815 paragraphs:1, tables:1, lists:0
mk 10.4. start:816 paragraphs:1, tables:1, lists:0
en 10.5. start:823 paragraphs:0, tables:1, lists:0
