en 1.1. start:15 paragraphs:2, tables:0, lists:1
en 1.2. start:33 paragraphs:1, tables:0, lists:0
en 1.3. start:37 paragraphs:3, tables:0, lists:0
en 1.4. start:44 paragraphs:2, tables:0, lists:0
en 1.5. start:50 paragraphs:2, tables:0, lists:0
ne 2. start:15 paragraphs:2, tables:0, lists:1
en 2. start:58 paragraphs:0, tables:0, lists:1
ne 3. start:33 paragraphs:1, tables:0, lists:0
en 3. start:65 paragraphs:6, tables:0, lists:0
en 3.1. start:84 paragraphs:1, tables:0, lists:1
en 3.2. start:92 paragraphs:2, tables:0, lists:0
en 3.2.1. start:102 paragraphs:1, tables:0, lists:0
en 3.2.2. start:106 paragraphs:1, tables:0, lists:0
en 3.2.3. start:110 paragraphs:1, tables:0, lists:0
en 3.3. start:115 paragraphs:2, tables:0, lists:0
ne 4. start:37 paragraphs:3, tables:0, lists:0
en 4. start:127 paragraphs:0, tables:0, lists:0
en 4.1. start:129 paragraphs:5, tables:0, lists:0
en 4.2. start:147 paragraphs:0, tables:0, lists:0
en 4.2.1. start:149 paragraphs:4, tables:0, lists:0
en 4.2.2. start:159 paragraphs:2, tables:0, lists:0
en 4.3. start:168 paragraphs:1, tables:0, lists:0
en 4.3.1. start:173 paragraphs:1, tables:0, lists:0
en 4.3.2. start:178 paragraphs:7, tables:0, lists:0
en 4.3.3. start:201 paragraphs:2, tables:0, lists:0
en 4.4. start:212 paragraphs:2, tables:0, lists:0
en 4.5. start:220 paragraphs:2, tables:0, lists:0
en 4.6. start:228 paragraphs:0, tables:1, lists:0
en 4.7. start:241 paragraphs:0, tables:1, lists:0
ne 5. start:44 paragraphs:2, tables:0, lists:0
en 5. start:249 paragraphs:1, tables:0, lists:0
en 5.1. start:252 paragraphs:1, tables:0, lists:0
en 5.2. start:256 paragraphs:3, tables:1, lists:0
en 5.3. start:272 paragraphs:4, tables:2, lists:0
en 5.4. start:295 paragraphs:7, tables:1, lists:0
en 5.5. start:337 paragraphs:6, tables:2, lists:0
en 5.6. start:379 paragraphs:4, tables:1, lists:0
en 5.7. start:401 paragraphs:5, tables:1, lists:0
ne 6. start:50 paragraphs:2, tables:0, lists:0
en 6. start:426 paragraphs:3, tables:1, lists:0
en 6.1. start:455 paragraphs:3, tables:1, lists:1
en 6.2. start:488 paragraphs:1, tables:1, lists:0
en 6.3. start:498 paragraphs:1, tables:1, lists:0
ne 7. start:58 paragraphs:0, tables:0, lists:1
en 7. start:509 paragraphs:1, tables:0, lists:0
en 7.1. start:512 paragraphs:0, tables:1, lists:0
en 7.2. start:519 paragraphs:1, tables:1, lists:0
en 7.3. start:527 paragraphs:0, tables:1, lists:0
en 7.4. start:533 paragraphs:0, tables:1, lists:0
ne 8. start:65 paragraphs:6, tables:0, lists:0
en 8. start:540 paragraphs:0, tables:0, lists:0
en 8.1. start:542 paragraphs:1, tables:0, lists:0
en 8.1.1. start:549 paragraphs:10, tables:0, lists:0
en 8.1.2. start:591 paragraphs:5, tables:0, lists:0
en 8.1.3. start:607 paragraphs:17, tables:0, lists:0
en 8.1.4. start:677 paragraphs:1, tables:1, lists:0
en 8.1.5. start:687 paragraphs:17, tables:0, lists:0
en 8.1.6. start:748 paragraphs:14, tables:0, lists:0
en 8.1.7. start:793 paragraphs:8, tables:0, lists:0
en 8.1.8. start:821 paragraphs:7, tables:0, lists:0
en 8.1.9. start:843 paragraphs:14, tables:0, lists:1
en 8.1.10. start:893 paragraphs:6, tables:0, lists:0
en 8.1.11. start:924 paragraphs:12, tables:0, lists:0
en 8.1.12. start:963 paragraphs:6, tables:0, lists:1
en 8.1.13. start:998 paragraphs:5, tables:0, lists:1
en 8.1.14. start:1026 paragraphs:3, tables:0, lists:0
en 8.2. start:1035 paragraphs:3, tables:1, lists:0
en 8.3. start:1050 paragraphs:3, tables:0, lists:0
ne 9. start:84 paragraphs:1, tables:0, lists:1
en 9. start:1061 paragraphs:0, tables:0, lists:0
en 9.1. start:1063 paragraphs:2, tables:0, lists:0
en 9.2. start:1069 paragraphs:3, tables:0, lists:0
en 9.3. start:1078 paragraphs:6, tables:0, lists:0
en 9.4. start:1104 paragraphs:1, tables:0, lists:0
en 9.5. start:1108 paragraphs:1, tables:0, lists:0
ne 10. start:92 paragraphs:2, tables:0, lists:0
en 10. start:1111 paragraphs:1, tables:0, lists:0
ne 10.1. start:102 paragraphs:1, tables:0, lists:0
en 10.1. start:1115 paragraphs:3, tables:0, lists:0
ne 10.2. start:106 paragraphs:1, tables:0, lists:0
en 10.2. start:1125 paragraphs:2, tables:0, lists:0
ne 10.3. start:110 paragraphs:1, tables:0, lists:0
en 10.3. start:1132 paragraphs:1, tables:0, lists:0
en 10.4. start:1137 paragraphs:2, tables:0, lists:1
en 10.5. start:1150 paragraphs:2, tables:0, lists:0
en 10.6. start:1157 paragraphs:2, tables:0, lists:0
en 10.7. start:1163 paragraphs:2, tables:0, lists:0
ne 11. start:115 paragraphs:2, tables:0, lists:0
en 11. start:1171 paragraphs:1, tables:0, lists:0
en 11.1. start:1174 paragraphs:5, tables:3, lists:0
en 11.2. start:1235 paragraphs:3, tables:1, lists:0
en 11.3. start:1267 paragraphs:3, tables:1, lists:0
en 11.4. start:1293 paragraphs:2, tables:1, lists:0
en 11.5. start:1313 paragraphs:5, tables:2, lists:1
en 11.6. start:1344 paragraphs:2, tables:1, lists:0
en 11.7. start:1361 paragraphs:2, tables:1, lists:0
en 11.8. start:1378 paragraphs:2, tables:1, lists:0
en 11.9. start:1408 paragraphs:2, tables:1, lists:0
en 11.10. start:1468 paragraphs:2, tables:1, lists:0
en 11.11. start:1481 paragraphs:2, tables:1, lists:0
en 11.12. start:1503 paragraphs:8, tables:3, lists:2
en 11.13. start:1583 paragraphs:8, tables:4, lists:1
en 11.14. start:1667 paragraphs:4, tables:1, lists:1
en 11.15. start:1715 paragraphs:3, tables:1, lists:0
ne 12. start:127 paragraphs:0, tables:0, lists:0
en 12. start:1735 paragraphs:0, tables:0, lists:0
en 12.1. start:1737 paragraphs:13, tables:0, lists:3
en 12.2. start:1810 paragraphs:2, tables:0, lists:0
ne 13. start:129 paragraphs:5, tables:0, lists:0
en 13. start:1819 paragraphs:1, tables:0, lists:0
ne 14. start:147 paragraphs:0, tables:0, lists:0
ne 14.1. start:149 paragraphs:4, tables:0, lists:0
ne 14.2. start:159 paragraphs:2, tables:0, lists:0
ne 15. start:168 paragraphs:1, tables:0, lists:0
ne 15.1. start:173 paragraphs:1, tables:0, lists:0
ne 15.2. start:178 paragraphs:7, tables:0, lists:0
ne 15.3. start:201 paragraphs:2, tables:0, lists:0
ne 16. start:212 paragraphs:2, tables:0, lists:0
ne 17. start:220 paragraphs:2, tables:0, lists:0
ne 18. start:228 paragraphs:0, tables:1, lists:0
ne 19. start:241 paragraphs:0, tables:1, lists:0
ne 20. start:249 paragraphs:1, tables:0, lists:0
ne 21. start:252 paragraphs:1, tables:0, lists:0
ne 22. start:256 paragraphs:3, tables:1, lists:0
ne 23. start:272 paragraphs:4, tables:2, lists:0
ne 24. start:295 paragraphs:7, tables:1, lists:0
ne 25. start:337 paragraphs:6, tables:2, lists:0
ne 26. start:379 paragraphs:4, tables:1, lists:0
ne 27. start:401 paragraphs:5, tables:1, lists:0
ne 28. start:426 paragraphs:3, tables:1, lists:0
ne 29. start:455 paragraphs:3, tables:1, lists:1
ne 30. start:488 paragraphs:1, tables:1, lists:0
ne 31. start:498 paragraphs:1, tables:1, lists:0
ne 32. start:509 paragraphs:1, tables:0, lists:0
ne 33. start:512 paragraphs:0, tables:1, lists:0
ne 34. start:519 paragraphs:1, tables:1, lists:0
ne 35. start:527 paragraphs:0, tables:1, lists:0
ne 36. start:533 paragraphs:0, tables:1, lists:0
ne 37. start:540 paragraphs:0, tables:0, lists:0
ne 38. start:542 paragraphs:1, tables:0, lists:0
ne 38.1. start:549 paragraphs:10, tables:0, lists:0
ne 38.2. start:591 paragraphs:5, tables:0, lists:0
ne 38.3. start:607 paragraphs:17, tables:0, lists:0
ne 38.4. start:677 paragraphs:1, tables:1, lists:0
ne 38.5. start:687 paragraphs:17, tables:0, lists:0
ne 38.6. start:748 paragraphs:14, tables:0, lists:0
ne 38.7. start:793 paragraphs:8, tables:0, lists:0
ne 38.8. start:821 paragraphs:7, tables:0, lists:0
ne 38.9. start:843 paragraphs:14, tables:0, lists:1
ne 38.10. start:893 paragraphs:6, tables:0, lists:0
ne 38.11. start:924 paragraphs:12, tables:0, lists:0
ne 38.12. start:963 paragraphs:6, tables:0, lists:1
ne 38.13. start:998 paragraphs:5, tables:0, lists:1
ne 38.14. start:1026 paragraphs:3, tables:0, lists:0
ne 39. start:1035 paragraphs:3, tables:1, lists:0
ne 40. start:1050 paragraphs:3, tables:0, lists:0
ne 41. start:1061 paragraphs:0, tables:0, lists:0
ne 42. start:1063 paragraphs:2, tables:0, lists:0
ne 43. start:1069 paragraphs:3, tables:0, lists:0
ne 44. start:1078 paragraphs:6, tables:0, lists:0
ne 45. start:1104 paragraphs:1, tables:0, lists:0
ne 46. start:1108 paragraphs:1, tables:0, lists:0
ne 47. start:1111 paragraphs:1, tables:0, lists:0
ne 48. start:1115 paragraphs:3, tables:0, lists:0
ne 49. start:1125 paragraphs:2, tables:0, lists:0
ne 50. start:1132 paragraphs:1, tables:0, lists:0
ne 51. start:1137 paragraphs:2, tables:0, lists:1
ne 52. start:1150 paragraphs:2, tables:0, lists:0
ne 53. start:1157 paragraphs:2, tables:0, lists:0
ne 54. start:1163 paragraphs:2, tables:0, lists:0
ne 55. start:1171 paragraphs:1, tables:0, lists:0
ne 56. start:1174 paragraphs:5, tables:3, lists:0
ne 57. start:1235 paragraphs:3, tables:1, lists:0
ne 58. start:1267 paragraphs:3, tables:1, lists:0
ne 59. start:1293 paragraphs:2, tables:1, lists:0
ne 60. start:1313 paragraphs:5, tables:2, lists:1
ne 61. start:1344 paragraphs:2, tables:1, lists:0
ne 62. start:1361 paragraphs:2, tables:1, lists:0
ne 63. start:1378 paragraphs:2, tables:1, lists:0
ne 64. start:1408 paragraphs:2, tables:1, lists:0
ne 65. start:1468 paragraphs:2, tables:1, lists:0
ne 66. start:1481 paragraphs:2, tables:1, lists:0
ne 67. start:1503 paragraphs:8, tables:3, lists:2
ne 68. start:1583 paragraphs:8, tables:4, lists:1
ne 69. start:1667 paragraphs:4, tables:1, lists:1
ne 70. start:1715 paragraphs:3, tables:1, lists:0
ne 71. start:1735 paragraphs:0, tables:0, lists:0
ne 72. start:1737 paragraphs:13, tables:0, lists:3
ne 73. start:1810 paragraphs:2, tables:0, lists:0
ne 74. start:1819 paragraphs:1, tables:0, lists:0
