# Structural comparison of ne/userGuide.t2t against ne/userGuide-newRevisions/10575/userGuide.t2t
en 8.1.14. start:1082 paragraphs:5, tables:0, lists:0
ne 8.1.14. start:1082 paragraphs:3, tables:0, lists:0
en 8.1.15. start:1097 paragraphs:6, tables:0, lists:0
ne 8.1.15. start:1091 paragraphs:6, tables:0, lists:0
en 8.2. start:1116 paragraphs:3, tables:1, lists:0
ne 8.2. start:1110 paragraphs:3, tables:1, lists:0
en 8.3. start:1131 paragraphs:3, tables:0, lists:0
ne 8.3. start:1125 paragraphs:3, tables:0, lists:0
en 8.3.1. start:1142 paragraphs:4, tables:0, lists:1
ne 8.3.1. start:1136 paragraphs:4, tables:0, lists:1
en 8.3.2. start:1158 paragraphs:3, tables:0, lists:0
ne 8.3.2. start:1152 paragraphs:3, tables:0, lists:0
en 8.3.3. start:1170 paragraphs:1, tables:0, lists:0
ne 8.3.3. start:1164 paragraphs:1, tables:0, lists:0
en 8.3.4. start:1178 paragraphs:4, tables:0, lists:1
ne 8.3.4. start:1172 paragraphs:4, tables:0, lists:1
en 8.3.5. start:1191 paragraphs:2, tables:0, lists:0
ne 8.3.5. start:1185 paragraphs:2, tables:0, lists:0
en 8.3.6. start:1199 paragraphs:1, tables:0, lists:0
ne 8.3.6. start:1193 paragraphs:1, tables:0, lists:0
en 8.4. start:1204 paragraphs:3, tables:0, lists:0
ne 8.4. start:1198 paragraphs:3, tables:0, lists:0
en 9. start:1215 paragraphs:0, tables:0, lists:0
ne 9. start:1209 paragraphs:0, tables:0, lists:0
en 9.1. start:1217 paragraphs:2, tables:0, lists:0
ne 9.1. start:1211 paragraphs:2, tables:0, lists:0
en 9.2. start:1223 paragraphs:3, tables:0, lists:0
ne 9.2. start:1217 paragraphs:3, tables:0, lists:0
en 9.3. start:1232 paragraphs:8, tables:0, lists:0
ne 9.3. start:1226 paragraphs:8, tables:0, lists:0
en 9.4. start:1266 paragraphs:1, tables:0, lists:0
ne 9.4. start:1260 paragraphs:1, tables:0, lists:0
en 9.5. start:1270 paragraphs:1, tables:0, lists:0
ne 9.5. start:1264 paragraphs:1, tables:0, lists:0
en 10. start:1273 paragraphs:1, tables:0, lists:0
ne 10. start:1267 paragraphs:1, tables:0, lists:0
en 10.1. start:1277 paragraphs:3, tables:0, lists:0
ne 10.1. start:1271 paragraphs:3, tables:0, lists:0
en 10.2. start:1287 paragraphs:2, tables:0, lists:0
ne 10.2. start:1281 paragraphs:2, tables:0, lists:0
en 10.3. start:1294 paragraphs:1, tables:0, lists:0
ne 10.3. start:1288 paragraphs:1, tables:0, lists:0
en 10.4. start:1299 paragraphs:2, tables:0, lists:1
ne 10.4. start:1293 paragraphs:2, tables:0, lists:1
en 10.5. start:1312 paragraphs:2, tables:0, lists:0
ne 10.5. start:1306 paragraphs:2, tables:0, lists:0
en 10.6. start:1319 paragraphs:2, tables:0, lists:0
ne 10.6. start:1313 paragraphs:2, tables:0, lists:0
en 10.7. start:1325 paragraphs:2, tables:0, lists:0
ne 10.7. start:1319 paragraphs:2, tables:0, lists:0
en 11. start:1333 paragraphs:1, tables:0, lists:0
ne 11. start:1327 paragraphs:1, tables:0, lists:0
en 11.1. start:1336 paragraphs:5, tables:3, lists:0
ne 11.1. start:1330 paragraphs:5, tables:3, lists:0
en 11.2. start:1397 paragraphs:3, tables:1, lists:0
ne 11.2. start:1391 paragraphs:3, tables:1, lists:0
en 11.3. start:1429 paragraphs:3, tables:1, lists:0
ne 11.3. start:1423 paragraphs:3, tables:1, lists:0
en 11.4. start:1455 paragraphs:2, tables:1, lists:0
ne 11.4. start:1449 paragraphs:2, tables:1, lists:0
en 11.5. start:1475 paragraphs:5, tables:2, lists:1
ne 11.5. start:1469 paragraphs:5, tables:2, lists:1
en 11.6. start:1506 paragraphs:2, tables:1, lists:0
ne 11.6. start:1500 paragraphs:2, tables:1, lists:0
en 11.7. start:1523 paragraphs:2, tables:1, lists:0
ne 11.7. start:1517 paragraphs:2, tables:1, lists:0
en 11.8. start:1540 paragraphs:2, tables:1, lists:0
ne 11.8. start:1534 paragraphs:2, tables:1, lists:0
en 11.9. start:1570 paragraphs:2, tables:1, lists:0
ne 11.9. start:1564 paragraphs:2, tables:1, lists:0
en 11.10. start:1633 paragraphs:2, tables:1, lists:0
ne 11.10. start:1627 paragraphs:2, tables:1, lists:0
en 11.11. start:1646 paragraphs:2, tables:1, lists:0
ne 11.11. start:1640 paragraphs:2, tables:1, lists:0
en 11.12. start:1668 paragraphs:8, tables:3, lists:2
ne 11.12. start:1662 paragraphs:8, tables:3, lists:2
en 11.13. start:1747 paragraphs:8, tables:4, lists:1
ne 11.13. start:1741 paragraphs:8, tables:4, lists:1
en 11.14. start:1828 paragraphs:4, tables:1, lists:1
ne 11.14. start:1822 paragraphs:4, tables:1, lists:1
en 11.15. start:1876 paragraphs:3, tables:1, lists:0
ne 11.15. start:1870 paragraphs:3, tables:1, lists:0
en 12. start:1896 paragraphs:2, tables:2, lists:0
ne 12. start:1890 paragraphs:2, tables:2, lists:0
en 13. start:1933 paragraphs:0, tables:0, lists:0
ne 13. start:1927 paragraphs:0, tables:0, lists:0
en 13.1. start:1935 paragraphs:6, tables:3, lists:0
ne 13.1. start:1929 paragraphs:6, tables:3, lists:0
en 13.2. start:1974 paragraphs:2, tables:0, lists:0
ne 13.2. start:1968 paragraphs:2, tables:0, lists:0
en 14. start:1983 paragraphs:1, tables:0, lists:0
ne 14. start:1977 paragraphs:1, tables:0, lists:0
# end of comparison
