# section number, section starts at line, paragraphs in this section, tables in this section, lists in this section.
1. start:10 paragraphs:1, tables:0, lists:0

1.1. start:15 paragraphs:2, tables:0, lists:1

1.2. start:33 paragraphs:1, tables:0, lists:0

1.3. start:37 paragraphs:3, tables:0, lists:0

1.4. start:44 paragraphs:2, tables:0, lists:0

1.5. start:50 paragraphs:2, tables:0, lists:0

2. start:58 paragraphs:0, tables:0, lists:1

3. start:65 paragraphs:6, tables:0, lists:0

3.1. start:80 paragraphs:36, tables:1, lists:2

3.2. start:213 paragraphs:0, tables:1, lists:0

4. start:221 paragraphs:1, tables:0, lists:0

4.1. start:224 paragraphs:1, tables:0, lists:0

4.2. start:228 paragraphs:4, tables:1, lists:2

4.3. start:259 paragraphs:4, tables:2, lists:0

4.4. start:282 paragraphs:7, tables:1, lists:0

4.5. start:324 paragraphs:6, tables:2, lists:0

4.6. start:366 paragraphs:4, tables:1, lists:0

4.7. start:388 paragraphs:5, tables:1, lists:0

5. start:413 paragraphs:3, tables:1, lists:0

5.1. start:442 paragraphs:2, tables:1, lists:1

5.2. start:475 paragraphs:1, tables:1, lists:0

5.3. start:484 paragraphs:1, tables:1, lists:0

6. start:495 paragraphs:1, tables:0, lists:0

6.1. start:498 paragraphs:0, tables:1, lists:0

6.2. start:505 paragraphs:0, tables:1, lists:0

6.3. start:511 paragraphs:0, tables:1, lists:0

6.4. start:517 paragraphs:0, tables:1, lists:0

7. start:524 paragraphs:0, tables:0, lists:0

7.1. start:526 paragraphs:1, tables:0, lists:0

7.1.1. start:533 paragraphs:10, tables:0, lists:0

7.1.2. start:574 paragraphs:5, tables:0, lists:0

7.1.3. start:590 paragraphs:17, tables:0, lists:0

7.1.4. start:656 paragraphs:1, tables:1, lists:0

7.1.5. start:666 paragraphs:15, tables:0, lists:0

7.1.6. start:716 paragraphs:12, tables:0, lists:0

7.1.7. start:755 paragraphs:7, tables:1, lists:0

7.1.8. start:784 paragraphs:6, tables:1, lists:0

7.1.9. start:807 paragraphs:13, tables:1, lists:1

7.1.10. start:857 paragraphs:6, tables:0, lists:0

7.1.11. start:886 paragraphs:12, tables:0, lists:0

7.1.12. start:925 paragraphs:6, tables:0, lists:1

7.1.13. start:960 paragraphs:5, tables:0, lists:1

7.1.14. start:988 paragraphs:3, tables:0, lists:0

7.2. start:997 paragraphs:4, tables:1, lists:0

7.3. start:1013 paragraphs:3, tables:0, lists:0

8. start:1023 paragraphs:0, tables:0, lists:0

8.1. start:1025 paragraphs:2, tables:0, lists:0

8.2. start:1031 paragraphs:3, tables:0, lists:0

8.3. start:1040 paragraphs:6, tables:0, lists:0

8.4. start:1053 paragraphs:1, tables:0, lists:0

8.5. start:1057 paragraphs:1, tables:0, lists:0

9. start:1060 paragraphs:1, tables:0, lists:0

9.1. start:1063 paragraphs:2, tables:0, lists:0

9.2. start:1072 paragraphs:2, tables:0, lists:0

9.3. start:1079 paragraphs:1, tables:0, lists:0

9.4. start:1084 paragraphs:2, tables:0, lists:1

9.5. start:1096 paragraphs:2, tables:0, lists:0

9.6. start:1104 paragraphs:2, tables:0, lists:0

10. start:1112 paragraphs:1, tables:0, lists:0

10.1. start:1115 paragraphs:5, tables:3, lists:0

10.2. start:1177 paragraphs:2, tables:1, lists:0

10.3. start:1206 paragraphs:2, tables:1, lists:0

10.4. start:1231 paragraphs:2, tables:1, lists:0

10.5. start:1251 paragraphs:4, tables:2, lists:1

10.6. start:1283 paragraphs:2, tables:1, lists:0

10.7. start:1301 paragraphs:3, tables:1, lists:0

10.8. start:1319 paragraphs:2, tables:1, lists:0

10.9. start:1350 paragraphs:2, tables:1, lists:0

10.10. start:1411 paragraphs:2, tables:1, lists:0

10.11. start:1424 paragraphs:3, tables:1, lists:0

10.12. start:1450 paragraphs:7, tables:2, lists:1

10.13. start:1502 paragraphs:8, tables:5, lists:1

10.14. start:1582 paragraphs:4, tables:1, lists:1

10.15. start:1629 paragraphs:1, tables:1, lists:0

11. start:1647 paragraphs:1, tables:0, lists:0

11.1. start:1649 paragraphs:5, tables:0, lists:2

11.2. start:1701 paragraphs:1, tables:0, lists:0

12. start:1707 paragraphs:1, tables:0, lists:0

