# Structural comparison of nl/userGuide.t2t against nl/userGuide-newRevisions/12776/userGuide.t2t
en 1. start:10 paragraphs:1, tables:0, lists:0
nl 1. start:10 paragraphs:2, tables:0, lists:0
en 1.1. start:15 paragraphs:2, tables:0, lists:1
nl 1.1. start:17 paragraphs:2, tables:0, lists:1
en 1.2. start:33 paragraphs:1, tables:0, lists:0
nl 1.2. start:35 paragraphs:1, tables:0, lists:0
en 1.3. start:37 paragraphs:3, tables:0, lists:0
nl 1.3. start:39 paragraphs:3, tables:0, lists:0
en 1.4. start:44 paragraphs:2, tables:0, lists:0
nl 1.4. start:46 paragraphs:2, tables:0, lists:0
en 1.5. start:50 paragraphs:2, tables:0, lists:0
nl 1.5. start:53 paragraphs:2, tables:0, lists:0
en 2. start:58 paragraphs:0, tables:0, lists:1
nl 2. start:61 paragraphs:0, tables:0, lists:1
en 3. start:69 paragraphs:6, tables:0, lists:0
nl 3. start:72 paragraphs:6, tables:0, lists:0
en 3.1. start:88 paragraphs:1, tables:0, lists:1
nl 3.1. start:91 paragraphs:1, tables:0, lists:2
en 3.2. start:97 paragraphs:2, tables:0, lists:0
nl 3.2. start:101 paragraphs:2, tables:0, lists:0
en 3.2.1. start:107 paragraphs:1, tables:0, lists:0
nl 3.2.1. start:111 paragraphs:1, tables:0, lists:0
en 3.2.2. start:111 paragraphs:1, tables:0, lists:0
nl 3.2.2. start:115 paragraphs:1, tables:0, lists:0
en 3.2.3. start:115 paragraphs:1, tables:0, lists:0
nl 3.2.3. start:119 paragraphs:1, tables:0, lists:0
en 3.3. start:120 paragraphs:2, tables:0, lists:0
nl 3.3. start:124 paragraphs:2, tables:0, lists:0
en 4. start:132 paragraphs:0, tables:0, lists:0
nl 4. start:136 paragraphs:0, tables:0, lists:0
en 4.1. start:134 paragraphs:5, tables:0, lists:0
nl 4.1. start:138 paragraphs:6, tables:0, lists:0
en 4.2. start:155 paragraphs:0, tables:0, lists:0
nl 4.2. start:164 paragraphs:0, tables:0, lists:0
en 4.2.1. start:157 paragraphs:3, tables:0, lists:0
nl 4.2.1. start:166 paragraphs:3, tables:0, lists:0
en 4.2.2. start:166 paragraphs:2, tables:0, lists:0
nl 4.2.2. start:175 paragraphs:2, tables:0, lists:0
en 4.3. start:174 paragraphs:1, tables:0, lists:0
nl 4.3. start:183 paragraphs:1, tables:0, lists:0
en 4.3.1. start:179 paragraphs:1, tables:0, lists:0
nl 4.3.1. start:188 paragraphs:1, tables:0, lists:0
en 4.3.2. start:184 paragraphs:7, tables:0, lists:0
nl 4.3.2. start:193 paragraphs:7, tables:0, lists:0
en 4.3.3. start:207 paragraphs:2, tables:0, lists:0
nl 4.3.3. start:216 paragraphs:2, tables:0, lists:0
en 4.4. start:218 paragraphs:2, tables:0, lists:0
nl 4.4. start:227 paragraphs:2, tables:0, lists:0
en 4.5. start:226 paragraphs:2, tables:0, lists:0
nl 4.5. start:235 paragraphs:2, tables:0, lists:0
en 4.6. start:234 paragraphs:0, tables:1, lists:0
nl 4.6. start:243 paragraphs:0, tables:1, lists:0
en 4.7. start:247 paragraphs:0, tables:1, lists:0
nl 4.7. start:256 paragraphs:0, tables:1, lists:0
en 5. start:255 paragraphs:1, tables:0, lists:0
nl 5. start:264 paragraphs:1, tables:0, lists:0
en 5.1. start:258 paragraphs:1, tables:0, lists:0
nl 5.1. start:267 paragraphs:1, tables:0, lists:0
en 5.2. start:262 paragraphs:3, tables:1, lists:0
nl 5.2. start:271 paragraphs:3, tables:1, lists:1
en 5.3. start:278 paragraphs:4, tables:2, lists:0
nl 5.3. start:291 paragraphs:4, tables:2, lists:0
en 5.4. start:303 paragraphs:7, tables:1, lists:0
nl 5.4. start:315 paragraphs:7, tables:1, lists:0
en 5.5. start:345 paragraphs:6, tables:2, lists:0
nl 5.5. start:357 paragraphs:6, tables:2, lists:0
en 5.6. start:387 paragraphs:2, tables:1, lists:0
nl 5.6. start:399 paragraphs:2, tables:1, lists:0
en 5.6.1. start:398 paragraphs:1, tables:0, lists:0
nl 5.6.1. start:410 paragraphs:1, tables:0, lists:0
en 5.6.2. start:403 paragraphs:3, tables:0, lists:0
nl 5.6.2. start:415 paragraphs:3, tables:0, lists:0
en 5.6.3. start:412 paragraphs:3, tables:0, lists:0
nl 5.6.3. start:424 paragraphs:3, tables:0, lists:0
en 5.7. start:421 paragraphs:5, tables:1, lists:0
nl 5.7. start:433 paragraphs:5, tables:1, lists:0
en 6. start:446 paragraphs:3, tables:1, lists:0
nl 6. start:458 paragraphs:3, tables:1, lists:0
en 6.1. start:476 paragraphs:4, tables:1, lists:1
nl 6.1. start:488 paragraphs:3, tables:1, lists:1
en 6.2. start:517 paragraphs:1, tables:1, lists:0
nl 6.2. start:530 paragraphs:1, tables:1, lists:0
en 6.3. start:528 paragraphs:1, tables:1, lists:0
nl 6.3. start:541 paragraphs:1, tables:1, lists:0
en 7. start:539 paragraphs:3, tables:0, lists:1
nl 7. start:552 paragraphs:3, tables:0, lists:1
en 7.1. start:553 paragraphs:5, tables:1, lists:1
