en 4.4. start:214 paragraphs:2, tables:0, lists:0
pl 4.4. start:214 paragraphs:1, tables:0, lists:0
en 6.3. start:512 paragraphs:1, tables:1, lists:0
pl 6.3. start:513 paragraphs:1, tables:1, lists:0
en 7. start:523 paragraphs:1, tables:0, lists:0
pl 7. start:524 paragraphs:1, tables:0, lists:0
en 7.2. start:533 paragraphs:0, tables:1, lists:0
pl 7.2. start:532 paragraphs:1, tables:1, lists:0
en 7.3. start:539 paragraphs:1, tables:1, lists:0
pl 7.3. start:538 paragraphs:0, tables:1, lists:0
en 7.4. start:547 paragraphs:0, tables:1, lists:0
en 7.5. start:553 paragraphs:0, tables:1, lists:0
pl 8. start:546 paragraphs:0, tables:0, lists:0
en 8. start:560 paragraphs:0, tables:0, lists:0
pl 8.1. start:548 paragraphs:1, tables:0, lists:0
en 8.1. start:562 paragraphs:1, tables:0, lists:0
pl 8.1.1. start:555 paragraphs:8, tables:0, lists:0
en 8.1.1. start:569 paragraphs:10, tables:0, lists:0
pl 8.1.2. start:590 paragraphs:5, tables:0, lists:0
en 8.1.2. start:611 paragraphs:5, tables:0, lists:0
pl 8.1.3. start:608 paragraphs:17, tables:0, lists:0
en 8.1.3. start:627 paragraphs:17, tables:0, lists:0
pl 8.1.4. start:665 paragraphs:1, tables:1, lists:0
en 8.1.4. start:697 paragraphs:1, tables:1, lists:0
pl 8.1.5. start:675 paragraphs:13, tables:0, lists:0
en 8.1.5. start:707 paragraphs:17, tables:0, lists:0
pl 8.1.6. start:717 paragraphs:12, tables:0, lists:0
en 8.1.6. start:769 paragraphs:14, tables:0, lists:0
pl 8.1.7. start:755 paragraphs:7, tables:1, lists:0
en 8.1.7. start:814 paragraphs:8, tables:0, lists:0
pl 8.1.8. start:784 paragraphs:6, tables:1, lists:0
en 8.1.8. start:842 paragraphs:7, tables:0, lists:0
pl 8.1.9. start:806 paragraphs:10, tables:1, lists:1
en 8.1.9. start:864 paragraphs:14, tables:0, lists:1
pl 8.1.10. start:848 paragraphs:11, tables:0, lists:0
en 8.1.10. start:914 paragraphs:6, tables:0, lists:0
pl 8.1.11. start:886 paragraphs:4, tables:0, lists:1
en 8.1.11. start:945 paragraphs:12, tables:0, lists:0
pl 8.1.12. start:915 paragraphs:5, tables:0, lists:1
en 8.1.12. start:987 paragraphs:6, tables:0, lists:1
pl 8.1.13. start:938 paragraphs:2, tables:0, lists:0
en 8.1.13. start:1022 paragraphs:5, tables:0, lists:1
en 8.1.14. start:1050 paragraphs:3, tables:0, lists:0
pl 8.2. start:944 paragraphs:2, tables:1, lists:0
en 8.2. start:1059 paragraphs:3, tables:1, lists:0
pl 8.3. start:955 paragraphs:3, tables:0, lists:0
en 8.3. start:1074 paragraphs:3, tables:0, lists:0
pl 9. start:968 paragraphs:0, tables:0, lists:0
en 9. start:1085 paragraphs:0, tables:0, lists:0
pl 9.1. start:970 paragraphs:2, tables:0, lists:0
en 9.1. start:1087 paragraphs:2, tables:0, lists:0
pl 9.2. start:976 paragraphs:1, tables:0, lists:0
en 9.2. start:1093 paragraphs:3, tables:0, lists:0
pl 9.3. start:982 paragraphs:1, tables:0, lists:0
en 9.3. start:1102 paragraphs:8, tables:0, lists:0
pl 9.4. start:986 paragraphs:1, tables:0, lists:0
en 9.4. start:1135 paragraphs:1, tables:0, lists:0
pl 9.5. start:988 paragraphs:2, tables:0, lists:0
en 9.5. start:1139 paragraphs:1, tables:0, lists:0
pl 10. start:997 paragraphs:1, tables:0, lists:0
en 10. start:1142 paragraphs:1, tables:0, lists:0
pl 10.1. start:1000 paragraphs:3, tables:0, lists:0
en 10.1. start:1146 paragraphs:3, tables:0, lists:0
pl 10.2. start:1008 paragraphs:2, tables:0, lists:0
en 10.2. start:1156 paragraphs:2, tables:0, lists:0
pl 10.3. start:1015 paragraphs:1, tables:0, lists:0
en 10.3. start:1163 paragraphs:1, tables:0, lists:0
pl 10.4. start:1020 paragraphs:2, tables:0, lists:0
en 10.4. start:1168 paragraphs:2, tables:0, lists:1
pl 10.5. start:1026 paragraphs:1, tables:0, lists:0
en 10.5. start:1181 paragraphs:2, tables:0, lists:0
pl 10.6. start:1031 paragraphs:1, tables:0, lists:0
