# Structural comparison of pt_PT/userGuide.t2t against pt_PT/userGuide-newRevisions/14701/userGuide.t2t
en 3.2.1. start:109 paragraphs:1, tables:0, lists:0
pt_PT 3.2.1. start:108 paragraphs:1, tables:0, lists:0
en 3.2.2. start:113 paragraphs:1, tables:0, lists:0
pt_PT 3.2.2. start:112 paragraphs:1, tables:0, lists:0
en 3.2.3. start:117 paragraphs:1, tables:0, lists:0
pt_PT 3.2.3. start:116 paragraphs:1, tables:0, lists:0
en 3.3. start:122 paragraphs:2, tables:0, lists:0
pt_PT 3.3. start:121 paragraphs:2, tables:0, lists:0
en 4. start:134 paragraphs:0, tables:0, lists:0
pt_PT 4. start:133 paragraphs:0, tables:0, lists:0
en 4.1. start:136 paragraphs:5, tables:0, lists:0
pt_PT 4.1. start:135 paragraphs:5, tables:0, lists:0
en 4.1.1. start:154 paragraphs:1, tables:0, lists:0
pt_PT 4.1.1. start:153 paragraphs:1, tables:0, lists:0
en 4.2. start:163 paragraphs:0, tables:0, lists:0
pt_PT 4.2. start:162 paragraphs:0, tables:0, lists:0
en 4.2.1. start:165 paragraphs:3, tables:0, lists:0
pt_PT 4.2.1. start:164 paragraphs:3, tables:0, lists:0
en 4.2.2. start:174 paragraphs:2, tables:0, lists:0
pt_PT 4.2.2. start:173 paragraphs:2, tables:0, lists:0
en 4.3. start:182 paragraphs:1, tables:0, lists:0
pt_PT 4.3. start:181 paragraphs:1, tables:0, lists:0
en 4.3.1. start:187 paragraphs:1, tables:0, lists:0
pt_PT 4.3.1. start:186 paragraphs:1, tables:0, lists:0
en 4.3.2. start:192 paragraphs:7, tables:0, lists:0
pt_PT 4.3.2. start:191 paragraphs:7, tables:0, lists:0
en 4.3.3. start:215 paragraphs:2, tables:0, lists:0
pt_PT 4.3.3. start:214 paragraphs:2, tables:0, lists:0
en 4.3.4. start:226 paragraphs:2, tables:0, lists:0
pt_PT 4.3.4. start:225 paragraphs:2, tables:0, lists:0
en 4.4. start:235 paragraphs:2, tables:0, lists:0
pt_PT 4.4. start:234 paragraphs:2, tables:0, lists:0
en 4.5. start:243 paragraphs:2, tables:0, lists:0
pt_PT 4.5. start:242 paragraphs:2, tables:0, lists:0
en 4.6. start:251 paragraphs:0, tables:1, lists:0
pt_PT 4.6. start:250 paragraphs:0, tables:1, lists:0
en 4.7. start:264 paragraphs:0, tables:1, lists:0
pt_PT 4.7. start:263 paragraphs:0, tables:1, lists:0
en 5. start:272 paragraphs:1, tables:0, lists:0
pt_PT 5. start:271 paragraphs:1, tables:0, lists:0
en 5.1. start:275 paragraphs:1, tables:0, lists:0
pt_PT 5.1. start:274 paragraphs:1, tables:0, lists:0
en 5.2. start:279 paragraphs:3, tables:1, lists:0
pt_PT 5.2. start:278 paragraphs:3, tables:1, lists:0
en 5.3. start:295 paragraphs:4, tables:2, lists:0
pt_PT 5.3. start:294 paragraphs:4, tables:2, lists:0
en 5.4. start:320 paragraphs:7, tables:1, lists:0
pt_PT 5.4. start:319 paragraphs:7, tables:1, lists:0
en 5.5. start:364 paragraphs:6, tables:2, lists:0
pt_PT 5.5. start:363 paragraphs:6, tables:2, lists:0
en 5.6. start:406 paragraphs:2, tables:1, lists:0
pt_PT 5.6. start:405 paragraphs:2, tables:1, lists:0
en 5.6.1. start:417 paragraphs:1, tables:0, lists:0
pt_PT 5.6.1. start:416 paragraphs:1, tables:0, lists:0
en 5.6.2. start:422 paragraphs:3, tables:0, lists:0
pt_PT 5.6.2. start:421 paragraphs:3, tables:0, lists:0
en 5.6.3. start:431 paragraphs:3, tables:0, lists:0
pt_PT 5.6.3. start:430 paragraphs:3, tables:0, lists:0
en 5.7. start:440 paragraphs:5, tables:1, lists:0
pt_PT 5.7. start:439 paragraphs:5, tables:1, lists:0
en 6. start:465 paragraphs:3, tables:1, lists:0
pt_PT 6. start:464 paragraphs:3, tables:1, lists:0
en 6.1. start:494 paragraphs:4, tables:1, lists:1
pt_PT 6.1. start:493 paragraphs:4, tables:2, lists:1
en 6.2. start:536 paragraphs:1, tables:1, lists:0
pt_PT 6.2. start:535 paragraphs:1, tables:1, lists:0
en 6.3. start:547 paragraphs:1, tables:1, lists:0
pt_PT 6.3. start:546 paragraphs:1, tables:1, lists:0
en 7. start:559 paragraphs:3, tables:0, lists:1
pt_PT 7. start:558 paragraphs:3, tables:0, lists:1
en 7.1. start:576 paragraphs:5, tables:1, lists:1
pt_PT 7.1. start:575 paragraphs:5, tables:1, lists:1
en 8. start:598 paragraphs:2, tables:0, lists:0
pt_PT 8. start:597 paragraphs:2, tables:0, lists:0
en 8.1. start:605 paragraphs:3, tables:3, lists:0
pt_PT 8.1. start:604 paragraphs:3, tables:3, lists:0
en 8.2. start:693 paragraphs:3, tables:0, lists:0
pt_PT 8.2. start:692 paragraphs:3, tables:0, lists:0
en 9. start:708 paragraphs:3, tables:0, lists:0
pt_PT 9. start:707 paragraphs:3, tables:0, lists:0
en 9.1. start:722 paragraphs:3, tables:0, lists:0
pt_PT 9.1. start:721 paragraphs:3, tables:0, lists:0
en 10. start:733 paragraphs:1, tables:0, lists:0
pt_PT 10. start:732 paragraphs:1, tables:0, lists:0
en 10.1. start:736 paragraphs:0, tables:0, lists:0
pt_PT 10.1. start:735 paragraphs:0, tables:0, lists:0
en 10.1.1. start:738 paragraphs:2, tables:1, lists:0
pt_PT 10.1.1. start:737 paragraphs:2, tables:1, lists:0
en 10.1.2. start:751 paragraphs:1, tables:0, lists:0
pt_PT 10.1.2. start:750 paragraphs:1, tables:0, lists:0
en 10.1.2.1. start:758 paragraphs:1, tables:0, lists:0
pt_PT 10.1.2.1. start:757 paragraphs:1, tables:0, lists:0
en 10.1.3. start:764 paragraphs:1, tables:0, lists:0
pt_PT 10.1.3. start:763 paragraphs:1, tables:0, lists:0
en 10.2. start:770 paragraphs:0, tables:0, lists:0
pt_PT 10.2. start:769 paragraphs:0, tables:0, lists:0
en 10.2.1. start:772 paragraphs:2, tables:1, lists:0
pt_PT 10.2.1. start:771 paragraphs:2, tables:1, lists:0
en 10.2.2. start:785 paragraphs:1, tables:0, lists:1
pt_PT 10.2.2. start:784 paragraphs:1, tables:0, lists:1
en 10.2.3. start:807 paragraphs:1, tables:0, lists:0
pt_PT 10.2.3. start:806 paragraphs:1, tables:0, lists:0
en 10.2.4. start:813 paragraphs:1, tables:0, lists:0
pt_PT 10.2.4. start:812 paragraphs:1, tables:0, lists:0
en 10.2.5. start:819 paragraphs:1, tables:0, lists:0
pt_PT 10.2.5. start:818 paragraphs:1, tables:0, lists:0
en 10.3. start:825 paragraphs:0, tables:1, lists:0
pt_PT 10.3. start:824 paragraphs:0, tables:1, lists:0
en 10.4. start:831 paragraphs:1, tables:1, lists:0
pt_PT 10.4. start:830 paragraphs:1, tables:1, lists:0
en 10.5. start:839 paragraphs:0, tables:1, lists:0
pt_PT 10.5. start:838 paragraphs:0, tables:1, lists:0
en 10.6. start:845 paragraphs:0, tables:1, lists:0
pt_PT 10.6. start:844 paragraphs:0, tables:1, lists:0
en 10.7. start:852 paragraphs:1, tables:1, lists:0
pt_PT 10.7. start:851 paragraphs:1, tables:1, lists:0
en 10.8. start:859 paragraphs:4, tables:0, lists:0
pt_PT 10.8. start:858 paragraphs:4, tables:0, lists:0
en 10.8.1. start:876 paragraphs:1, tables:0, lists:0
pt_PT 10.8.1. start:875 paragraphs:1, tables:0, lists:0
en 10.8.2. start:884 paragraphs:3, tables:0, lists:1
pt_PT 10.8.2. start:883 paragraphs:3, tables:0, lists:1
en 10.9. start:898 paragraphs:1, tables:1, lists:0
pt_PT 10.9. start:897 paragraphs:1, tables:1, lists:0
en 11. start:906 paragraphs:1, tables:0, lists:0
pt_PT 11. start:905 paragraphs:1, tables:0, lists:0
en 11.1. start:914 paragraphs:3, tables:0, lists:0
pt_PT 11.1. start:913 paragraphs:3, tables:0, lists:0
en 11.1.1. start:929 paragraphs:12, tables:0, lists:0
pt_PT 11.1.1. start:928 paragraphs:12, tables:0, lists:0
en 11.1.2. start:979 paragraphs:19, tables:0, lists:0
pt_PT 11.1.2. start:978 paragraphs:19, tables:0, lists:0
en 11.1.3. start:1059 paragraphs:8, tables:0, lists:1
pt_PT 11.1.3. start:1058 paragraphs:8, tables:0, lists:1
en 11.1.4. start:1088 paragraphs:1, tables:1, lists:0
pt_PT 11.1.4. start:1087 paragraphs:1, tables:1, lists:0
en 11.1.5. start:1098 paragraphs:24, tables:0, lists:0
pt_PT 11.1.5. start:1097 paragraphs:24, tables:0, lists:0
en 11.1.6. start:1204 paragraphs:8, tables:0, lists:0
pt_PT 11.1.6. start:1203 paragraphs:8, tables:0, lists:0
en 11.1.7. start:1229 paragraphs:18, tables:0, lists:0
pt_PT 11.1.7. start:1228 paragraphs:18, tables:0, lists:0
en 11.1.8. start:1289 paragraphs:8, tables:0, lists:0
pt_PT 11.1.8. start:1288 paragraphs:8, tables:0, lists:0
en 11.1.9. start:1319 paragraphs:2, tables:0, lists:0
pt_PT 11.1.9. start:1318 paragraphs:2, tables:0, lists:0
en 11.1.10. start:1328 paragraphs:8, tables:0, lists:0
pt_PT 11.1.10. start:1327 paragraphs:8, tables:0, lists:0
en 11.1.11. start:1352 paragraphs:15, tables:0, lists:1
pt_PT 11.1.11. start:1351 paragraphs:15, tables:0, lists:1
en 11.1.12. start:1409 paragraphs:6, tables:0, lists:0
pt_PT 11.1.12. start:1408 paragraphs:6, tables:0, lists:0
en 11.1.13. start:1439 paragraphs:13, tables:0, lists:0
pt_PT 11.1.13. start:1438 paragraphs:13, tables:0, lists:0
en 11.1.14. start:1486 paragraphs:7, tables:0, lists:2
pt_PT 11.1.14. start:1485 paragraphs:7, tables:0, lists:2
en 11.1.15. start:1546 paragraphs:2, tables:0, lists:0
pt_PT 11.1.15. start:1545 paragraphs:2, tables:0, lists:0
en 11.2. start:1553 paragraphs:1, tables:0, lists:0
pt_PT 11.2. start:1552 paragraphs:1, tables:0, lists:0
en 11.2.1. start:1556 paragraphs:8, tables:0, lists:1
pt_PT 11.2.1. start:1555 paragraphs:8, tables:0, lists:1
en 11.2.2. start:1590 paragraphs:6, tables:0, lists:1
pt_PT 11.2.2. start:1589 paragraphs:6, tables:0, lists:1
en 11.2.3. start:1619 paragraphs:6, tables:0, lists:0
pt_PT 11.2.3. start:1618 paragraphs:6, tables:0, lists:0
en 11.3. start:1639 paragraphs:3, tables:1, lists:0
pt_PT 11.3. start:1638 paragraphs:3, tables:1, lists:0
en 11.4. start:1654 paragraphs:3, tables:0, lists:0
pt_PT 11.4. start:1653 paragraphs:3, tables:0, lists:0
en 11.4.1. start:1665 paragraphs:4, tables:0, lists:1
