en 8.1.10. start:859 paragraphs:6, tables:0, lists:0
ru 8.1.10. start:860 paragraphs:2, tables:0, lists:0
en 8.1.11. start:890 paragraphs:12, tables:0, lists:0
en 8.1.12. start:929 paragraphs:6, tables:0, lists:1
en 8.1.13. start:964 paragraphs:5, tables:0, lists:1
en 8.1.14. start:992 paragraphs:3, tables:0, lists:0
en 8.2. start:1001 paragraphs:3, tables:1, lists:0
en 8.3. start:1016 paragraphs:3, tables:0, lists:0
en 9. start:1027 paragraphs:0, tables:0, lists:0
en 9.1. start:1029 paragraphs:2, tables:0, lists:0
en 9.2. start:1035 paragraphs:3, tables:0, lists:0
en 9.3. start:1044 paragraphs:6, tables:0, lists:0
en 9.4. start:1070 paragraphs:1, tables:0, lists:0
en 9.5. start:1074 paragraphs:1, tables:0, lists:0
en 10. start:1077 paragraphs:1, tables:0, lists:0
en 10.1. start:1081 paragraphs:3, tables:0, lists:0
en 10.2. start:1091 paragraphs:2, tables:0, lists:0
en 10.3. start:1098 paragraphs:1, tables:0, lists:0
en 10.4. start:1103 paragraphs:2, tables:0, lists:1
en 10.5. start:1116 paragraphs:2, tables:0, lists:0
en 10.6. start:1123 paragraphs:2, tables:0, lists:0
en 11. start:1129 paragraphs:1, tables:0, lists:0
en 11.1. start:1132 paragraphs:4, tables:3, lists:0
en 11.2. start:1189 paragraphs:2, tables:1, lists:0
en 11.3. start:1218 paragraphs:2, tables:1, lists:0
en 11.4. start:1242 paragraphs:2, tables:1, lists:0
en 11.5. start:1262 paragraphs:5, tables:2, lists:1
en 11.6. start:1293 paragraphs:2, tables:1, lists:0
en 11.7. start:1310 paragraphs:2, tables:1, lists:0
en 11.8. start:1327 paragraphs:2, tables:1, lists:0
en 11.9. start:1357 paragraphs:2, tables:1, lists:0
en 11.10. start:1417 paragraphs:2, tables:1, lists:0
en 11.11. start:1430 paragraphs:2, tables:1, lists:0
en 11.12. start:1452 paragraphs:6, tables:2, lists:1
en 11.13. start:1506 paragraphs:2, tables:1, lists:0
en 12. start:1523 paragraphs:0, tables:0, lists:0
en 12.1. start:1525 paragraphs:13, tables:0, lists:3
en 12.2. start:1598 paragraphs:2, tables:0, lists:0
en 13. start:1607 paragraphs:1, tables:0, lists:0
