en 1.3. start:37 paragraphs:3, tables:0, lists:0
sr 1.3. start:37 paragraphs:2, tables:0, lists:0
en 1.4. start:44 paragraphs:2, tables:0, lists:0
sr 1.4. start:43 paragraphs:1, tables:0, lists:0
en 1.5. start:50 paragraphs:2, tables:0, lists:0
sr 1.5. start:48 paragraphs:2, tables:0, lists:0
en 2. start:58 paragraphs:0, tables:0, lists:1
sr 2. start:56 paragraphs:0, tables:0, lists:1
en 3. start:67 paragraphs:6, tables:0, lists:0
sr 3. start:65 paragraphs:6, tables:0, lists:0
en 3.1. start:86 paragraphs:1, tables:0, lists:1
sr 3.1. start:84 paragraphs:22, tables:1, lists:2
en 3.2. start:94 paragraphs:2, tables:0, lists:0
en 3.2.1. start:104 paragraphs:1, tables:0, lists:0
en 3.2.2. start:108 paragraphs:1, tables:0, lists:0
en 3.2.3. start:112 paragraphs:1, tables:0, lists:0
en 3.3. start:117 paragraphs:2, tables:0, lists:0
sr 4. start:178 paragraphs:0, tables:0, lists:0
en 4. start:129 paragraphs:0, tables:0, lists:0
sr 4.1. start:180 paragraphs:2, tables:1, lists:0
en 4.1. start:131 paragraphs:5, tables:0, lists:0
sr 4.2. start:193 paragraphs:3, tables:2, lists:0
en 4.2. start:151 paragraphs:0, tables:0, lists:0
en 4.2.1. start:153 paragraphs:4, tables:0, lists:0
en 4.2.2. start:163 paragraphs:2, tables:0, lists:0
sr 4.3. start:213 paragraphs:5, tables:1, lists:0
en 4.3. start:172 paragraphs:1, tables:0, lists:0
en 4.3.1. start:177 paragraphs:1, tables:0, lists:0
en 4.3.2. start:182 paragraphs:7, tables:0, lists:0
en 4.3.3. start:205 paragraphs:2, tables:0, lists:0
sr 4.4. start:243 paragraphs:4, tables:2, lists:0
en 4.4. start:216 paragraphs:2, tables:0, lists:0
sr 4.5. start:281 paragraphs:2, tables:1, lists:0
en 4.5. start:224 paragraphs:2, tables:0, lists:0
sr 4.6. start:292 paragraphs:5, tables:1, lists:0
en 4.6. start:232 paragraphs:0, tables:1, lists:0
en 4.7. start:245 paragraphs:0, tables:1, lists:0
sr 5. start:315 paragraphs:4, tables:1, lists:0
en 5. start:253 paragraphs:1, tables:0, lists:0
sr 5.1. start:344 paragraphs:2, tables:0, lists:1
en 5.1. start:256 paragraphs:1, tables:0, lists:0
sr 5.2. start:373 paragraphs:1, tables:1, lists:0
en 5.2. start:260 paragraphs:3, tables:1, lists:0
sr 5.3. start:383 paragraphs:1, tables:1, lists:0
en 5.3. start:276 paragraphs:4, tables:2, lists:0
en 5.4. start:299 paragraphs:7, tables:1, lists:0
en 5.5. start:341 paragraphs:6, tables:2, lists:0
en 5.6. start:383 paragraphs:2, tables:1, lists:0
en 5.6.1. start:394 paragraphs:1, tables:0, lists:0
en 5.6.2. start:399 paragraphs:3, tables:0, lists:0
en 5.6.3. start:408 paragraphs:3, tables:0, lists:0
en 5.7. start:417 paragraphs:5, tables:1, lists:0
sr 6. start:394 paragraphs:0, tables:0, lists:0
en 6. start:442 paragraphs:3, tables:1, lists:0
sr 6.1. start:396 paragraphs:1, tables:0, lists:0
en 6.1. start:471 paragraphs:3, tables:1, lists:1
sr 6.1.1. start:403 paragraphs:9, tables:0, lists:0
sr 6.1.2. start:441 paragraphs:5, tables:0, lists:0
sr 6.1.3. start:457 paragraphs:13, tables:0, lists:0
sr 6.1.4. start:504 paragraphs:1, tables:1, lists:0
sr 6.1.5. start:514 paragraphs:10, tables:0, lists:0
sr 6.1.6. start:545 paragraphs:11, tables:0, lists:0
sr 6.1.7. start:579 paragraphs:7, tables:1, lists:0
sr 6.1.8. start:608 paragraphs:6, tables:1, lists:0
sr 6.1.9. start:631 paragraphs:9, tables:1, lists:1
sr 6.1.10. start:671 paragraphs:11, tables:0, lists:0
sr 6.1.11. start:709 paragraphs:6, tables:0, lists:1
sr 6.1.12. start:741 paragraphs:5, tables:0, lists:1
sr 6.2. start:769 paragraphs:4, tables:1, lists:0
en 6.2. start:504 paragraphs:1, tables:1, lists:0
sr 6.3. start:785 paragraphs:3, tables:0, lists:0
en 6.3. start:514 paragraphs:1, tables:1, lists:0
