# Structural comparison of sr/userGuide.t2t against sr/userGuide-newRevisions/13616/userGuide.t2t
en 8.1. start:591 paragraphs:3, tables:3, lists:0
sr 8.1. start:590 paragraphs:3, tables:3, lists:0
sr 8.1.1. start:639 paragraphs:3, tables:0, lists:0
en 8.2. start:640 paragraphs:3, tables:0, lists:0
en 9. start:655 paragraphs:1, tables:0, lists:0
sr 9. start:654 paragraphs:1, tables:0, lists:0
en 9.1. start:658 paragraphs:0, tables:0, lists:0
sr 9.1. start:657 paragraphs:0, tables:0, lists:0
en 9.1.1. start:660 paragraphs:2, tables:1, lists:0
sr 9.1.1. start:659 paragraphs:2, tables:1, lists:0
en 9.1.2. start:673 paragraphs:1, tables:0, lists:0
sr 9.1.2. start:672 paragraphs:1, tables:0, lists:0
en 9.1.2.1. start:680 paragraphs:1, tables:0, lists:0
sr 9.1.2.1. start:679 paragraphs:1, tables:0, lists:0
en 9.1.3. start:686 paragraphs:1, tables:0, lists:0
sr 9.1.3. start:685 paragraphs:1, tables:0, lists:0
en 9.2. start:692 paragraphs:0, tables:0, lists:0
sr 9.2. start:691 paragraphs:0, tables:0, lists:0
en 9.2.1. start:694 paragraphs:2, tables:1, lists:0
sr 9.2.1. start:693 paragraphs:2, tables:1, lists:0
en 9.2.2. start:707 paragraphs:1, tables:0, lists:1
sr 9.2.2. start:706 paragraphs:1, tables:0, lists:1
en 9.2.3. start:729 paragraphs:1, tables:0, lists:0
sr 9.2.3. start:728 paragraphs:1, tables:0, lists:0
en 9.2.4. start:735 paragraphs:1, tables:0, lists:0
sr 9.2.4. start:734 paragraphs:1, tables:0, lists:0
en 9.2.5. start:741 paragraphs:1, tables:0, lists:0
sr 9.2.5. start:740 paragraphs:1, tables:0, lists:0
en 9.3. start:747 paragraphs:0, tables:1, lists:0
sr 9.3. start:746 paragraphs:0, tables:1, lists:0
en 9.4. start:753 paragraphs:1, tables:1, lists:0
sr 9.4. start:752 paragraphs:1, tables:1, lists:0
en 9.5. start:761 paragraphs:0, tables:1, lists:0
sr 9.5. start:760 paragraphs:0, tables:1, lists:0
en 9.6. start:767 paragraphs:0, tables:1, lists:0
sr 9.6. start:766 paragraphs:0, tables:1, lists:0
en 9.7. start:774 paragraphs:1, tables:1, lists:0
sr 9.7. start:773 paragraphs:1, tables:1, lists:0
en 9.8. start:781 paragraphs:3, tables:0, lists:0
sr 9.8. start:780 paragraphs:3, tables:0, lists:0
en 9.8.1. start:795 paragraphs:1, tables:0, lists:0
sr 9.8.1. start:794 paragraphs:1, tables:0, lists:0
en 9.8.2. start:803 paragraphs:3, tables:0, lists:1
sr 9.8.2. start:802 paragraphs:3, tables:0, lists:1
en 10. start:817 paragraphs:0, tables:0, lists:0
sr 10. start:816 paragraphs:0, tables:0, lists:0
en 10.1. start:819 paragraphs:2, tables:0, lists:0
sr 10.1. start:818 paragraphs:2, tables:0, lists:0
en 10.1.1. start:829 paragraphs:11, tables:0, lists:0
sr 10.1.1. start:828 paragraphs:11, tables:0, lists:0
en 10.1.2. start:875 paragraphs:8, tables:0, lists:1
sr 10.1.2. start:874 paragraphs:8, tables:0, lists:1
en 10.1.3. start:904 paragraphs:18, tables:0, lists:0
sr 10.1.3. start:903 paragraphs:18, tables:0, lists:0
en 10.1.4. start:979 paragraphs:1, tables:1, lists:0
sr 10.1.4. start:978 paragraphs:1, tables:1, lists:0
en 10.1.5. start:989 paragraphs:24, tables:0, lists:0
sr 10.1.5. start:988 paragraphs:24, tables:0, lists:0
en 10.1.6. start:1077 paragraphs:18, tables:0, lists:0
sr 10.1.6. start:1076 paragraphs:18, tables:0, lists:0
en 10.1.7. start:1137 paragraphs:8, tables:0, lists:0
sr 10.1.7. start:1136 paragraphs:8, tables:0, lists:0
en 10.1.8. start:1167 paragraphs:8, tables:0, lists:0
sr 10.1.8. start:1166 paragraphs:8, tables:0, lists:0
en 10.1.9. start:1191 paragraphs:15, tables:0, lists:1
sr 10.1.9. start:1190 paragraphs:15, tables:0, lists:1
en 10.1.10. start:1248 paragraphs:6, tables:0, lists:0
