# Structural comparison of sv/userGuide.t2t against sv/userGuide-diffs/10348/userGuide.t2t
en 5.7. start:417 paragraphs:5, tables:1, lists:0
sv 5.7. start:418 paragraphs:5, tables:1, lists:0
en 6. start:442 paragraphs:3, tables:1, lists:0
sv 6. start:443 paragraphs:3, tables:1, lists:0
en 6.1. start:471 paragraphs:3, tables:1, lists:1
sv 6.1. start:472 paragraphs:3, tables:1, lists:1
en 6.2. start:504 paragraphs:1, tables:1, lists:0
sv 6.2. start:505 paragraphs:1, tables:1, lists:0
en 6.3. start:514 paragraphs:1, tables:1, lists:0
sv 6.3. start:515 paragraphs:1, tables:1, lists:0
en 7. start:525 paragraphs:1, tables:0, lists:0
sv 7. start:526 paragraphs:1, tables:0, lists:0
en 7.1. start:528 paragraphs:0, tables:1, lists:0
sv 7.1. start:529 paragraphs:0, tables:1, lists:0
en 7.2. start:536 paragraphs:0, tables:1, lists:0
sv 7.2. start:537 paragraphs:0, tables:1, lists:0
en 7.3. start:544 paragraphs:0, tables:1, lists:0
sv 7.3. start:545 paragraphs:0, tables:1, lists:0
en 7.4. start:550 paragraphs:1, tables:1, lists:0
sv 7.4. start:551 paragraphs:1, tables:1, lists:0
en 7.5. start:558 paragraphs:0, tables:1, lists:0
sv 7.5. start:559 paragraphs:0, tables:1, lists:0
en 7.6. start:564 paragraphs:0, tables:1, lists:0
sv 7.6. start:565 paragraphs:0, tables:1, lists:0
en 8. start:571 paragraphs:0, tables:0, lists:0
sv 8. start:572 paragraphs:0, tables:0, lists:0
en 8.1. start:573 paragraphs:1, tables:0, lists:0
sv 8.1. start:574 paragraphs:1, tables:0, lists:0
en 8.1.1. start:580 paragraphs:11, tables:0, lists:0
sv 8.1.1. start:581 paragraphs:11, tables:0, lists:0
en 8.1.2. start:625 paragraphs:5, tables:0, lists:0
sv 8.1.2. start:626 paragraphs:5, tables:0, lists:0
en 8.1.3. start:641 paragraphs:17, tables:0, lists:0
sv 8.1.3. start:642 paragraphs:17, tables:0, lists:0
en 8.1.4. start:711 paragraphs:1, tables:1, lists:0
sv 8.1.4. start:712 paragraphs:1, tables:1, lists:0
en 8.1.5. start:721 paragraphs:17, tables:0, lists:0
sv 8.1.5. start:722 paragraphs:17, tables:0, lists:0
en 8.1.6. start:783 paragraphs:17, tables:0, lists:0
sv 8.1.6. start:784 paragraphs:17, tables:0, lists:0
en 8.1.7. start:839 paragraphs:8, tables:0, lists:0
sv 8.1.7. start:840 paragraphs:8, tables:0, lists:0
en 8.1.8. start:867 paragraphs:7, tables:0, lists:0
sv 8.1.8. start:868 paragraphs:7, tables:0, lists:0
en 8.1.9. start:889 paragraphs:14, tables:0, lists:1
sv 8.1.9. start:890 paragraphs:14, tables:0, lists:1
en 8.1.10. start:939 paragraphs:6, tables:0, lists:0
sv 8.1.10. start:940 paragraphs:6, tables:0, lists:0
en 8.1.11. start:970 paragraphs:12, tables:0, lists:0
sv 8.1.11. start:971 paragraphs:12, tables:0, lists:0
en 8.1.12. start:1012 paragraphs:6, tables:0, lists:1
sv 8.1.12. start:1013 paragraphs:6, tables:0, lists:1
en 8.1.13. start:1049 paragraphs:5, tables:0, lists:1
sv 8.1.13. start:1050 paragraphs:5, tables:0, lists:1
en 8.1.14. start:1077 paragraphs:3, tables:0, lists:0
sv 8.1.14. start:1078 paragraphs:3, tables:0, lists:0
en 8.1.15. start:1086 paragraphs:6, tables:0, lists:0
sv 8.1.15. start:1087 paragraphs:6, tables:0, lists:0
en 8.2. start:1105 paragraphs:3, tables:1, lists:0
sv 8.2. start:1106 paragraphs:3, tables:1, lists:0
en 8.3. start:1120 paragraphs:3, tables:0, lists:0
sv 8.3. start:1121 paragraphs:3, tables:0, lists:0
en 8.3.1. start:1131 paragraphs:4, tables:0, lists:1
sv 8.3.1. start:1132 paragraphs:4, tables:0, lists:1
en 8.3.2. start:1147 paragraphs:3, tables:0, lists:0
sv 8.3.2. start:1148 paragraphs:3, tables:0, lists:0
en 8.3.3. start:1159 paragraphs:1, tables:0, lists:0
sv 8.3.3. start:1160 paragraphs:1, tables:0, lists:0
