# section number, section starts at line, paragraphs in this section, tables in this section, lists in this section.
1. start:10 paragraphs:1, tables:0, lists:0

1.1. start:15 paragraphs:2, tables:0, lists:1

1.2. start:33 paragraphs:1, tables:0, lists:0

1.3. start:37 paragraphs:3, tables:0, lists:0

1.4. start:44 paragraphs:2, tables:0, lists:0

1.5. start:50 paragraphs:1, tables:0, lists:0

2. start:58 paragraphs:0, tables:0, lists:1

3. start:65 paragraphs:6, tables:0, lists:0

3.1. start:84 paragraphs:1, tables:0, lists:1

3.2. start:92 paragraphs:2, tables:0, lists:0

3.2.1. start:102 paragraphs:1, tables:0, lists:0

3.2.2. start:106 paragraphs:1, tables:0, lists:0

3.2.3. start:110 paragraphs:1, tables:0, lists:0

3.3. start:115 paragraphs:2, tables:0, lists:0

4. start:127 paragraphs:0, tables:0, lists:0

4.1. start:129 paragraphs:6, tables:0, lists:0

4.2. start:147 paragraphs:0, tables:0, lists:0

4.2.1. start:149 paragraphs:15, tables:0, lists:0

4.3.3. start:201 paragraphs:2, tables:0, lists:0

4.4. start:212 paragraphs:4, tables:0, lists:0

4.6. start:228 paragraphs:0, tables:1, lists:0

4.7. start:241 paragraphs:0, tables:1, lists:0

5. start:249 paragraphs:1, tables:0, lists:0

5.1. start:252 paragraphs:1, tables:0, lists:0

5.2. start:256 paragraphs:3, tables:1, lists:0

5.3. start:272 paragraphs:4, tables:2, lists:0

5.4. start:295 paragraphs:7, tables:1, lists:0

5.5. start:337 paragraphs:6, tables:2, lists:0

5.6. start:379 paragraphs:4, tables:1, lists:0

5.7. start:401 paragraphs:5, tables:1, lists:0

6. start:426 paragraphs:3, tables:1, lists:0

6.1. start:455 paragraphs:3, tables:1, lists:1

6.2. start:488 paragraphs:1, tables:1, lists:0

6.3. start:498 paragraphs:1, tables:1, lists:0

7. start:509 paragraphs:1, tables:0, lists:0

7.1. start:512 paragraphs:0, tables:1, lists:0

7.2. start:519 paragraphs:1, tables:1, lists:0

7.3. start:527 paragraphs:0, tables:1, lists:0

7.4. start:533 paragraphs:0, tables:1, lists:0

8. start:540 paragraphs:0, tables:0, lists:0

8.1. start:542 paragraphs:1, tables:0, lists:0

8.1.1. start:549 paragraphs:10, tables:0, lists:0

8.1.2. start:591 paragraphs:5, tables:0, lists:0

8.1.3. start:607 paragraphs:17, tables:0, lists:0

8.1.4. start:677 paragraphs:1, tables:1, lists:0

8.1.5. start:687 paragraphs:17, tables:0, lists:0

8.1.6. start:748 paragraphs:14, tables:0, lists:0

8.1.7. start:793 paragraphs:8, tables:0, lists:0

8.1.8. start:821 paragraphs:7, tables:0, lists:0

8.1.9. start:843 paragraphs:14, tables:0, lists:1

8.1.10. start:893 paragraphs:6, tables:0, lists:0

8.1.11. start:924 paragraphs:12, tables:0, lists:0

8.1.12. start:963 paragraphs:6, tables:0, lists:1

8.1.13. start:998 paragraphs:5, tables:0, lists:1

8.1.14. start:1026 paragraphs:3, tables:0, lists:0

8.2. start:1035 paragraphs:3, tables:1, lists:0

8.3. start:1050 paragraphs:3, tables:0, lists:0

9. start:1061 paragraphs:0, tables:0, lists:0

9.1. start:1063 paragraphs:2, tables:0, lists:0

9.2. start:1069 paragraphs:3, tables:0, lists:0

9.3. start:1078 paragraphs:6, tables:0, lists:0

9.4. start:1104 paragraphs:1, tables:0, lists:0

9.5. start:1108 paragraphs:1, tables:0, lists:0

10. start:1111 paragraphs:1, tables:0, lists:0

10.1. start:1115 paragraphs:3, tables:0, lists:0

10.2. start:1125 paragraphs:2, tables:0, lists:0

10.3. start:1132 paragraphs:1, tables:0, lists:0

10.4. start:1137 paragraphs:2, tables:0, lists:1

10.5. start:1150 paragraphs:2, tables:0, lists:0

10.6. start:1157 paragraphs:2, tables:0, lists:0

10.7. start:1163 paragraphs:3, tables:0, lists:0

10.8. start:1174 paragraphs:5, tables:3, lists:0

10.9. start:1235 paragraphs:3, tables:1, lists:0

10.10. start:1267 paragraphs:3, tables:1, lists:0

10.11. start:1293 paragraphs:2, tables:1, lists:0

10.12. start:1313 paragraphs:5, tables:2, lists:1

10.13. start:1344 paragraphs:2, tables:1, lists:0

10.14. start:1361 paragraphs:2, tables:1, lists:0

10.15. start:1378 paragraphs:2, tables:1, lists:0

10.16. start:1408 paragraphs:2, tables:1, lists:0

10.17. start:1468 paragraphs:2, tables:1, lists:0

10.18. start:1481 paragraphs:2, tables:1, lists:0

10.19. start:1503 paragraphs:8, tables:3, lists:2

10.20. start:1583 paragraphs:8, tables:4, lists:1

10.21. start:1667 paragraphs:4, tables:1, lists:1

10.22. start:1715 paragraphs:3, tables:1, lists:0

11. start:1735 paragraphs:0, tables:0, lists:0

11.1. start:1737 paragraphs:13, tables:0, lists:3

11.2. start:1810 paragraphs:2, tables:0, lists:0

12. start:1819 paragraphs:1, tables:0, lists:0

13. start:1824 paragraphs:1, tables:0, lists:0

13.1. start:1827 paragraphs:0, tables:1, lists:0

13.2. start:1857 paragraphs:0, tables:1, lists:0

13.3. start:1876 paragraphs:0, tables:1, lists:0

13.4. start:1895 paragraphs:2, tables:1, lists:0

