# Structural comparison of ta/userGuide.t2t against ta/userGuide-newRevisions/13611/userGuide.t2t
en 1.5. start:51 paragraphs:2, tables:0, lists:0
ta 1.5. start:50 paragraphs:2, tables:0, lists:0
en 2. start:59 paragraphs:0, tables:0, lists:1
ta 2. start:58 paragraphs:0, tables:0, lists:1
en 3. start:70 paragraphs:6, tables:0, lists:0
ta 3. start:69 paragraphs:6, tables:0, lists:0
en 3.1. start:89 paragraphs:1, tables:0, lists:1
ta 3.1. start:88 paragraphs:1, tables:0, lists:1
en 3.2. start:98 paragraphs:2, tables:0, lists:0
ta 3.2. start:97 paragraphs:2, tables:0, lists:0
en 3.2.1. start:108 paragraphs:1, tables:0, lists:0
ta 3.2.1. start:107 paragraphs:1, tables:0, lists:0
en 3.2.2. start:112 paragraphs:1, tables:0, lists:0
ta 3.2.2. start:111 paragraphs:1, tables:0, lists:0
en 3.2.3. start:116 paragraphs:1, tables:0, lists:0
ta 3.2.3. start:115 paragraphs:1, tables:0, lists:0
en 3.3. start:121 paragraphs:2, tables:0, lists:0
ta 3.3. start:120 paragraphs:2, tables:0, lists:0
en 4. start:133 paragraphs:0, tables:0, lists:0
ta 4. start:132 paragraphs:0, tables:0, lists:0
en 4.1. start:135 paragraphs:6, tables:0, lists:0
ta 4.1. start:134 paragraphs:6, tables:0, lists:0
en 4.2. start:161 paragraphs:0, tables:0, lists:0
ta 4.2. start:160 paragraphs:0, tables:0, lists:0
en 4.2.1. start:163 paragraphs:3, tables:0, lists:0
ta 4.2.1. start:162 paragraphs:14, tables:0, lists:0
en 4.2.2. start:172 paragraphs:2, tables:0, lists:0
en 4.3. start:180 paragraphs:1, tables:0, lists:0
en 4.3.1. start:185 paragraphs:1, tables:0, lists:0
en 4.3.2. start:190 paragraphs:7, tables:0, lists:0
en 4.3.3. start:213 paragraphs:2, tables:0, lists:0
ta 4.3.3. start:212 paragraphs:2, tables:0, lists:0
en 4.4. start:224 paragraphs:2, tables:0, lists:0
ta 4.4. start:223 paragraphs:4, tables:0, lists:0
en 4.5. start:232 paragraphs:2, tables:0, lists:0
ta 4.6. start:239 paragraphs:0, tables:1, lists:0
en 4.6. start:240 paragraphs:0, tables:1, lists:0
ta 4.7. start:252 paragraphs:0, tables:1, lists:0
en 4.7. start:253 paragraphs:0, tables:1, lists:0
ta 5. start:260 paragraphs:1, tables:0, lists:0
en 5. start:261 paragraphs:1, tables:0, lists:0
ta 5.1. start:263 paragraphs:1, tables:0, lists:0
en 5.1. start:264 paragraphs:1, tables:0, lists:0
ta 5.2. start:267 paragraphs:3, tables:1, lists:0
en 5.2. start:268 paragraphs:3, tables:1, lists:0
ta 5.3. start:283 paragraphs:4, tables:2, lists:0
en 5.3. start:284 paragraphs:4, tables:2, lists:0
ta 5.4. start:308 paragraphs:7, tables:1, lists:0
en 5.4. start:309 paragraphs:7, tables:1, lists:0
ta 5.5. start:350 paragraphs:6, tables:2, lists:0
en 5.5. start:351 paragraphs:6, tables:2, lists:0
ta 5.6. start:392 paragraphs:2, tables:1, lists:0
en 5.6. start:393 paragraphs:2, tables:1, lists:0
ta 5.6.1. start:403 paragraphs:1, tables:0, lists:0
en 5.6.1. start:404 paragraphs:1, tables:0, lists:0
ta 5.6.2. start:408 paragraphs:3, tables:0, lists:0
en 5.6.2. start:409 paragraphs:3, tables:0, lists:0
ta 5.6.3. start:417 paragraphs:3, tables:0, lists:0
en 5.6.3. start:418 paragraphs:3, tables:0, lists:0
ta 5.7. start:426 paragraphs:5, tables:1, lists:0
en 5.7. start:427 paragraphs:5, tables:1, lists:0
ta 6. start:451 paragraphs:3, tables:1, lists:0
en 6. start:452 paragraphs:3, tables:1, lists:0
ta 6.1. start:481 paragraphs:4, tables:1, lists:1
en 6.1. start:482 paragraphs:4, tables:1, lists:1
ta 6.2. start:523 paragraphs:1, tables:1, lists:0
en 6.2. start:524 paragraphs:1, tables:1, lists:0
ta 6.3. start:534 paragraphs:1, tables:1, lists:0
en 6.3. start:535 paragraphs:1, tables:1, lists:0
ta 7. start:545 paragraphs:3, tables:0, lists:1
en 7. start:546 paragraphs:3, tables:0, lists:1
ta 7.1. start:559 paragraphs:5, tables:1, lists:1
en 7.1. start:560 paragraphs:5, tables:1, lists:1
ta 8. start:581 paragraphs:1, tables:0, lists:0
en 8. start:582 paragraphs:2, tables:0, lists:0
ta 8.1. start:584 paragraphs:0, tables:0, lists:0
en 8.1. start:589 paragraphs:3, tables:3, lists:0
ta 8.1.1. start:586 paragraphs:2, tables:1, lists:0
ta 8.1.2. start:599 paragraphs:1, tables:0, lists:0
ta 8.1.3. start:606 paragraphs:1, tables:0, lists:0
ta 8.1.4. start:612 paragraphs:1, tables:0, lists:0
en 8.2. start:638 paragraphs:3, tables:0, lists:0
ta 8.2. start:618 paragraphs:0, tables:0, lists:0
ta 8.2.1. start:620 paragraphs:2, tables:1, lists:0
ta 8.2.2. start:633 paragraphs:1, tables:0, lists:1
ta 8.2.3. start:655 paragraphs:1, tables:0, lists:0
ta 8.2.4. start:661 paragraphs:1, tables:0, lists:0
ta 8.2.5. start:667 paragraphs:1, tables:0, lists:0
ta 8.3. start:673 paragraphs:0, tables:1, lists:0
ta 8.4. start:679 paragraphs:1, tables:1, lists:0
ta 8.5. start:687 paragraphs:0, tables:1, lists:0
ta 8.6. start:693 paragraphs:0, tables:1, lists:0
ta 8.7. start:700 paragraphs:1, tables:1, lists:0
ta 8.8. start:707 paragraphs:3, tables:0, lists:0
ta 8.8.1. start:721 paragraphs:1, tables:0, lists:0
ta 8.8.2. start:729 paragraphs:3, tables:0, lists:1
en 9. start:653 paragraphs:1, tables:0, lists:0
ta 9. start:743 paragraphs:0, tables:0, lists:0
en 9.1. start:656 paragraphs:0, tables:0, lists:0
ta 9.1. start:745 paragraphs:2, tables:0, lists:0
en 9.1.1. start:658 paragraphs:2, tables:1, lists:0
ta 9.1.1. start:755 paragraphs:11, tables:0, lists:0
en 9.1.2. start:671 paragraphs:1, tables:0, lists:0
ta 9.1.2. start:801 paragraphs:8, tables:0, lists:1
en 9.1.2.1. start:678 paragraphs:1, tables:0, lists:0
en 9.1.3. start:684 paragraphs:1, tables:0, lists:0
ta 9.1.3. start:830 paragraphs:18, tables:0, lists:0
ta 9.1.4. start:905 paragraphs:1, tables:1, lists:0
ta 9.1.5. start:915 paragraphs:24, tables:0, lists:0
