# section number, section starts at line, paragraphs in this section, tables in this section, lists in this section.
1. start:10 paragraphs:1, tables:0, lists:0

1.1. start:15 paragraphs:2, tables:0, lists:1

1.2. start:33 paragraphs:1, tables:0, lists:0

1.3. start:37 paragraphs:3, tables:0, lists:0

1.4. start:44 paragraphs:2, tables:0, lists:0

1.5. start:50 paragraphs:2, tables:0, lists:0

2. start:58 paragraphs:0, tables:0, lists:1

3. start:65 paragraphs:6, tables:0, lists:0

3.1. start:84 paragraphs:2, tables:0, lists:0

3.1.1. start:94 paragraphs:1, tables:0, lists:0

3.1.2. start:98 paragraphs:1, tables:0, lists:0

3.1.3. start:102 paragraphs:1, tables:0, lists:0

3.2. start:107 paragraphs:2, tables:0, lists:0

4. start:119 paragraphs:0, tables:0, lists:0

4.1. start:121 paragraphs:5, tables:0, lists:0

4.2. start:139 paragraphs:0, tables:0, lists:0

4.2.1. start:141 paragraphs:4, tables:0, lists:0

4.2.2. start:151 paragraphs:2, tables:0, lists:0

4.2.3. start:159 paragraphs:2, tables:0, lists:0

4.3. start:168 paragraphs:2, tables:0, lists:0

4.4. start:176 paragraphs:0, tables:1, lists:0

4.5. start:189 paragraphs:0, tables:1, lists:0

5. start:197 paragraphs:1, tables:0, lists:0

5.1. start:200 paragraphs:1, tables:0, lists:0

5.2. start:204 paragraphs:3, tables:1, lists:0

5.3. start:220 paragraphs:4, tables:2, lists:0

5.4. start:243 paragraphs:7, tables:1, lists:0

5.5. start:285 paragraphs:6, tables:2, lists:0

5.6. start:327 paragraphs:4, tables:1, lists:0

5.7. start:349 paragraphs:5, tables:1, lists:0

6. start:374 paragraphs:3, tables:1, lists:0

6.1. start:402 paragraphs:3, tables:1, lists:1

6.2. start:435 paragraphs:1, tables:1, lists:0

6.3. start:445 paragraphs:1, tables:1, lists:0

7. start:456 paragraphs:1, tables:0, lists:0

7.1. start:459 paragraphs:1, tables:1, lists:0

7.2. start:467 paragraphs:0, tables:1, lists:0

7.3. start:473 paragraphs:0, tables:1, lists:0

8. start:480 paragraphs:0, tables:0, lists:0

8.1. start:482 paragraphs:1, tables:0, lists:0

8.1.1. start:489 paragraphs:10, tables:0, lists:0

8.1.2. start:531 paragraphs:5, tables:0, lists:0

8.1.3. start:547 paragraphs:17, tables:0, lists:0

8.1.4. start:617 paragraphs:1, tables:1, lists:0

8.1.5. start:627 paragraphs:11, tables:0, lists:0

8.1.6. start:665 paragraphs:12, tables:0, lists:0

8.1.7. start:704 paragraphs:7, tables:1, lists:0

8.1.8. start:733 paragraphs:6, tables:1, lists:0

8.1.9. start:756 paragraphs:13, tables:1, lists:1

8.1.10. start:807 paragraphs:3, tables:0, lists:0

8.1.11. start:820 paragraphs:12, tables:0, lists:0

8.1.12. start:859 paragraphs:6, tables:0, lists:1

8.1.13. start:894 paragraphs:5, tables:0, lists:1

8.1.14. start:922 paragraphs:3, tables:0, lists:0

8.2. start:931 paragraphs:3, tables:1, lists:0

8.3. start:946 paragraphs:3, tables:0, lists:0

9. start:957 paragraphs:0, tables:0, lists:0

9.1. start:959 paragraphs:2, tables:0, lists:0

9.2. start:965 paragraphs:3, tables:0, lists:0

9.3. start:974 paragraphs:6, tables:0, lists:0

9.4. start:1000 paragraphs:1, tables:0, lists:0

9.5. start:1004 paragraphs:1, tables:0, lists:0

10. start:1007 paragraphs:1, tables:0, lists:0

10.1. start:1011 paragraphs:3, tables:0, lists:0

10.2. start:1021 paragraphs:2, tables:0, lists:0

10.3. start:1028 paragraphs:1, tables:0, lists:0

10.4. start:1033 paragraphs:2, tables:0, lists:1

10.5. start:1046 paragraphs:2, tables:0, lists:0

10.6. start:1053 paragraphs:2, tables:0, lists:0

11. start:1059 paragraphs:1, tables:0, lists:0

11.1. start:1062 paragraphs:4, tables:3, lists:0

11.2. start:1119 paragraphs:2, tables:1, lists:0

11.3. start:1148 paragraphs:2, tables:1, lists:0

11.4. start:1172 paragraphs:2, tables:1, lists:0

11.5. start:1192 paragraphs:5, tables:2, lists:1

11.6. start:1223 paragraphs:2, tables:1, lists:0

11.7. start:1240 paragraphs:2, tables:1, lists:0

11.8. start:1257 paragraphs:2, tables:1, lists:0

11.9. start:1287 paragraphs:2, tables:1, lists:0

11.10. start:1347 paragraphs:2, tables:1, lists:0

11.11. start:1360 paragraphs:2, tables:1, lists:0

11.12. start:1382 paragraphs:2, tables:1, lists:0

12. start:1399 paragraphs:0, tables:0, lists:0

12.1. start:1401 paragraphs:13, tables:0, lists:2

12.2. start:1466 paragraphs:2, tables:0, lists:0

13. start:1475 paragraphs:1, tables:0, lists:0

