# Structural comparison of tr/userGuide.t2t against tr/userGuide-newRevisions/14663/userGuide.t2t
en 11.1.7. start:1227 paragraphs:18, tables:0, lists:0
tr 11.1.7. start:1228 paragraphs:18, tables:0, lists:0
en 11.1.8. start:1286 paragraphs:8, tables:0, lists:0
tr 11.1.8. start:1287 paragraphs:8, tables:0, lists:0
en 11.1.9. start:1315 paragraphs:2, tables:0, lists:0
tr 11.1.9. start:1316 paragraphs:2, tables:0, lists:0
en 11.1.10. start:1323 paragraphs:8, tables:0, lists:0
tr 11.1.10. start:1324 paragraphs:8, tables:0, lists:0
en 11.1.11. start:1346 paragraphs:15, tables:0, lists:1
tr 11.1.11. start:1347 paragraphs:15, tables:0, lists:1
en 11.1.12. start:1402 paragraphs:6, tables:0, lists:0
tr 11.1.12. start:1403 paragraphs:6, tables:0, lists:0
en 11.1.13. start:1432 paragraphs:13, tables:0, lists:0
tr 11.1.13. start:1433 paragraphs:13, tables:0, lists:0
en 11.1.14. start:1478 paragraphs:7, tables:0, lists:2
tr 11.1.14. start:1479 paragraphs:8, tables:0, lists:2
en 11.1.15. start:1538 paragraphs:2, tables:0, lists:0
tr 11.1.15. start:1539 paragraphs:2, tables:0, lists:0
en 11.2. start:1544 paragraphs:1, tables:0, lists:0
tr 11.2. start:1545 paragraphs:1, tables:0, lists:0
en 11.2.1. start:1547 paragraphs:8, tables:0, lists:1
tr 11.2.1. start:1548 paragraphs:8, tables:0, lists:1
en 11.2.2. start:1581 paragraphs:6, tables:0, lists:1
tr 11.2.2. start:1582 paragraphs:6, tables:0, lists:1
en 11.2.3. start:1610 paragraphs:6, tables:0, lists:0
tr 11.2.3. start:1611 paragraphs:6, tables:0, lists:0
en 11.3. start:1630 paragraphs:3, tables:1, lists:0
tr 11.3. start:1631 paragraphs:3, tables:1, lists:0
en 11.4. start:1645 paragraphs:3, tables:0, lists:0
tr 11.4. start:1646 paragraphs:3, tables:0, lists:0
en 11.4.1. start:1656 paragraphs:4, tables:0, lists:1
tr 11.4.1. start:1657 paragraphs:4, tables:0, lists:1
en 11.4.2. start:1672 paragraphs:3, tables:0, lists:0
tr 11.4.2. start:1673 paragraphs:3, tables:0, lists:0
en 11.4.3. start:1684 paragraphs:1, tables:0, lists:0
tr 11.4.3. start:1685 paragraphs:1, tables:0, lists:0
en 11.4.4. start:1692 paragraphs:4, tables:0, lists:1
tr 11.4.4. start:1693 paragraphs:4, tables:0, lists:1
en 11.4.5. start:1705 paragraphs:2, tables:0, lists:0
tr 11.4.5. start:1706 paragraphs:2, tables:0, lists:0
en 11.4.6. start:1713 paragraphs:1, tables:0, lists:0
tr 11.4.6. start:1714 paragraphs:1, tables:0, lists:0
en 11.5. start:1718 paragraphs:3, tables:0, lists:0
tr 11.5. start:1719 paragraphs:3, tables:0, lists:0
en 12. start:1729 paragraphs:0, tables:0, lists:0
tr 12. start:1730 paragraphs:0, tables:0, lists:0
en 12.1. start:1731 paragraphs:2, tables:0, lists:0
tr 12.1. start:1732 paragraphs:2, tables:0, lists:0
en 12.2. start:1737 paragraphs:5, tables:0, lists:0
tr 12.2. start:1738 paragraphs:5, tables:0, lists:0
en 12.3. start:1752 paragraphs:10, tables:0, lists:0
tr 12.3. start:1753 paragraphs:10, tables:0, lists:0
en 12.4. start:1795 paragraphs:1, tables:0, lists:0
tr 12.4. start:1796 paragraphs:1, tables:0, lists:0
en 12.5. start:1799 paragraphs:1, tables:0, lists:0
tr 12.5. start:1800 paragraphs:1, tables:0, lists:0
en 13. start:1802 paragraphs:1, tables:0, lists:0
tr 13. start:1803 paragraphs:1, tables:0, lists:0
en 13.1. start:1806 paragraphs:3, tables:0, lists:0
tr 13.1. start:1807 paragraphs:3, tables:0, lists:0
en 13.2. start:1816 paragraphs:2, tables:0, lists:0
tr 13.2. start:1817 paragraphs:2, tables:0, lists:0
en 13.3. start:1823 paragraphs:1, tables:0, lists:0
tr 13.3. start:1824 paragraphs:1, tables:0, lists:0
en 13.4. start:1828 paragraphs:2, tables:0, lists:1
tr 13.4. start:1829 paragraphs:2, tables:0, lists:1
en 13.5. start:1841 paragraphs:3, tables:0, lists:0
tr 13.5. start:1842 paragraphs:3, tables:0, lists:0
en 13.6. start:1852 paragraphs:2, tables:0, lists:0
tr 13.6. start:1853 paragraphs:2, tables:0, lists:0
en 14. start:1859 paragraphs:1, tables:0, lists:0
tr 14. start:1860 paragraphs:1, tables:0, lists:0
en 14.1. start:1862 paragraphs:5, tables:3, lists:0
tr 14.1. start:1863 paragraphs:5, tables:3, lists:0
en 14.2. start:1921 paragraphs:4, tables:1, lists:0
tr 14.2. start:1922 paragraphs:4, tables:1, lists:0
en 14.3. start:1974 paragraphs:3, tables:1, lists:1
tr 14.3. start:1975 paragraphs:3, tables:1, lists:1
en 14.4. start:2008 paragraphs:2, tables:1, lists:0
tr 14.4. start:2009 paragraphs:2, tables:1, lists:0
en 14.5. start:2028 paragraphs:6, tables:2, lists:1
tr 14.5. start:2029 paragraphs:6, tables:2, lists:1
en 14.6. start:2064 paragraphs:2, tables:1, lists:0
tr 14.6. start:2065 paragraphs:2, tables:1, lists:0
en 14.7. start:2081 paragraphs:2, tables:1, lists:0
tr 14.7. start:2082 paragraphs:2, tables:1, lists:0
en 14.8. start:2098 paragraphs:3, tables:0, lists:0
tr 14.8. start:2099 paragraphs:3, tables:0, lists:0
en 14.8.1. start:2107 paragraphs:0, tables:1, lists:0
tr 14.8.1. start:2108 paragraphs:0, tables:1, lists:0
en 14.8.2. start:2132 paragraphs:0, tables:1, lists:0
tr 14.8.2. start:2134 paragraphs:0, tables:1, lists:0
en 14.8.3. start:2140 paragraphs:0, tables:1, lists:0
tr 14.8.3. start:2142 paragraphs:0, tables:1, lists:0
en 14.9. start:2150 paragraphs:2, tables:1, lists:0
tr 14.9. start:2152 paragraphs:2, tables:1, lists:0
en 14.10. start:2222 paragraphs:2, tables:1, lists:0
tr 14.10. start:2224 paragraphs:2, tables:1, lists:0
en 14.11. start:2244 paragraphs:8, tables:3, lists:2
tr 14.11. start:2246 paragraphs:8, tables:3, lists:2
en 14.12. start:2325 paragraphs:8, tables:4, lists:1
tr 14.12. start:2327 paragraphs:8, tables:4, lists:1
en 14.13. start:2408 paragraphs:5, tables:1, lists:1
tr 14.13. start:2410 paragraphs:4, tables:1, lists:1
# end of comparison
