# Structural comparison of uk/userGuide.t2t against uk/userGuide-newRevisions/10891/userGuide.t2t
en 1. start:10 paragraphs:1, tables:0, lists:0
uk 1. start:10 paragraphs:2, tables:0, lists:0
en 1.1. start:15 paragraphs:2, tables:0, lists:1
uk 1.1. start:17 paragraphs:2, tables:0, lists:1
en 1.2. start:33 paragraphs:1, tables:0, lists:0
uk 1.2. start:35 paragraphs:1, tables:0, lists:0
en 1.3. start:37 paragraphs:3, tables:0, lists:0
uk 1.3. start:39 paragraphs:3, tables:0, lists:0
en 1.4. start:44 paragraphs:2, tables:0, lists:0
uk 1.4. start:46 paragraphs:2, tables:0, lists:0
en 1.5. start:50 paragraphs:2, tables:0, lists:0
uk 1.5. start:52 paragraphs:2, tables:0, lists:0
en 2. start:58 paragraphs:0, tables:0, lists:1
uk 2. start:60 paragraphs:0, tables:0, lists:1
en 3. start:67 paragraphs:6, tables:0, lists:0
uk 3. start:69 paragraphs:6, tables:0, lists:0
en 3.1. start:86 paragraphs:1, tables:0, lists:1
uk 3.1. start:88 paragraphs:1, tables:0, lists:1
en 3.2. start:94 paragraphs:2, tables:0, lists:0
uk 3.2. start:98 paragraphs:2, tables:0, lists:0
en 3.2.1. start:104 paragraphs:1, tables:0, lists:0
uk 3.2.1. start:108 paragraphs:1, tables:0, lists:0
en 3.2.2. start:108 paragraphs:1, tables:0, lists:0
uk 3.2.2. start:112 paragraphs:1, tables:0, lists:0
en 3.2.3. start:112 paragraphs:1, tables:0, lists:0
uk 3.2.3. start:116 paragraphs:1, tables:0, lists:0
en 3.3. start:117 paragraphs:2, tables:0, lists:0
uk 3.3. start:121 paragraphs:2, tables:0, lists:0
en 4. start:129 paragraphs:0, tables:0, lists:0
uk 4. start:133 paragraphs:0, tables:0, lists:0
en 4.1. start:131 paragraphs:5, tables:0, lists:0
uk 4.1. start:135 paragraphs:6, tables:0, lists:0
en 4.2. start:152 paragraphs:0, tables:0, lists:0
uk 4.2. start:161 paragraphs:0, tables:0, lists:0
en 4.2.1. start:154 paragraphs:3, tables:0, lists:0
uk 4.2.1. start:163 paragraphs:4, tables:0, lists:0
en 4.2.2. start:163 paragraphs:2, tables:0, lists:0
uk 4.2.2. start:173 paragraphs:2, tables:0, lists:0
en 4.3. start:171 paragraphs:1, tables:0, lists:0
uk 4.3. start:181 paragraphs:1, tables:0, lists:0
en 4.3.1. start:176 paragraphs:1, tables:0, lists:0
uk 4.3.1. start:186 paragraphs:1, tables:0, lists:0
en 4.3.2. start:181 paragraphs:7, tables:0, lists:0
uk 4.3.2. start:191 paragraphs:7, tables:0, lists:0
en 4.3.3. start:204 paragraphs:2, tables:0, lists:0
uk 4.3.3. start:214 paragraphs:2, tables:0, lists:0
en 4.4. start:215 paragraphs:2, tables:0, lists:0
uk 4.4. start:225 paragraphs:2, tables:0, lists:0
en 4.5. start:223 paragraphs:2, tables:0, lists:0
uk 4.5. start:233 paragraphs:2, tables:0, lists:0
en 4.6. start:231 paragraphs:0, tables:1, lists:0
uk 4.6. start:241 paragraphs:0, tables:1, lists:0
en 4.7. start:244 paragraphs:0, tables:1, lists:0
uk 4.7. start:254 paragraphs:0, tables:1, lists:0
en 5. start:252 paragraphs:1, tables:0, lists:0
uk 5. start:262 paragraphs:1, tables:0, lists:0
en 5.1. start:255 paragraphs:1, tables:0, lists:0
uk 5.1. start:265 paragraphs:1, tables:0, lists:0
en 5.2. start:259 paragraphs:3, tables:1, lists:0
uk 5.2. start:269 paragraphs:3, tables:1, lists:0
en 5.3. start:275 paragraphs:4, tables:2, lists:0
uk 5.3. start:285 paragraphs:4, tables:2, lists:0
en 5.4. start:300 paragraphs:7, tables:1, lists:0
uk 5.4. start:310 paragraphs:7, tables:1, lists:0
en 5.5. start:342 paragraphs:6, tables:2, lists:0
uk 5.5. start:351 paragraphs:7, tables:2, lists:0
en 5.6. start:384 paragraphs:2, tables:1, lists:0
uk 5.6. start:394 paragraphs:2, tables:1, lists:0
en 5.6.1. start:395 paragraphs:1, tables:0, lists:0
uk 5.6.1. start:405 paragraphs:1, tables:0, lists:0
en 5.6.2. start:400 paragraphs:3, tables:0, lists:0
uk 5.6.2. start:411 paragraphs:3, tables:0, lists:0
en 5.6.3. start:409 paragraphs:3, tables:0, lists:0
uk 5.6.3. start:420 paragraphs:3, tables:0, lists:0
en 5.7. start:418 paragraphs:5, tables:1, lists:0
uk 5.7. start:429 paragraphs:5, tables:1, lists:0
en 6. start:443 paragraphs:3, tables:1, lists:0
uk 6. start:454 paragraphs:3, tables:1, lists:0
en 6.1. start:473 paragraphs:3, tables:1, lists:1
uk 6.1. start:484 paragraphs:4, tables:1, lists:1
en 6.2. start:507 paragraphs:1, tables:1, lists:0
uk 6.2. start:526 paragraphs:1, tables:1, lists:0
en 6.3. start:517 paragraphs:1, tables:1, lists:0
uk 6.3. start:536 paragraphs:1, tables:1, lists:0
en 7. start:528 paragraphs:1, tables:0, lists:0
uk 7. start:547 paragraphs:3, tables:0, lists:1
en 7.1. start:531 paragraphs:0, tables:1, lists:0
uk 7.1. start:564 paragraphs:5, tables:1, lists:1
en 7.2. start:539 paragraphs:0, tables:1, lists:0
en 7.3. start:547 paragraphs:0, tables:1, lists:0
en 7.4. start:553 paragraphs:1, tables:1, lists:0
en 7.5. start:561 paragraphs:0, tables:1, lists:0
en 7.6. start:567 paragraphs:0, tables:1, lists:0
en 7.7. start:574 paragraphs:1, tables:1, lists:0
uk 8. start:586 paragraphs:2, tables:0, lists:0
en 8. start:581 paragraphs:0, tables:0, lists:0
uk 8.1. start:593 paragraphs:4, tables:4, lists:0
en 8.1. start:583 paragraphs:1, tables:0, lists:0
en 8.1.1. start:590 paragraphs:11, tables:0, lists:0
en 8.1.2. start:636 paragraphs:5, tables:0, lists:0
en 8.1.3. start:652 paragraphs:18, tables:0, lists:0
en 8.1.4. start:727 paragraphs:1, tables:1, lists:0
en 8.1.5. start:737 paragraphs:17, tables:0, lists:0
en 8.1.6. start:799 paragraphs:17, tables:0, lists:0
en 8.1.7. start:855 paragraphs:8, tables:0, lists:0
en 8.1.8. start:885 paragraphs:7, tables:0, lists:0
en 8.1.9. start:907 paragraphs:14, tables:0, lists:1
en 8.1.10. start:957 paragraphs:6, tables:0, lists:0
en 8.1.11. start:988 paragraphs:13, tables:0, lists:0
en 8.1.12. start:1034 paragraphs:6, tables:0, lists:1
en 8.1.13. start:1071 paragraphs:7, tables:0, lists:1
en 8.1.14. start:1103 paragraphs:6, tables:0, lists:0
en 8.1.15. start:1121 paragraphs:6, tables:0, lists:0
uk 8.2. start:681 paragraphs:3, tables:0, lists:0
en 8.2. start:1141 paragraphs:3, tables:1, lists:0
en 8.3. start:1156 paragraphs:3, tables:0, lists:0
en 8.3.1. start:1167 paragraphs:4, tables:0, lists:1
en 8.3.2. start:1183 paragraphs:3, tables:0, lists:0
en 8.3.3. start:1195 paragraphs:1, tables:0, lists:0
en 8.3.4. start:1203 paragraphs:4, tables:0, lists:1
en 8.3.5. start:1216 paragraphs:2, tables:0, lists:0
en 8.3.6. start:1224 paragraphs:1, tables:0, lists:0
en 8.4. start:1229 paragraphs:3, tables:0, lists:0
uk 9. start:696 paragraphs:3, tables:0, lists:0
en 9. start:1240 paragraphs:0, tables:0, lists:0
uk 9.1. start:710 paragraphs:3, tables:0, lists:0
en 9.1. start:1242 paragraphs:2, tables:0, lists:0
en 9.2. start:1248 paragraphs:3, tables:0, lists:0
en 9.3. start:1257 paragraphs:8, tables:0, lists:0
en 9.4. start:1291 paragraphs:1, tables:0, lists:0
en 9.5. start:1295 paragraphs:1, tables:0, lists:0
uk 10. start:721 paragraphs:1, tables:0, lists:0
en 10. start:1298 paragraphs:1, tables:0, lists:0
uk 10.1. start:724 paragraphs:0, tables:0, lists:0
en 10.1. start:1302 paragraphs:3, tables:0, lists:0
uk 10.1.1. start:725 paragraphs:2, tables:1, lists:0
uk 10.1.2. start:738 paragraphs:1, tables:0, lists:0
uk 10.1.2.1. start:744 paragraphs:1, tables:0, lists:0
uk 10.1.3. start:750 paragraphs:1, tables:0, lists:0
uk 10.2. start:756 paragraphs:0, tables:0, lists:0
en 10.2. start:1312 paragraphs:2, tables:0, lists:0
uk 10.2.1. start:757 paragraphs:2, tables:1, lists:0
uk 10.2.2. start:770 paragraphs:1, tables:0, lists:1
uk 10.2.3. start:792 paragraphs:1, tables:0, lists:0
uk 10.2.4. start:798 paragraphs:1, tables:0, lists:0
uk 10.2.5. start:804 paragraphs:1, tables:0, lists:0
uk 10.3. start:810 paragraphs:0, tables:1, lists:0
en 10.3. start:1319 paragraphs:1, tables:0, lists:0
uk 10.4. start:816 paragraphs:1, tables:1, lists:0
