# Structural comparison of vi/userGuide.t2t against vi/userGuide-newRevisions/13103/userGuide.t2t
en 9. start:737 paragraphs:0, tables:0, lists:0
vi 9. start:737 paragraphs:3, tables:0, lists:0
en 9.1. start:739 paragraphs:2, tables:0, lists:0
en 9.1.1. start:749 paragraphs:11, tables:0, lists:0
en 9.1.2. start:795 paragraphs:8, tables:0, lists:1
en 9.1.3. start:824 paragraphs:18, tables:0, lists:0
en 9.1.4. start:899 paragraphs:1, tables:1, lists:0
en 9.1.5. start:909 paragraphs:23, tables:0, lists:0
en 9.1.6. start:995 paragraphs:18, tables:0, lists:0
en 9.1.7. start:1055 paragraphs:8, tables:0, lists:0
en 9.1.8. start:1085 paragraphs:8, tables:0, lists:0
en 9.1.9. start:1109 paragraphs:14, tables:0, lists:1
en 9.1.10. start:1159 paragraphs:6, tables:0, lists:0
en 9.1.11. start:1190 paragraphs:13, tables:0, lists:0
en 9.1.12. start:1236 paragraphs:8, tables:0, lists:2
en 9.1.13. start:1298 paragraphs:8, tables:0, lists:1
en 9.1.14. start:1332 paragraphs:6, tables:0, lists:1
en 9.1.15. start:1361 paragraphs:6, tables:0, lists:0
en 9.2. start:1381 paragraphs:3, tables:1, lists:0
en 9.3. start:1396 paragraphs:3, tables:0, lists:0
en 9.3.1. start:1407 paragraphs:4, tables:0, lists:1
en 9.3.2. start:1423 paragraphs:3, tables:0, lists:0
en 9.3.3. start:1435 paragraphs:1, tables:0, lists:0
en 9.3.4. start:1443 paragraphs:4, tables:0, lists:1
en 9.3.5. start:1456 paragraphs:2, tables:0, lists:0
en 9.3.6. start:1464 paragraphs:1, tables:0, lists:0
en 9.4. start:1469 paragraphs:3, tables:0, lists:0
en 10. start:1480 paragraphs:0, tables:0, lists:0
en 10.1. start:1482 paragraphs:2, tables:0, lists:0
en 10.2. start:1488 paragraphs:5, tables:0, lists:0
en 10.3. start:1503 paragraphs:10, tables:0, lists:0
en 10.4. start:1545 paragraphs:1, tables:0, lists:0
en 10.5. start:1549 paragraphs:1, tables:0, lists:0
en 11. start:1552 paragraphs:1, tables:0, lists:0
vi 11.1. start:747 paragraphs:2, tables:0, lists:0
en 11.1. start:1556 paragraphs:3, tables:0, lists:0
vi 11.1.1. start:757 paragraphs:11, tables:0, lists:0
vi 11.1.2. start:803 paragraphs:8, tables:0, lists:1
vi 11.1.3. start:832 paragraphs:18, tables:0, lists:0
vi 11.1.4. start:907 paragraphs:1, tables:1, lists:0
vi 11.1.5. start:917 paragraphs:23, tables:0, lists:0
vi 11.1.6. start:1003 paragraphs:18, tables:0, lists:0
vi 11.1.7. start:1063 paragraphs:8, tables:0, lists:0
vi 11.1.8. start:1093 paragraphs:8, tables:0, lists:0
vi 11.1.9. start:1117 paragraphs:14, tables:0, lists:1
vi 11.1.10. start:1167 paragraphs:6, tables:0, lists:0
vi 11.1.11. start:1198 paragraphs:13, tables:0, lists:0
vi 11.1.12. start:1244 paragraphs:8, tables:0, lists:2
vi 11.1.13. start:1306 paragraphs:8, tables:0, lists:1
vi 11.1.14. start:1340 paragraphs:6, tables:0, lists:1
vi 11.1.15. start:1369 paragraphs:6, tables:0, lists:0
vi 11.2. start:1389 paragraphs:3, tables:1, lists:0
en 11.2. start:1566 paragraphs:2, tables:0, lists:0
vi 11.3. start:1404 paragraphs:3, tables:0, lists:0
en 11.3. start:1573 paragraphs:1, tables:0, lists:0
vi 11.3.1. start:1415 paragraphs:4, tables:0, lists:1
vi 11.3.2. start:1431 paragraphs:3, tables:0, lists:0
vi 11.3.3. start:1443 paragraphs:1, tables:0, lists:0
vi 11.3.4. start:1451 paragraphs:4, tables:0, lists:1
vi 11.3.5. start:1464 paragraphs:2, tables:0, lists:0
vi 11.3.6. start:1472 paragraphs:1, tables:0, lists:0
vi 11.4. start:1477 paragraphs:3, tables:0, lists:0
en 11.4. start:1578 paragraphs:2, tables:0, lists:1
en 11.5. start:1591 paragraphs:2, tables:0, lists:0
en 11.6. start:1598 paragraphs:2, tables:0, lists:0
vi 12. start:1488 paragraphs:0, tables:0, lists:0
en 12. start:1606 paragraphs:1, tables:0, lists:0
vi 12.1. start:1490 paragraphs:2, tables:0, lists:0
en 12.1. start:1609 paragraphs:5, tables:3, lists:0
vi 12.2. start:1496 paragraphs:5, tables:0, lists:0
en 12.2. start:1670 paragraphs:3, tables:1, lists:0
vi 12.3. start:1511 paragraphs:10, tables:0, lists:0
en 12.3. start:1714 paragraphs:3, tables:1, lists:0
vi 12.4. start:1553 paragraphs:1, tables:0, lists:0
en 12.4. start:1740 paragraphs:2, tables:1, lists:0
vi 12.5. start:1557 paragraphs:1, tables:0, lists:0
en 12.5. start:1760 paragraphs:6, tables:2, lists:1
en 12.6. start:1796 paragraphs:2, tables:1, lists:0
en 12.7. start:1813 paragraphs:2, tables:1, lists:0
en 12.8. start:1830 paragraphs:2, tables:1, lists:0
en 12.9. start:1861 paragraphs:2, tables:1, lists:0
en 12.10. start:1922 paragraphs:2, tables:1, lists:0
en 12.11. start:1935 paragraphs:2, tables:1, lists:0
en 12.12. start:1957 paragraphs:8, tables:3, lists:2
en 12.13. start:2040 paragraphs:8, tables:4, lists:1
en 12.14. start:2123 paragraphs:4, tables:1, lists:1
en 12.15. start:2171 paragraphs:3, tables:1, lists:1
en 12.16. start:2206 paragraphs:3, tables:1, lists:0
vi 13. start:1560 paragraphs:1, tables:0, lists:0
en 13. start:2226 paragraphs:2, tables:2, lists:0
vi 13.1. start:1564 paragraphs:3, tables:0, lists:0
vi 13.2. start:1574 paragraphs:2, tables:0, lists:0
vi 13.3. start:1581 paragraphs:1, tables:0, lists:0
vi 13.4. start:1586 paragraphs:2, tables:0, lists:1
vi 13.5. start:1599 paragraphs:2, tables:0, lists:0
vi 13.6. start:1606 paragraphs:2, tables:0, lists:0
vi 14. start:1614 paragraphs:1, tables:0, lists:0
en 14. start:2263 paragraphs:0, tables:0, lists:0
vi 14.1. start:1617 paragraphs:5, tables:3, lists:0
en 14.1. start:2265 paragraphs:6, tables:3, lists:0
vi 14.2. start:1678 paragraphs:3, tables:1, lists:0
vi 14.3. start:1722 paragraphs:3, tables:1, lists:0
vi 14.4. start:1748 paragraphs:2, tables:1, lists:0
vi 14.5. start:1768 paragraphs:6, tables:2, lists:1
vi 14.6. start:1804 paragraphs:2, tables:1, lists:0
vi 14.7. start:1821 paragraphs:2, tables:1, lists:0
vi 14.8. start:1838 paragraphs:2, tables:1, lists:0
vi 14.9. start:1869 paragraphs:2, tables:1, lists:0
vi 14.10. start:1930 paragraphs:2, tables:1, lists:0
vi 14.11. start:1943 paragraphs:2, tables:1, lists:0
vi 14.12. start:1965 paragraphs:8, tables:3, lists:2
vi 14.13. start:2048 paragraphs:8, tables:4, lists:1
vi 14.14. start:2131 paragraphs:4, tables:1, lists:1
vi 14.15. start:2179 paragraphs:3, tables:1, lists:1
vi 14.16. start:2214 paragraphs:3, tables:1, lists:0
vi 15. start:2234 paragraphs:2, tables:2, lists:0
en 15. start:2306 paragraphs:1, tables:0, lists:0
vi 16. start:2271 paragraphs:0, tables:0, lists:0
vi 16.1. start:2273 paragraphs:6, tables:3, lists:0
vi 17. start:2314 paragraphs:1, tables:0, lists:0
# end of comparison
