# section number, section starts at line, paragraphs in this section, tables in this section, lists in this section.
1. start:10 paragraphs:1, tables:0, lists:0

1.1. start:15 paragraphs:2, tables:0, lists:1

1.2. start:33 paragraphs:1, tables:0, lists:0

1.3. start:37 paragraphs:3, tables:0, lists:0

1.4. start:44 paragraphs:2, tables:0, lists:0

1.5. start:50 paragraphs:2, tables:0, lists:0

2. start:58 paragraphs:0, tables:0, lists:1

3. start:67 paragraphs:7, tables:0, lists:0

3.1. start:87 paragraphs:1, tables:0, lists:1

3.2. start:95 paragraphs:3, tables:0, lists:0

3.2.1. start:105 paragraphs:1, tables:0, lists:0

3.2.2. start:109 paragraphs:1, tables:0, lists:0

3.2.3. start:113 paragraphs:1, tables:0, lists:0

3.3. start:118 paragraphs:2, tables:0, lists:0

4. start:130 paragraphs:0, tables:0, lists:0

4.1. start:132 paragraphs:5, tables:0, lists:0

4.2. start:153 paragraphs:0, tables:0, lists:0

4.2.1. start:155 paragraphs:4, tables:0, lists:0

4.2.2. start:165 paragraphs:2, tables:0, lists:0

4.3. start:174 paragraphs:1, tables:0, lists:0

4.3.1. start:179 paragraphs:1, tables:0, lists:0

4.3.2. start:184 paragraphs:7, tables:0, lists:0

4.3.3. start:207 paragraphs:2, tables:0, lists:0

4.4. start:218 paragraphs:2, tables:0, lists:0

4.5. start:226 paragraphs:2, tables:0, lists:0

4.6. start:234 paragraphs:0, tables:1, lists:0

4.7. start:247 paragraphs:0, tables:1, lists:0

5. start:255 paragraphs:1, tables:0, lists:0

5.1. start:258 paragraphs:1, tables:0, lists:0

5.2. start:262 paragraphs:3, tables:1, lists:0

5.3. start:278 paragraphs:4, tables:2, lists:0

5.4. start:301 paragraphs:7, tables:1, lists:0

5.5. start:343 paragraphs:6, tables:2, lists:0

5.6. start:385 paragraphs:2, tables:1, lists:0

5.6.1. start:396 paragraphs:1, tables:0, lists:0

5.6.2. start:401 paragraphs:3, tables:0, lists:0

5.6.3. start:410 paragraphs:3, tables:0, lists:0

5.7. start:419 paragraphs:5, tables:1, lists:0

6. start:444 paragraphs:3, tables:1, lists:0

6.1. start:473 paragraphs:3, tables:1, lists:1

6.2. start:506 paragraphs:1, tables:1, lists:0

6.3. start:516 paragraphs:1, tables:1, lists:0

7. start:527 paragraphs:1, tables:0, lists:0

7.1. start:530 paragraphs:0, tables:1, lists:0

7.2. start:537 paragraphs:0, tables:1, lists:0

7.3. start:543 paragraphs:1, tables:1, lists:0

7.4. start:551 paragraphs:0, tables:1, lists:0

7.5. start:557 paragraphs:0, tables:1, lists:0

8. start:564 paragraphs:0, tables:0, lists:0

8.1. start:566 paragraphs:1, tables:0, lists:0

8.1.1. start:573 paragraphs:10, tables:0, lists:0

8.1.2. start:615 paragraphs:5, tables:0, lists:0

8.1.3. start:631 paragraphs:17, tables:0, lists:0

8.1.4. start:701 paragraphs:1, tables:1, lists:0

8.1.5. start:711 paragraphs:17, tables:0, lists:0

8.1.6. start:773 paragraphs:16, tables:0, lists:0

8.1.7. start:825 paragraphs:8, tables:0, lists:0

8.1.8. start:853 paragraphs:7, tables:0, lists:0

8.1.9. start:875 paragraphs:14, tables:0, lists:1

8.1.10. start:925 paragraphs:6, tables:0, lists:0

8.1.11. start:956 paragraphs:12, tables:0, lists:0

8.1.12. start:998 paragraphs:6, tables:0, lists:1

8.1.13. start:1034 paragraphs:5, tables:0, lists:1

8.1.14. start:1062 paragraphs:3, tables:0, lists:0

8.1.15. start:1071 paragraphs:6, tables:0, lists:0

8.2. start:1090 paragraphs:3, tables:1, lists:0

8.3. start:1105 paragraphs:3, tables:0, lists:0

8.3.1. start:1116 paragraphs:4, tables:0, lists:1

8.3.2. start:1132 paragraphs:3, tables:0, lists:0

8.3.3. start:1144 paragraphs:1, tables:0, lists:0

8.3.4. start:1152 paragraphs:4, tables:0, lists:1

8.3.5. start:1165 paragraphs:2, tables:0, lists:0

8.3.6. start:1173 paragraphs:1, tables:0, lists:0

